회사명,거래소코드,회계년도,자산(*)(요약)(IFRS)(백만원),이익잉여금(결손금)(요약)(IFRS)(백만원),자산(*)(요약)(IFRS연결)(백만원),이익잉여금(결손금)(요약)(IFRS연결)(백만원),순운전자본비율(IFRS),순운전자본비율(IFRS연결),부채(*)(요약)(IFRS)(백만원),부채(*)(요약)(IFRS연결)(백만원),금융비용부담률(IFRS),금융비용부담률(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS)(백만원),당기순이익(손실)(요약)(IFRS)(백만원),매출액(수익)(요약)(IFRS)(백만원),영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결)(백만원),당기순이익(손실)(요약)(IFRS연결)(백만원),매출액(수익)(요약)(IFRS연결)(백만원)
국일신동(주),060480,2022/12,52204,35791,,,35.67,,4256,,-1.18,,5188,1006,26883,,,
국일제지(주),078130,2022/12,129962,-14275,131142,-14288,-10.28,-9.65,77301,78481,2.53,2.49,-11333,-14580,112500,-11936,-14580,112500
글로벌에스엠테크리미티드,900070,2022/12,,,152366,34318,,49.42,,38586,,-0.21,,,,11779,8297,124122
글로벌텍스프리(주),204620,2022/12,111687,-23999,145359,-23323,15.2,44.15,25298,39753,0.86,0.31,-7229,-12092,8754,-10039,-14252,49360
글로본(주),019660,2022/12,27880,-89834,,,-15.26,,12960,,-0.27,,-4740,-6405,18479,,,
금강철강(주),053260,2022/12,156616,101975,159918,105073,52.98,53.79,34052,35193,-0.58,-0.79,4427,6399,243368,4302,5397,244221
금양그린파워(주),282720,2022/12,94990,40918,118349,50894,42.17,43.31,45034,57691,0.08,0.35,2050,2541,164987,7454,7550,230598
나노씨엠에스(주),247660,2022/12,52401,-6685,,,15.03,,21389,,15.6,,-814,206,7410,,,
나노캠텍(주),091970,2022/12,37158,-29395,47019,-33687,9.64,14.96,11982,18965,0.52,0.69,-5484,-15652,20560,-8707,-17152,50164
나노팀(주),417010,2022/12,47010,3393,,,8.64,,28824,,0.94,,1630,4140,38457,,,
나라엠앤디(주),051490,2022/12,144513,52285,235911,72657,3.78,6.52,69914,139355,1.14,0.85,9450,5261,90776,11742,9528,218222
나무기술(주),242040,2022/12,75596,-4909,102227,-3782,5.09,12.48,39487,58406,0.24,0.2,-5759,-3837,61489,-3477,626,106219
나이스정보통신(주),036800,2022/12,367947,270829,1031289,309205,22.88,15.51,92496,684104,-0.81,-0.41,19789,27692,245026,39364,40208,804861
나이스평가정보(주),030190,2022/12,459644,265622,481091,269920,22.38,25.12,124686,139447,-0.54,-0.53,69972,53115,415024,71787,52698,479869
남화산업(주),111710,2022/12,182680,153852,,,30.06,,14163,,-4.28,,16197,20643,30436,,,
남화토건(주),091590,2022/12,157847,120746,205267,155195,41.43,33.18,24102,31326,-2.59,-1.5,2570,14604,88691,266,20750,90792
노을(주),376930,2022/12,25805,-46037,25851,-46004,29.36,29.44,14447,14456,25.21,25.21,-14513,-13715,542,-14514,-13680,542
농업회사법인(주)농우바이오,054050,2022/12,292964,167358,327393,178650,33.01,39.14,56616,77258,0.58,0.72,7115,8281,101998,9696,9821,146301
뉴지랩파마(주),214870,2022/12,61655,-104747,29946,-141797,-47.65,-92.76,43692,51667,28,16.35,6441,-61679,11656,-9904,-71957,21711
