회사명,거래소코드,회계년도,자산(*)(요약)(IFRS)(백만원),이익잉여금(결손금)(요약)(IFRS)(백만원),자산(*)(요약)(IFRS연결)(백만원),이익잉여금(결손금)(요약)(IFRS연결)(백만원),순운전자본비율(IFRS),순운전자본비율(IFRS연결),부채(*)(요약)(IFRS)(백만원),부채(*)(요약)(IFRS연결)(백만원),금융비용부담률(IFRS),금융비용부담률(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS)(백만원),당기순이익(손실)(요약)(IFRS)(백만원),매출액(수익)(요약)(IFRS)(백만원),영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결)(백만원),당기순이익(손실)(요약)(IFRS연결)(백만원),매출액(수익)(요약)(IFRS연결)(백만원)
(주)CMG제약,058820,2022/12,213260,9000,,,53.07,,28307,,-2.37,,4938,-388,82197,,,
(주)ES큐브,050120,2022/12,77328,-13384,121705,16264,9.57,26.91,6250,11306,0.14,0.16,4303,5705,52850,-53485,24683,75214
(주)가비아,079940,2022/12,138893,61687,368323,119638,9.49,35.69,69460,125696,-1.15,-0.19,23885,7352,77419,70190,41595,239154
(주)가온칩스,399720,2022/12,73187,20844,73181,20788,54.99,55.5,18740,18792,-1.13,-1.13,5962,4475,43321,5920,4419,43321
(주)강스템바이오텍,217730,2022/12,68851,-136387,80592,-137201,56,32.51,17418,33331,-14.53,-2.8,-18436,-19765,5915,-18864,-20176,16301
(주)강원에너지,114190,2022/12,53999,-6919,84439,-5052,31.18,4.22,23548,52121,0.15,0.68,-3038,1589,68799,-3889,3456,71380
(주)고려시멘트,198440,2022/12,137163,38622,,,21.84,,27829,,-0.18,,-13165,-7761,69905,,,
(주)고바이오랩,348150,2022/12,108743,-145278,123930,-148975,59.74,75.47,23803,28475,-15.27,-3.89,-357,-14755,7476,-16556,-23386,11606
(주)고영테크놀러지,098460,2022/12,383013,276916,391686,275351,61.23,58.26,77093,86512,-0.39,-0.32,25900,35505,241870,29302,39284,275360
(주)골드앤에스,035290,2022/12,17606,-58236,18721,-58312,70.13,65.47,2964,4169,2.05,2.05,-572,-6254,9489,-572,-6254,9489
(주)골드퍼시픽,038530,2022/12,82411,-29814,82472,-29814,41.94,42.72,15613,15674,0.64,0.64,4267,-7665,33658,3784,-7665,33648
(주)골프존,215000,2022/12,517542,297014,589528,304769,21.54,25.36,155239,216365,-0.11,0,117004,113019,566684,133925,111558,617514
(주)골프존뉴딘홀딩스,121440,2022/12,786859,376941,1008824,376716,1.95,0.77,105865,323534,0.56,1.38,13955,88462,101004,17981,88010,488755
(주)공구우먼,366030,2022/12,63198,35006,,,69.2,,3901,,-1.12,,10510,11328,58687,,,
(주)광림,014200,2022/12,229511,-12327,278084,-60323,18.52,15.14,56320,116107,0.63,4.62,3357,-78527,156106,10028,-26781,206957
(주)광무,029480,2022/12,135976,-7251,135972,-7040,47.15,44.56,55880,55876,5.95,6,-34662,-7441,78141,-35153,-7366,78221
(주)구영테크,053270,2022/12,154122,32487,240120,46419,-3.94,-13.23,88440,156694,2.16,1.54,8019,2971,116247,22115,3976,274208
(주)국보디자인,066620,2022/12,244675,149060,273481,168850,16.93,22.59,119073,127755,-0.27,-0.3,28221,19277,334734,23644,20868,378388
(주)국순당,043650,2022/12,239922,197048,253846,202676,31.27,35.17,18055,19494,-0.9,-0.95,3553,1889,71300,3804,-4569,74619
(주)국영지앤엠,006050,2022/12,66153,16126,,,22.86,,18144,,0.18,,-4155,1858,63599,,,
(주)국전약품,307750,2022/12,194229,24315,196097,24305,37.53,36.82,102582,103774,0.72,0.74,-5775,8681,103720,-6019,8877,103711
(주)그래디언트,035080,2022/12,571913,418471,1769400,405595,37,21.51,13705,887158,-34.12,-0.07,-68287,245283,8766,19831,338864,3584846
(주)그리티,204020,2022/12,73706,31850,88502,34757,61.33,60.11,8430,20156,-0.37,-0.27,-2005,1026,139574,795,1839,143116
(주)그린플러스,186230,2022/12,89217,3533,105974,3790,17.41,16.35,28816,45254,-0.38,1.7,12031,-2978,78522,8620,-3517,83007
(주)글로벌스탠다드테크놀로지,083450,2022/12,217365,158666,251831,181218,53.75,53.85,43118,50483,-0.28,-0.23,27176,44114,297240,31484,47602,312848
(주)금화피에스시,036190,2022/12,342876,269321,400011,290921,22.67,37.26,67559,102349,-2.79,-1.03,4253,27415,221256,8939,27778,248348
(주)기가레인,049080,2022/12,88278,-7578,91738,-10020,31.73,29.64,25256,30791,0.66,1.84,-971,-6729,57073,1162,-8318,54726
(주)기산텔레콤,035460,2022/12,39068,-19634,74449,-14154,35,39.77,9421,34776,-0.36,0.82,472,1096,24016,-3773,3642,67803
(주)까스텔바작,308100,2022/12,120956,15107,118877,9122,11.72,11.6,54091,57975,2.25,2.32,-318,-6020,59556,-1843,-9264,61761
(주)꿈비,407400,2022/12,16022,5524,15964,5446,19.25,19.13,7884,7903,0.6,0.6,-3343,1318,26911,-3332,1319,27182
(주)나노,187790,2022/12,56959,-18020,69925,-14631,5.49,0.77,35124,45216,1.79,1.71,5405,-8616,51916,5890,-12275,66805
(주)나노브릭,286750,2022/12,28147,-26471,28136,-26482,-4.4,-2.66,17992,17992,10.93,10.92,-1084,-2609,7139,-1096,-2399,7139
(주)나노신소재,121600,2022/12,213881,77778,213761,76985,67.77,70.78,14112,14866,-2.06,-1.99,20369,19007,77628,19419,19180,79912
(주)나노엔텍,039860,2022/12,66846,24230,63277,23327,59.08,56.46,4843,5628,-1.14,-1.02,7665,4609,32556,8044,4665,35201
(주)나래나노텍,137080,2022/12,185334,26213,185445,26312,4.55,4.74,77500,77476,1.27,1.27,-17092,2443,88004,-17135,2522,88040
(주)나무가,190510,2022/12,197184,27906,219097,18806,33.52,21.97,69345,94592,0.15,0.18,73403,34197,342943,77001,31338,519343
(주)나스미디어,089600,2022/12,375227,142511,518025,156215,29.84,33.59,192186,275584,-1.95,-1.51,21992,24055,107977,22015,28918,152394
(주)나이벡,138610,2022/12,75204,-39521,,,40.81,,38404,,11.05,,5440,-3787,21670,,,
(주)나이스디앤비,130580,2022/12,85153,60049,106588,72135,39.66,48.16,14870,22690,-2.6,-1.08,12365,9608,63246,16820,14261,92190
(주)나인테크,267320,2022/12,134551,-4917,143579,-4940,2.63,2.65,108296,114638,2.7,2.51,3931,31,75962,5769,418,88818
(주)내츄럴엔도텍,168330,2022/12,37552,-41254,39809,-40591,23.23,26.73,2384,3229,0.21,0.27,-3706,-9804,11529,-4543,-10692,13951
(주)네오리진,094860,2022/12,50342,-12280,48228,-15002,41.89,36.02,7286,9371,0.45,0.9,-1633,685,31202,-2079,-2425,36692
(주)네오셈,253590,2022/12,93443,36533,130813,42730,32.6,27.03,38456,68533,2.09,2.13,-6625,8995,73175,13276,9999,74673
(주)네오오토,212560,2022/12,154736,80287,,,9.19,,57870,,0.09,,26526,7851,164034,,,
(주)네오위즈,095660,2022/12,481769,338043,560087,380995,21.89,29.68,45842,101331,-0.66,-0.3,28038,4936,219055,43235,13202,294567
(주)네오위즈홀딩스,042420,2022/12,280967,154881,804421,290458,27.8,29,1056,146612,-132.93,-0.76,1433,-205,769,31324,-61331,297977
(주)네오이뮨텍,950220,2022/12,139973,-188668,139865,-190424,70.39,72.62,17939,20176,0,0,-44167,-64169,0,-42405,-60406,0
(주)네오크레마,311390,2022/12,79685,15557,78376,15403,12.07,12.69,29631,29631,-0.84,-0.72,-95,-889,23997,-351,-780,26703
(주)네오티스,085910,2022/12,111749,31232,144767,34781,-8.37,7.34,55975,66833,2.68,2.13,2606,3092,50778,8353,6717,80372
(주)네오팜,092730,2022/12,154791,95580,155347,96106,75.98,76.04,13101,13137,-2.46,-2.43,18337,17948,84212,18161,17027,85033
(주)네오펙트,290660,2022/12,45984,-65163,50371,-74795,-34.12,-32.1,27689,40797,58.5,8.04,-4275,-9989,2519,-5702,-9622,26202
(주)네온테크,306620,2022/12,86271,-5844,90527,-4522,1.63,4.97,42705,45454,2.1,1.72,-1383,-8425,42339,-1419,-8055,52890
(주)네이블커뮤니케이션즈,153460,2022/12,36627,13200,,,66.59,,3999,,-2.12,,7228,5278,18299,,,
(주)네이처셀,007390,2022/12,94161,-61323,94021,-61090,29.32,33.41,36863,36863,6.42,6.4,-14506,-8090,21554,-14866,-6814,21554
(주)네패스,033640,2022/12,465878,139977,1131933,66522,-9.41,-8.5,229529,739611,0.66,1.99,43085,12225,417052,97639,94546,588039
(주)네패스아크,330860,2022/12,457968,54604,,,10.04,,201530,,1.78,,89052,25695,153861,,,
(주)넥스턴바이오사이언스,089140,2022/12,192178,48790,200257,43821,3.22,12.12,78869,91983,9.94,-1.64,1225,-1635,12862,-1191,-4688,28990
(주)넥스트아이,137940,2022/12,113525,38820,129128,39432,10.97,39.71,20716,28387,5.05,2.8,-4453,-1593,19593,-2910,-4085,32196
(주)넥스트엔터테인먼트월드,160550,2022/12,217873,-4139,332919,-32076,3.86,16.86,120277,170169,0.71,1.31,20593,-12903,60535,-9078,-21118,155617
(주)넥스트칩,396270,2022/12,44741,-75849,,,84.39,,4918,,-0.64,,-31609,-27429,12869,,,
(주)넥스틴,348210,2022/12,120880,67333,121192,67171,65.49,65.6,21205,21554,-0.3,-0.3,50855,43685,114943,51113,43410,114943
(주)넥슨게임즈,225570,2022/12,319923,-6688,325549,-8073,50.63,44.34,83615,88501,-2.34,-1.72,28140,5670,131334,29069,6048,132375
(주)넵튠,217270,2022/12,453170,-30371,426277,-60920,-0.21,6.5,28889,46631,-25.92,-1.44,-1395,-153277,4953,-29579,-170489,29467
(주)노랑풍선,104620,2022/12,91974,-7624,93000,-7119,-24.49,-24.22,59797,60317,5.22,5.05,-321,-24316,20985,-22,-24079,22005
(주)노바렉스,194700,2022/12,270037,124238,270581,122097,20.95,21.04,88702,89214,0.35,0.35,19862,20062,280698,20107,19942,281675
(주)노바텍,285490,2022/12,65221,40049,145602,97772,46.84,69,7620,12741,-60.22,-0.72,29767,8416,20490,43690,14264,110494
(주)노블엠앤비,106520,2022/12,52812,-184017,79075,-165218,22.54,5,17247,30569,41.27,40.61,2078,-40685,14679,1314,-45738,14950
(주)노터스,278650,2022/12,161299,26757,170199,29379,60.65,58.55,95577,99984,4.92,3.3,6745,-3360,56636,6481,-2870,86277
(주)녹십자엠에스,142280,2022/12,89835,-3819,96471,-673,5.96,11.04,58183,60820,2.2,2.19,8308,-4411,110820,10880,-3059,113109
(주)녹십자웰빙,234690,2022/12,150243,32513,,,2.11,,54079,,0.17,,1824,8001,109729,,,
(주)녹원씨엔아이,065560,2022/12,60242,-70322,120699,-68528,-2.8,-14.71,14752,73872,11.61,4.83,7381,-18903,10945,-3947,-25940,59365
(주)누리플랜,069140,2022/12,64132,77,142476,297,-22.23,-5.84,38357,111454,1.97,2.15,2766,-9211,34689,1447,-8532,131153
(주)누리플렉스,040160,2022/12,131291,37413,153799,38427,3.11,17.73,55213,74327,1.57,0.99,5164,6284,73436,12236,477,124720
(주)누보,332290,2022/12,80818,-3906,81874,-3743,25.49,26.04,52742,53641,1.89,1.83,-13898,-5186,70627,-13456,-4362,73028
(주)뉴로메카,348340,2022/12,43782,-8256,43830,-8283,79.76,80.61,4026,4103,-0.26,-0.24,-8082,-8256,9621,-7999,-8201,9755
(주)뉴보텍,060260,2022/12,52219,-22284,52378,-23951,-17.14,-22.22,33610,35436,3.54,3.83,110,-1997,45984,-529,-2701,45984
(주)뉴인텍,012340,2022/12,76715,-9615,81431,-9526,-26.36,-19.07,58416,63044,1.13,1.13,-3092,-9632,65810,-3086,-9632,75322
(주)뉴트리,270870,2022/12,127924,51808,146684,55037,33.46,33.11,33668,47895,-0.55,-0.01,8589,6179,182228,-3633,4751,198647
(주)뉴파워프라즈마,144960,2022/12,303062,151158,633280,178166,5.86,7.67,102384,367373,-0.38,0.81,13258,29731,114241,35692,20264,352879
(주)뉴프렉스,085670,2022/12,133026,13208,175103,21027,4.07,-13.27,74954,108341,0.5,0.92,20033,11362,208437,23749,14412,260297
(주)다날,064260,2022/12,690452,135508,749395,103434,49.05,49.32,349519,416663,1.81,2.38,-50620,-13416,240720,-80443,-33845,294948
(주)다보링크,340360,2022/12,35143,-9078,,,45.92,,15119,,0.44,,-1656,-5242,64859,,,
(주)다산네트웍스,039560,2022/12,352621,79229,469162,128563,21.37,19.59,51133,86405,-10.92,-2.82,-2758,88522,31626,-58226,148791,80714
(주)다우데이타,032190,2022/12,461927,97092,49874926,832691,-4.15,27.74,265439,44437569,-3.77,0.1,14737,21405,189930,-1936430,733830,9747211
(주)다원시스,068240,2022/12,660904,-61130,672878,-80507,-0.09,-3.65,436192,467396,2.48,2.82,-150549,-143743,207478,-149474,-151930,209189
(주)대동스틸,048470,2022/12,95509,62784,,,57.8,,24007,,-0.21,,17897,-4592,182453,,,
(주)대륙제관,004780,2022/12,185247,112198,,,40.87,,54747,,0,,11934,9703,275980,,,
(주)대림제지,017650,2022/12,297461,168005,297462,168016,19.45,20.13,50534,50524,-0.29,-0.3,31409,24406,187353,31409,24416,187353
(주)대명소노시즌,007720,2022/12,168681,17578,168960,16351,45.29,46.2,53313,54171,-0.69,-0.61,-23877,-17128,165769,-24041,-18341,170973
(주)대성미생물연구소,036480,2022/12,65109,30693,,,27.77,,26272,,1.17,,1155,1703,25500,,,
(주)대성파인텍,104040,2022/12,80094,40619,,,0.86,,28406,,2.21,,-585,-3086,27255,,,
(주)대성하이텍,129920,2022/12,158938,24286,156515,19372,24.8,24.38,85163,88331,2.4,2.25,-5188,2005,112612,-2839,2139,128372
(주)대원,007680,2022/12,490778,284840,539386,291638,50.04,64.9,158621,176293,-0.82,-0.51,-20063,21308,337319,-8110,19511,358312
(주)대유,290380,2022/12,142019,19195,142367,19532,9.36,10.84,35830,35841,1.87,1.66,361,-17945,35354,208,-17608,35354
(주)대유에이피,290120,2022/12,203495,39046,232932,53754,-1.33,11.55,133280,144521,2.03,1.52,19471,13891,164232,19868,23862,225953
(주)대창솔루션,096350,2022/12,92591,-44477,124178,-45014,-39,-38.72,64623,95237,5.49,5.37,1108,-7420,34162,-2953,-7827,52756
(주)대창스틸,140520,2022/12,210704,87622,239911,128932,1.04,45.7,98478,73022,0.61,0.17,-4000,26789,271895,-5965,62382,398516
(주)대한과학,131220,2022/12,45799,18696,59453,22996,36.93,45.48,11558,15024,-0.36,-0.09,2504,3792,47849,4512,6242,72280
(주)대호특수강,021040,2022/12,185290,-11608,217963,-11608,9.36,5.14,137996,165218,1.94,1.67,6159,-4714,219498,5857,-4219,306846
(주)더 미동,161570,2022/12,26717,-22395,30904,-23904,18.43,-19.61,8097,11647,1.07,11.87,1168,-2627,9118,-2079,-5234,7540
(주)더네이쳐홀딩스,298540,2022/12,515684,189625,567143,187439,-1.08,4.13,226435,247636,0.41,0.44,22881,70195,471359,34184,69286,497852
(주)더블유에스아이,299170,2022/12,57216,20616,57465,20580,40.56,41.04,19386,19380,-1.54,-1.54,4655,4400,27129,4587,4314,27129
(주)더코디,224060,2022/12,69682,-27609,93638,-35899,19.1,64.11,16046,55670,-4.32,8.26,-9061,-14308,20010,-17019,-23496,20112
(주)덕산테코피아,317330,2022/12,277292,106964,298527,107368,18.11,18.17,89014,95241,0.42,-0.43,15919,15191,110914,12254,15050,111005
(주)덕신하우징,090410,2022/12,133243,54100,139113,60865,18.37,22.62,49685,48247,0.65,0.61,25607,7484,190032,26846,10155,201608
(주)데이타솔루션,263800,2022/12,69561,5619,,,25,,38218,,0.21,,4853,2398,99119,,,
(주)덱스터스튜디오,206560,2022/12,66349,-18939,91914,-18366,28.48,28.25,13671,34283,-0.73,0.04,-2162,-6346,32698,3390,-6173,65906
(주)덴티스,261200,2022/12,119680,-4439,131070,-9212,-1.57,-3.93,83396,98820,3.31,3.02,6380,2660,74494,5171,303,87087
(주)동구바이오제약,006620,2022/12,171003,61673,172059,61675,10,12.42,68898,69953,-0.15,-0.13,17920,6614,194434,16819,6614,194988
(주)동국알앤에스,075970,2022/12,107276,30520,131312,44909,10.64,22.26,40696,48861,0.69,0.68,1798,2167,83015,6570,3934,118182
(주)동국에스엔씨,100130,2022/12,401441,70056,503023,57945,0.64,0.54,140326,222991,0.19,0.62,-48616,-9061,245993,-44229,-8329,477143
(주)동방선기,099410,2022/12,44315,2838,,,6.97,,14018,,0.71,,-396,1280,24860,,,
(주)동성화인텍,033500,2022/12,344008,67279,344010,67086,13.82,13.75,195129,195395,0.54,0.54,10010,8662,434152,9729,8422,434152
(주)동아엘텍,088130,2022/12,183585,106628,306358,118587,36.99,37.09,46786,94986,0.04,0.08,11414,2601,135261,104,11,213774
(주)동양에스텍,060380,2022/12,123351,66398,143496,67010,23.23,21.08,47413,63230,0.61,0.69,15790,4357,196612,22074,5820,232459
(주)동우팜투테이블,088910,2022/12,283096,151999,287177,154147,23.39,23.1,91695,93418,-0.56,-0.53,2433,15618,336766,2818,16166,336847
(주)동운아나텍,094170,2022/12,63045,-6512,,,33.89,,41889,,5.16,,576,-8410,50138,,,
(주)동원개발,013120,2022/12,1432629,973236,1433996,972637,69.59,70.43,406962,408212,-1.55,-1.55,218664,82664,601890,218722,82111,601890
(주)동일기연,032960,2022/12,68911,60022,66428,56368,70.82,77.28,3889,4268,-3.7,-3.68,4049,2314,26498,3656,1047,26699
(주)동진쎄미켐,005290,2022/12,1083271,452117,1374304,521016,7.45,21.47,491986,673516,0.84,0.77,136894,142704,1050272,190056,156195,1457215
(주)두산테스나,131970,2022/12,767017,219881,,,-21.87,,457183,,1.96,,168220,52333,277656,,,
(주)듀오백,073190,2022/12,26871,8964,27136,9182,15.92,16.1,6390,6565,-1.65,-1.63,-1193,-3766,31223,-1130,-3666,31571
(주)드래곤플라이,030350,2022/12,62640,-44819,66022,-43866,37.45,34.32,6070,10015,1.28,2.42,-6873,-14072,3680,-8804,-14430,7097
(주)드림시큐리티,203650,2022/12,140110,9782,390837,34828,-37.13,-21.91,66664,305452,9.91,4.91,4790,-1988,30224,-25337,9676,224195
(주)드림씨아이에스,223250,2022/12,69589,19789,77966,20716,22.17,23.71,21561,27524,-0.79,-0.6,7959,3458,32200,9083,4522,38874
(주)드림어스컴퍼니,060570,2022/12,270674,29281,271847,20369,40.27,41.14,100689,104064,-1.03,-0.94,19587,27895,257715,21438,27270,274372
(주)디딤이앤에프,217620,2022/12,71892,-26805,,,-7.64,,61440,,2.53,,605,-8780,60864,,,
(주)디모아,016670,2022/12,85623,-18874,85171,-20311,45,45.44,31705,32689,-1.43,-1.67,1893,-18348,29623,-190,-18866,36730
(주)디바이스이엔지,187870,2022/12,168456,110255,168347,110147,60.6,60.94,33907,33920,-1.76,-0.92,-424,11069,72740,-435,10800,72740
(주)디스플레이테크,066670,2022/12,169546,151036,173816,151091,51.46,50.22,11277,15494,-2.32,-1.84,2750,6834,54974,1701,6833,69066
(주)디아크,078590,2022/12,44022,-268840,,,61.15,,9326,,-0.64,,-237,9734,43539,,,
(주)디알젬,263690,2022/12,124765,58296,126705,56860,33.39,30.24,49726,53072,-0.37,-0.36,7516,15274,114709,7351,14393,110165
(주)디알텍,214680,2022/12,114943,2946,120778,4307,20.46,22.28,54209,60939,1.05,0.96,6026,3027,80781,5038,5950,89481
(주)디앤씨미디어,263720,2022/12,62522,36300,93947,52316,30.94,42.56,5725,17536,-2.19,-1.41,145,472,21860,5444,6142,61214
(주)디어유,376300,2022/12,152541,-40733,,,81.18,,11316,,-3.98,,21004,16396,49194,,,
(주)디에스앤엘,141020,2022/12,17355,-179755,,,-2.11,,16092,,2.09,,-3116,-13222,39792,,,
(주)디에스케이,109740,2022/12,182107,44750,193829,16921,25.78,28.6,26621,46773,-0.84,0.58,7964,851,45753,635,-9619,48232
(주)디에이테크놀로지,196490,2022/12,130245,-92274,131393,-92150,25.13,27.57,51838,52099,1.5,1.47,-14778,-24695,50929,-15642,-24952,53206
(주)디에이피,066900,2022/12,225444,116310,264412,116322,7.01,-3.38,97950,153250,0.36,0.49,18175,9111,327913,14968,5326,333660
(주)디엔에이링크,127120,2022/12,41577,-69340,43507,-68863,14.87,18.84,15038,15617,-4.73,-2.23,1150,-6100,13076,910,-8078,16981
(주)디엔에프,092070,2022/12,166529,95231,190545,91164,28.67,26.05,14274,32776,-0.66,0.37,1093,10524,96892,4207,5800,135179
(주)디엠에스,068790,2022/12,393795,195452,426334,198425,31.06,42.51,126372,96105,-0.09,-0.12,16009,31297,280848,13242,32502,317048
(주)디오,039840,2022/12,274711,57963,330318,68724,11.31,5.94,114890,163066,3.41,3.69,14278,-22009,102496,-1026,-20108,131306
(주)디와이디,219550,2022/12,47281,-36961,,,22.95,,2565,,0.98,,-4691,902,20839,,,
(주)디이엔티,079810,2022/12,89012,-14732,89052,-14599,-10.01,-9.28,65749,65599,1.89,1.89,11315,-5766,50117,11481,-5574,50157
(주)디지아이,043360,2022/12,47605,32579,,,40.3,,2917,,-2.31,,2390,688,16078,,,
(주)디지캡,197140,2022/12,48493,10295,53659,12907,15.75,33.71,6771,8036,-0.4,-0.33,1847,-40,13146,4058,792,25793
(주)디지털대성,068930,2022/12,218255,36348,245354,57513,-13.76,-6.16,72072,80206,-0.17,-0.24,30293,15390,188129,37762,21255,210818
(주)디지틀조선일보,033130,2022/12,89788,42796,90955,43312,49.88,51.56,8476,8822,-4.71,-4.33,5955,2861,32581,5620,2749,34715
(주)디케이앤디,263020,2022/12,69004,14305,111288,32056,3.44,15.76,27435,48511,1.2,1.85,872,924,41077,10524,7461,110628
(주)디케이티,290550,2022/12,125955,13028,200049,58725,27.75,33.15,74310,99252,0.24,0.16,7468,7415,102487,25154,19640,363543
(주)디티앤씨,187220,2022/12,142066,13939,227233,18170,-17.87,-3.47,63127,96761,6.49,2.87,9661,454,40796,12809,2751,110535
(주)디티앤씨알오,383930,2022/12,64535,3719,,,,,18214,,,,5007,5256,44008,,,
(주)딜리,131180,2022/12,70036,46598,70130,46626,35.78,35.31,11361,11747,-0.76,-0.75,1292,2455,37093,1286,2621,37179
(주)딥노이드,315640,2022/12,14527,-47966,,,60.93,,4561,,-4.86,,-3707,-5334,3182,,,
(주)라닉스,317120,2022/12,41964,-5850,41975,-5845,-24.48,-24.13,27642,27653,18.63,18.62,-1348,-5062,10985,-1593,-4930,10985
(주)라온테크,232680,2022/12,46306,7903,,,39.61,,18203,,0.29,,8061,7475,59432,,,
(주)라온텍,418420,2022/12,12590,-27393,,,76.06,,5107,,-0.79,,404,585,10916,,,
(주)라이온켐텍,171120,2022/12,153078,103145,151838,103424,26.05,32.02,30806,29287,-0.01,-0.01,18387,8698,149932,18388,8848,152001
(주)라이트론,069540,2022/12,89127,-47372,89769,-47194,29.28,29.53,34093,34495,5.52,5.05,2920,269,48185,2545,-718,52558
(주)라이프시맨틱스,347700,2022/12,26134,-33365,,,9.56,,16563,,35.46,,-5120,-3349,2819,,,
(주)라파스,214260,2022/12,82673,12668,96060,12793,6.17,4.86,41011,52047,10.61,8.7,-4935,-8282,17658,-3634,-8627,23639
(주)래몽래인,200350,2022/12,71651,-15500,71642,-16313,46.11,45.89,29424,29553,1.09,1.09,-5092,-6393,44377,-5183,-6365,44422
(주)랩지노믹스,084650,2022/12,252231,178451,250653,175226,58.53,61.67,39661,40142,-0.37,-0.37,67745,50494,143549,68955,47926,144773
(주)러셀,217500,2022/12,68284,31212,78431,31458,73.02,68.17,16845,22930,0.67,0.63,-6483,2819,28108,-6619,3827,41926
(주)레고켐바이오사이언스,141080,2022/12,256219,109300,252530,105383,63.25,64.55,32883,32932,-11.91,-11.92,-6878,-45424,33412,-7136,-45092,33412
(주)레드캡투어,038390,2022/12,619215,131829,621856,132777,-23.83,-23.39,427465,429129,3.67,3.54,-51304,20810,253321,-52792,21235,262065
(주)레몬,294140,2022/12,27753,-75631,,,0.43,,15955,,0.2,,-903,-16358,39769,,,
(주)레이,228670,2022/12,190195,29233,222196,27770,13.08,17.37,73093,105888,0.34,1.63,-7524,9454,93079,-8231,7957,128998
(주)레이언스,228850,2022/12,243042,117731,261999,123433,70.1,71.61,24975,36501,-1.55,-0.68,15872,13337,120239,16607,21849,147161
(주)레이크머티리얼즈,281740,2022/12,186966,50086,213510,50185,10.36,4.45,100939,126728,1.31,1.97,16134,27030,131411,16996,27160,131507
(주)레인보우로보틱스,277810,2022/12,76135,-6434,76159,-6532,77.26,77.35,14656,14652,1.44,1.44,1179,5776,13615,1170,5774,13615
(주)로보로보,215100,2022/12,31337,7586,31665,7837,41.5,43.16,1826,2124,-8.25,-4.94,1065,-324,7852,792,-350,11863
(주)로보스타,090360,2022/12,134808,24913,136447,26316,34.96,35.46,46187,46537,-0.1,-0.11,252,4122,139148,701,3282,143240
(주)로보티즈,108490,2022/12,120929,16146,122795,17021,59.09,60.46,37972,38137,0.88,0.82,11906,-288,24383,12484,-224,25856
(주)로지시스,067730,2022/12,24087,6998,,,40.64,,7020,,-0.28,,-281,204,32821,,,
(주)루닛,328130,2022/12,98868,-256333,97153,-258202,58.98,60.32,28230,28243,-2.13,-2.13,-51031,-37298,13866,-53019,-39118,13866
(주)루멘스,038060,2022/12,127076,-39350,137600,-30520,46.15,60.1,38860,43923,-0.19,0.24,-22729,10943,108708,-20049,15890,166305
(주)루트로닉,085370,2022/12,206639,63793,217773,63014,59.57,54.17,39688,56750,-0.69,-0.28,26442,46054,196497,24124,45209,264154
(주)룽투코리아,060240,2022/12,41413,-6268,42383,-10242,66.22,55.77,2557,5603,-1.61,-0.48,-20950,-28529,21500,-20892,-29857,29086
(주)리노스,039980,2022/12,97261,28759,98340,29816,54.41,53.84,28566,28578,0.15,0.16,10640,-2564,80757,10655,-2833,80854
(주)리더스코스메틱,016100,2022/12,78247,20499,79525,-4105,-13.83,-12.75,35532,36189,1.23,1.01,8387,-296,65413,3204,-759,86658
(주)리드코프,012700,2022/12,931483,307573,1209091,382445,-5.16,-3.9,577866,782639,0.45,0.63,130279,28438,589471,147248,31981,647773
(주)리메드,302550,2022/12,79346,3303,78125,1820,-1.98,-1.55,47945,48123,1.31,1.31,5750,4747,21322,5212,3951,21363
(주)리파인,377450,2022/12,152207,69008,,,72.11,,12794,,-4.13,,19129,17685,55078,,,
(주)링네트,042500,2022/12,157580,72589,160911,73478,38.35,38.36,75043,77489,-0.24,-0.23,-23499,10928,201603,-22488,10056,204004
(주)링크제니시스,219420,2022/12,44793,18246,47455,18520,79.55,78.53,3059,3751,-3.73,-1.96,2747,1861,14472,1972,1905,17268
(주)마니커에프앤지,195500,2022/12,103415,16679,,,22.56,,38601,,-0.29,,-13535,-262,89363,,,
(주)마이크로디지탈,305090,2022/12,28408,-37694,,,1.15,,22971,,12.13,,-3792,-9364,8884,,,
(주)마이크로컨텍솔루션,098120,2022/12,56898,44578,57348,44714,45.63,46.85,7907,8315,-0.39,-0.4,10039,7049,59958,10451,7046,61055
(주)마이크로프랜드,147760,2022/12,62870,3635,,,22.27,,9898,,-0.17,,-2355,-3921,38244,,,
(주)마인즈랩,377480,2022/12,37378,-4791,37789,-4092,5.88,6.77,12117,12212,-3.86,-3.82,-4034,-4791,8158,-4068,-4764,8244
(주)마크로젠,038290,2022/12,212180,57433,280126,97810,13.75,11.78,73786,99167,-0.08,0.08,8352,-14902,107284,10767,-22005,138617
(주)매커스,093520,2022/12,282272,94324,286559,97159,24.7,28.44,191417,193200,-0.2,-0.2,23828,23582,185923,26531,22236,193763
(주)맥스트,377030,2022/12,66671,-44176,66914,-44183,51.34,50.48,28441,28924,-7.82,-7.64,-8183,-14899,2858,-8359,-14999,2896
(주)머큐리,100590,2022/12,136554,31075,,,32.9,,46299,,0.76,,-15695,535,163074,,,
(주)멀티캠퍼스,067280,2022/12,275499,176956,291750,186129,29.84,33.37,115263,119380,-0.17,-0.17,47850,30080,340865,50967,30540,357487
