,회사명,거래소코드,회계년도,배당금_현금,상장협 산업분류 코드(중분류),자산,장기차입금,매출액,영업활동으로 인한 현금흐름,매출액증가율,총자산자연로그,배당금지급_여부,산업매출액증가율,WW지수
2118,(주)해성티피씨,059270,2022,0.0,32500,44360.0,0.0,13914.0,-293.0,-0.08628841607565012,10.700093441464304,0,0.28512660146741625,-43.810004399903036
2120,(주)핸디소프트,220180,2022,0.0,105800,78257.0,0.0,33115.0,793.0,0.94279847462599,11.267753561270382,0,0.09154042760427497,-52.03641080640732
2122,(주)헥토이노베이션,214180,2022,5412604.0,106300,526811.0,56.0,262967.0,26043.0,0.18967521862459905,13.174597129422937,1,0.09516924758647155,-64.31100127584315
2124,(주)헥토파이낸셜,234340,2022,4249327.0,106300,336605.0,56.0,129251.0,371.0,0.17102759707902224,12.726665415055136,1,0.09516924758647155,-61.83487857666678
2126,(주)헬릭스미스,084990,2022,0.0,137000,254062.0,152.0,2800.0,-40741.0,0.20898100172711573,12.44533361070265,0,0.05575074822007892,-53.46172506900406
2128,(주)현대공업,170030,2022,2508901.0,33000,206497.0,0.0,278496.0,19811.0,0.11701334017856427,12.238041163432658,1,0.17408855123907996,-59.55426438912108
2130,(주)현대바이오랜드,052260,2022,1050000.0,32000,176097.0,0.0,99154.0,11312.0,-0.035485690939864985,12.078790258564059,1,0.23511295413395092,-57.40888473333017
2132,(주)현대에버다임,041440,2022,1248920.0,32900,292347.0,0.0,374440.0,-16888.0,0.17798807036971787,12.585696731878512,1,0.12395095719486701,-60.41004468795634
2134,(주)현대이지웰,090850,2022,1899709.0,105800,201891.0,31.0,112460.0,24048.0,0.16512297714510682,12.215483226784334,1,0.09154042760427497,-60.67595719595089
2136,(주)협진,138360,2022,0.0,32000,52125.0,0.0,14954.0,-15.0,0.7390394231887428,10.861399959101103,0,0.23511295413395092,-47.97602696400318
2138,(주)형지아이앤씨,011080,2022,0.0,31400,60066.0,0.0,70496.0,1131.0,0.0756507674936678,11.00319923664754,0,0.1681073452703214,-47.135505924549015
2140,(주)홈센타홀딩스,060560,2022,1269400.0,74600,407111.0,8813.0,432057.0,33744.0,0.3293979729355512,12.916841154514136,1,0.22369243083476922,-62.61413812534003
2142,(주)홈캐스트,064240,2022,0.0,32600,97662.0,0.0,73304.0,7691.0,3.2948207171314743,11.489267816619554,0,0.06811149574196777,-62.106549594993474
2144,(주)화신정공,126640,2022,1402236.0,33000,161379.0,0.0,317942.0,16929.0,0.2480941501597695,11.991510914828583,1,0.17408855123907996,-59.00988366395353
