,회사명,거래소코드,회계년도,누적수익성비율,TMD,abs(영업현금흐름-당기순이익)/매출액,순운전자본비율,금융비용부담률,WW지수
54,(주)네패스아크,330860,2022,0.119231038,0.918915771,0.411780763,10.04,1.78,-57.29967674
55,(주)넥스턴바이오사이언스,89140,2022,0.218823811,1.396728089,0.120627803,12.12,-1.64,-54.19725541
56,(주)넥스트아이,137940,2022,0.305371414,0.633643945,0.036495217,39.71,2.8,-50.19034117
57,(주)넥스트엔터테인먼트월드,160550,2022,-0.09634776,0.748210155,0.077369439,16.86,1.31,-52.84454502
58,(주)넥스트칩,396270,2022,-1.695290673,0.040515534,0.324811563,84.39,-0.64,-38.33501607
59,(주)넥스틴,348210,2022,0.554252756,0.04342586,0.067015825,65.6,-0.3,-63.8206563
60,(주)넥슨게임즈,225570,2022,-0.02479811,0.103922451,0.17390746,44.34,-1.72,-59.57360158
61,(주)넵튠,217270,2022,-0.142911769,0.095690723,4.78195948,6.5,-1.44,-57.05513566
62,(주)노랑풍선,104620,2022,-0.076548387,0.509355989,1.093251534,-24.22,5.05,-72.30747415
63,(주)노바렉스,194700,2022,0.451240109,0.468655179,0.000585781,21.04,0.35,-59.7778422
64,(주)노바텍,285490,2022,0.671501765,0.058767221,0.266313103,69,-0.72,-60.37680716
65,(주)노블엠앤비,106520,2022,-2.089383497,0.406073761,3.14729097,5,40.61,-47.02592033
66,(주)노터스,278650,2022,0.172615585,0.304860851,0.108383463,58.55,3.3,-53.87127453
67,(주)녹십자엠에스,142280,2022,-0.00697619,0.498288125,0.123235109,11.04,2.19,-50.89621458
68,(주)녹십자웰빙,234690,2022,0.216402761,0.370147462,0.056293232,2.11,0.17,-58.45787782
69,(주)녹원씨엔아이,65560,2022,-0.567759468,0.491278264,0.370470816,-14.71,4.83,-54.96207965
70,(주)누리플랜,69140,2022,0.002084562,3.199120119,0.076086708,-5.84,2.15,-49.16610666
71,(주)누리플렉스,40160,2022,0.24985208,1.295248694,0.094283194,17.73,0.99,-53.90195342
73,(주)뉴로메카,348340,2022,-0.188980151,0.031885972,0.02070733,80.61,-0.24,-45.24707591
74,(주)뉴보텍,60260,2022,-0.457272137,1.152741973,0.04723382,-22.22,3.83,-46.8828173
75,(주)뉴인텍,12340,2022,-0.116982476,0.808489114,0.08690688,-19.07,1.13,-48.94254675
76,(주)뉴트리,270870,2022,0.37520793,0.473259228,0.04220552,33.11,-0.01,-55.56774352
77,(주)뉴파워프라즈마,144960,2022,0.281338428,2.375176268,0.043720369,7.67,0.81,-64.51297916
78,(주)뉴프렉스,85670,2022,0.120083608,0.602301116,0.035870563,-13.27,0.92,-55.42649608
79,(주)다날,64260,2022,0.138023339,1.208611461,0.157987171,49.32,2.38,-57.21921301
80,(주)다보링크,340360,2022,-0.258316023,0.401288817,0.055289166,45.92,0.44,-44.35315417
81,(주)다산네트웍스,39560,2022,0.274026882,0.59598846,2.564821468,19.59,-2.82,-52.66703867
82,(주)다우데이타,32190,2022,0.016695584,37.48787862,0.273951185,27.74,0.1,-83.18067483
83,(주)다원시스,68240,2022,-0.11964576,0.949645655,0.011740579,-3.65,2.82,-49.94499656
84,(주)대동스틸,48470,2022,0.657362133,0.596447205,0.123259141,57.8,-0.21,-56.91400635
85,(주)대륙제관,4780,2022,0.605667028,0.800584868,0.008083919,40.87,0,-57.83125389
86,(주)대림제지,17650,2022,0.56483181,0.637929293,0.037325263,20.13,-0.3,-60.68635689
87,(주)대명소노시즌,7720,2022,0.096774384,0.712743124,0.033338597,46.2,-0.61,-49.86714946
88,(주)대성미생물연구소,36480,2022,0.471409483,0.671231477,0.021490196,27.77,1.17,-53.8270421
89,(주)대성파인텍,104040,2022,0.507141609,0.576192251,0.091762979,0.86,2.21,-47.16878472
90,(주)대성하이텍,129920,2022,0.123770885,0.763085516,0.038777927,24.38,2.25,-51.44501141
91,(주)대원,7680,2022,0.540685149,1.867624402,0.07708645,64.9,-0.51,-62.87978953
92,(주)대유,290380,2022,0.137194715,0.3940906,0.503931663,10.84,1.66,-49.73251683
93,(주)대유에이피,290120,2022,0.230771212,2.300636997,0.017676242,11.55,1.52,-60.42495427
94,(주)대창솔루션,96350,2022,-0.362495772,1.913029281,0.092387596,-38.72,5.37,-48.65392921
95,(주)대창스틸,140520,2022,0.537415958,1.209525507,0.171503779,45.7,0.17,-59.85907701
96,(주)대한과학,131220,2022,0.386792929,0.294653454,0.023934698,45.48,-0.09,-53.20637035
97,(주)대호특수강,21040,2022,-0.053256745,4.118914642,0.032837319,5.14,1.67,-53.99781822
98,(주)더 미동,161570,2022,-0.773492105,0.708459916,0.418435013,-19.61,11.87,-43.19070151
99,(주)더네이쳐홀딩스,298540,2022,0.330496894,0.532892323,0.070506898,4.13,0.44,-64.49636919
100,(주)더블유에스아이,299170,2022,0.358131036,0.345132847,0.010063032,41.04,-1.54,-46.58249267
101,(주)더코디,224060,2022,-0.383380679,1.936527612,0.322046539,64.11,8.26,-44.83068035
102,(주)덕산테코피아,317330,2022,0.35965926,0.383888806,0.025188055,18.17,-0.43,-53.21840036
103,(주)덕신하우징,90410,2022,0.437522014,0.556879719,0.082789373,22.62,0.61,-58.20975244
104,(주)데이타솔루션,263800,2022,0.080778022,0.431190965,0.024768208,25,0.21,-47.35804074
105,(주)덱스터스튜디오,206560,2022,-0.19981722,0.106234283,0.145100598,28.25,0.04,-49.47522134
106,(주)덴티스,261200,2022,-0.070283055,0.823625976,0.055898125,-3.93,3.02,-51.37058314
107,(주)동구바이오제약,6620,2022,0.358452624,0.400245914,0.052336554,12.42,-0.13,-60.01040095
108,(주)동국알앤에스,75970,2022,0.342002254,0.831139008,0.022304581,22.26,0.68,-57.48640057
109,(주)동국에스엔씨,100130,2022,0.11519354,0.854837403,0.075239498,0.54,0.62,-54.9542091
110,(주)동방선기,99410,2022,0.064041521,0.414920319,0.067417538,6.97,0.71,-43.80311262
111,(주)동성화인텍,33500,2022,0.195011773,0.605050541,0.003010466,13.75,0.54,-60.81493739
112,(주)동아엘텍,88130,2022,0.38708635,1.385389023,0.000435039,37.09,0.08,-61.32978144
113,(주)동양에스텍,60380,2022,0.466981658,1.637573811,0.069922008,21.08,0.69,-57.84963869
114,(주)동우팜투테이블,88910,2022,0.536766524,1.339407532,0.039626299,23.1,-0.53,-53.72806713
115,(주)동운아나텍,94170,2022,-0.1032913,0.2338592,0.179225338,33.89,5.16,-47.92047083
116,(주)동원개발,13120,2022,0.678270372,1.314422765,0.226970044,70.43,-1.55,-69.52557741
117,(주)동일기연,32960,2022,0.848557837,0.090663464,0.097719016,77.28,-3.68,-54.94223655
118,(주)동진쎄미켐,5290,2022,0.379112627,0.437386651,0.023236791,21.47,0.77,-67.96723611
119,(주)두산테스나,131970,2022,0.286670308,1.126376207,0.417376178,-21.87,1.96,-66.04277735
120,(주)듀오백,73190,2022,0.338369693,0.284958073,0.080326882,16.1,-1.63,-43.87255888
121,(주)드래곤플라이,30350,2022,-0.664414892,0.234160767,0.792729322,34.32,2.42,-47.12753398
122,(주)드림시큐리티,203650,2022,0.089111318,2.194877969,0.156172082,-21.91,4.91,-55.46866942
123,(주)드림씨아이에스,223250,2022,0.265705564,0.434096861,0.117327777,23.71,-0.6,-51.75563571
124,(주)드림어스컴퍼니,60570,2022,0.074928177,0.657157742,0.021255813,41.14,-0.94,-55.23669894
125,(주)디딤이앤에프,217620,2022,-0.372850943,1.160983359,0.154196241,-7.64,2.53,-49.48103566
126,(주)디모아,16670,2022,-0.238473189,0.762297144,0.508467193,45.44,-1.67,-47.84915785
127,(주)디바이스이엔지,187870,2022,0.654285494,0.348050812,0.154454221,60.94,-0.92,-56.39644239
128,(주)디스플레이테크,66670,2022,0.869258296,0.185647122,0.074305737,50.22,-1.84,-56.96140216
129,(주)디아크,78590,2022,-6.106946527,0.02946077,0.229013069,61.15,-0.64,-45.29837081
130,(주)디알젬,263690,2022,0.448758928,0.442077067,0.063922298,30.24,-0.36,-57.6307449
131,(주)디알텍,214680,2022,0.035660468,0.75834733,0.010192108,22.28,0.96,-57.23147286
132,(주)디앤씨미디어,263720,2022,0.55686717,0.063211583,0.01140262,42.56,-1.41,-49.63304985
133,(주)디어유,376300,2022,-0.267029848,0.016659861,0.09366996,81.18,-3.98,-53.63850184
134,(주)디에스앤엘,141020,2022,-10.35753385,0.367474059,0.253970647,-2.11,2.09,-81.72399049
135,(주)디에스케이,109740,2022,0.087298598,0.340026831,0.212597446,28.6,0.58,-52.22474359
136,(주)디에이테크놀로지,196490,2022,-0.701331121,0.591875768,0.174980265,27.57,1.47,-50.101664
137,(주)디에이피,66900,2022,0.439927083,2.454605387,0.02889768,-3.38,0.49,-55.02697733
138,(주)디엔에이링크,127120,2022,-1.582802767,0.242659197,0.52929745,18.84,-2.23,-45.46028276
139,(주)디엔에프,92070,2022,0.478438164,0.214574903,0.011784375,26.05,0.37,-57.70575591
140,(주)디엠에스,68790,2022,0.465421477,0.654011734,0.060747899,42.51,-0.12,-63.67868905
141,(주)디오,39840,2022,0.208054057,0.521193151,0.145324661,5.94,3.69,-53.61041364
142,(주)디와이디,219550,2022,-0.781730505,0.056306045,0.268390998,22.95,0.98,-45.86842747
143,(주)디이엔티,79810,2022,-0.163937924,0.427519647,0.340032299,-9.28,1.89,-50.63852806
144,(주)디지아이,43360,2022,0.684360886,0.107499539,0.105858938,40.3,-2.31,-47.51039725
145,(주)디지캡,197140,2022,0.240537468,0.211126751,0.126623503,33.71,-0.33,-53.50780405
146,(주)디지털대성,68930,2022,0.234408243,0.416714213,0.078299766,-6.16,-0.24,-61.17867273
147,(주)디지틀조선일보,33130,2022,0.476191523,0.081401351,0.082702002,51.56,-4.33,-56.16342498
148,(주)디케이앤디,263020,2022,0.288045432,1.1178603,0.027687385,15.76,1.85,-59.17922794
149,(주)디케이티,290550,2022,0.293553079,0.749864944,0.015167394,33.15,0.16,-54.37518671
150,(주)디티앤씨,187220,2022,0.079961977,1.771214141,0.090993803,-3.47,2.87,-52.72473688
152,(주)딜리,131180,2022,0.664850991,0.293215019,0.035907367,35.31,-0.75,-54.95661007
153,(주)딥노이드,315640,2022,-3.301851724,0.086184545,0.511313639,60.93,-4.86,-47.21038181
