,거래소코드,시가총액
256,060280,261455.6448
257,034810,260927.3502
258,100130,260857.795
259,045100,260100.0
260,037070,260000.0
261,035890,259683.55641
262,104480,257234.07822
263,101360,256198.5594
264,063080,255563.69
265,166480,255402.82152
266,089970,254194.307
267,382840,248499.4545
268,108230,248291.78985
269,317330,248095.278
270,083790,247612.701
271,054950,247238.2914
272,010170,246333.191325
273,314130,245897.04145
274,018310,245490.0
275,059090,244944.98274
276,052400,244499.9837
277,033160,244246.1168
278,263050,244105.3572
279,246710,242676.0861
280,078160,242336.4906
281,360070,242324.81005
282,011040,242150.18842
283,241840,241838.8479
284,110790,241338.888
285,206640,240737.24
286,035290,239000.6358
287,377030,237786.2163
288,293780,237482.9229
289,143160,237368.0385
290,084110,236652.975
291,052710,235790.4252
292,122450,235747.0128
293,023760,235444.743696
294,080420,234381.56868
295,040300,234360.0
296,149950,234112.5
297,032300,233403.4014
298,216080,233353.6929
299,053610,233200.0
300,035080,232137.3808
301,047820,231240.2763
302,288330,230798.53
303,048870,230756.27976
304,086980,230194.65
305,232140,230137.20675
306,114190,229882.7344
307,318020,229187.1232
308,073490,229076.496
309,382900,228662.1
310,160550,227434.7639
311,291230,226797.72489
312,251370,226771.0496
313,115960,226263.5
314,362320,226064.19
315,131370,225319.76109
316,282880,224258.579
317,150840,223669.017
318,182360,223635.9294
319,180400,222082.9299
320,086390,221908.323
321,042000,221822.37228
322,045390,220229.303125
323,330860,219312.81
324,046440,218976.20352
325,126340,218730.48
326,297090,218700.0
327,077360,217643.23958
328,419530,217350.529
329,285490,216804.5355
330,273640,214933.6
331,042420,214779.0005
332,065350,214374.7944
333,084650,214147.2249
334,017890,213897.024
335,051370,212979.81936
336,220100,212401.70955
337,089030,210674.5578
338,096240,209519.3166
339,067280,209215.2987
340,038290,207612.81
341,100790,207011.14147
342,057880,206724.8325
343,088390,206488.568
344,225530,206403.96936
345,192440,205761.6153
346,171090,204904.57765
347,033340,204565.67738
348,251970,203980.0
349,053300,203659.613625
350,371950,203461.51896
351,297890,203149.12995
352,091580,203060.4631
353,052260,201750.0
354,083310,201253.3729
355,069920,201187.35998
356,441270,200390.55344
357,044340,200182.36
358,053580,199900.596
359,005160,198806.02653
360,018000,198653.037375
361,252990,198609.23016
362,043610,198173.64358
363,083930,197283.8144
364,121440,197049.3628
365,089010,196870.58025
366,044490,196072.3338
367,174900,196071.2832
368,216050,195216.9744
369,019210,195060.96522
370,032820,195059.50968
371,012700,194908.01495
372,125210,194662.122
373,114810,194604.91362
374,092130,193299.78
375,310200,192473.13204
376,068930,192472.43652
377,109610,191717.008
378,092190,191500.50153
379,348150,191230.7254
380,086890,190800.341
381,194700,190361.7072
382,061250,189184.57668
383,039440,189168.5
384,122990,189134.37411
385,138610,188694.22705
386,276040,188502.566
387,025320,188142.722975
388,335890,187480.0344
389,036560,187425.0
390,007330,187026.72
391,138080,186984.072
392,146320,186755.6373
393,033310,186381.10722
394,304840,186279.978
395,042600,185732.4313
396,397030,185345.98875
397,078350,185219.2413
398,220260,185111.39979
399,356860,184853.444
400,228760,184820.33316
401,334970,184546.06638
402,010470,184415.77
403,023910,183600.0
404,123040,183539.19243
405,035810,183059.82445
406,054780,182771.86455
407,006910,182762.94528
408,027710,182723.224
409,083450,182627.802
410,228850,182501.154
411,234340,182442.9
412,090360,181837.5
413,049180,181594.325545
414,067990,181136.03496
415,388720,181055.8506
416,018290,181040.43825
417,094820,180944.508
418,033100,180702.10125
419,085670,179878.46479
420,270660,179822.2945
421,094170,179120.59876
422,038880,178924.87405
423,950170,178832.09568
424,136540,176074.8574
425,244460,175897.69533
426,042370,175802.16775
427,241820,175404.65735
428,064290,175394.4775
429,036630,175230.0
430,298060,175142.2365
431,067080,174996.51
