,회사명,거래소코드,회계년도,차입금의존도,부채비율,순운전자본비율,산업군,총자본정상영업이익률,자기자본순이익률,총자본순이익률,매출액총이익률,금융비용부담률,자본금회전률,유형자산회전율,재고자산회전률,자기자본회전률,타인자본회전률,총자본회전률,외국인지분율,대주주지분율,유형자산증가율,매출액증가율,자기자본증가율,총자본증가율,정상영업이익증가율,업력,누적수익성비율,이자부담률,부채상환계수,현금흐름 대 자산,현금흐름 대 매출액,TMD,시총/총자산,EBIT/총자산,당기전기영업손익,FINDEP,EBITDA마진율,PBR변화율,ROA변화율,target_1,target_2,target_3,현금흐름/총부채비율,영업현금흐름-단기차입금,abs(영업현금흐름-당기순이익)/매출액
0,(주)CMG제약,058820,2012,30.58,80.77,70.6,제조업,-9.96,-26.84,-15.78,28.34,2.53,0.59,1.71,5.71,0.66,0.93,0.39,0.29,30.29,-4.130613926658426,-8.432852636322668,75.17467006765,109.1485075993408,-757.1875,11,-0.917209497793654,-4.8851197053407,-4.125381026438569,-0.0275443020242347,-0.0967702245462934,0.2905801949626506,1.5376824297821672,-0.0963262590180009,-1783.0,2144.0950000000003,-16.318794217163948,46.153353643935205,-182.7956989247312,0,0,0,-0.0616451777246541,-1673.0,0.312949861581052
1,(주)CMG제약,058820,2013,2.53,14.11,58.5,제조업,1.4,0.74,0.52,38.7,1.65,0.53,2.03,5.39,0.51,1.26,0.36,0.25,26.8,16.09541205544214,25.51215010765918,55.097970941090814,-2.0925264411290887,118.80646695197336,12,-0.9336290308157316,1.70179012345679,1.70179012345679,-0.0704487328528249,-0.193069306930693,0.0856492707123412,1.443961853450897,0.0112853898020138,-1707.5,6667.3240000000005,9.45902362513479,-40.72128291454913,103.29531051964511,0,0,0,-0.5696312364425162,-3939.0,0.2075776884619155
2,(주)CMG제약,058820,2014,2.66,18.5,33.72,제조업,0.78,0.32,0.28,37.07,-0.65,0.53,1.54,4.77,0.46,2.85,0.4,0.34,26.8,74.3081906524757,11.523380060778356,0.0122456476927158,3.8542020639207344,-44.121365360303415,13,-0.9022869738926776,15.535447154471544,1.1469747899159664,0.0124853619893917,0.0318639300312046,0.1147541165079688,1.3605376763794172,0.0007577323138389,616.5,8695.915,8.398277150265898,-2.1579041451346543,-46.15384615384615,0,0,0,0.0799691153761305,720.0,0.024919790796818
3,(주)CMG제약,058820,2015,0.01,20.78,30.82,제조업,-4.49,-7.62,-6.37,36.26,-0.11,0.62,1.48,5.22,0.56,2.88,0.47,0.65,26.29,-5.373261123500053,18.850261503977496,-4.481358284186682,-2.6434525039608734,-681.9004524886877,14,-0.9978950347584596,-8.510375,-7.916627906976744,0.0426299683370774,0.0891206271725464,0.0522041058607195,3.2955474650204306,-0.0650947234358693,-1065.0,-1735.567,-2.517676207381111,146.8846135015625,-2375.0,0,0,0,0.2477894303927616,2404.0,0.2240958508986021
4,(주)ES큐브,050120,2012,0.33,16.11,38.68,도매 및 소매업,0.19,0.29,-0.78,28.02,-0.65,4.79,17.59,11.55,1.4,8.72,1.21,2.04,19.99,-26.240148354195643,4.8538778568752345,1.5644906487285326,-16.574436252861545,102.43835616438358,35,-0.002182273886176,91.53673076923076,23.10635922330097,0.112894861933365,0.0933519143842347,0.0800363596482819,1.7336876526511389,-0.0022038805583164,-1780.5,-4491.119,8.504243268835648,60.32310916813686,90.98265895953756,0,0,0,0.8136094674556213,5071.0,0.0997659502242232
5,(주)ES큐브,050120,2013,0.32,11.25,73.67,도매 및 소매업,-2.49,-40.47,-35.23,24.76,-0.52,3.91,21.87,10.55,1.43,10.48,1.25,0.74,16.44,-31.583909490886235,4.691715352593307,6.302057200200703,1.8495311352145545,-1408.9887640449438,36,-0.3407866265009122,94.4132258064516,15.90657608695652,0.0549662692519835,0.0442172807481611,0.084786896216471,1.1922381526581527,-0.3370741227884085,-538.0,-2204.083,4.99481202109323,-34.11151463102142,-4416.666666666666,0,0,0,0.5437565582371459,2438.0,0.325050770517262
6,(주)ES큐브,050120,2014,4.74,14.07,71.03,도매 및 소매업,0.33,1.15,-1.19,21.42,-1.43,2.44,19.86,7.2,0.97,7.57,0.86,1.13,16.44,5.604042259990813,-24.125808488489174,17.12451618993675,20.09843438414867,114.67811158798284,37,-0.0300819614216067,189.4975,2.6319097222222223,0.0510315834098777,0.0649797570850202,0.1371881426456779,0.899247328658235,-0.0336324454179325,-497.0,-2837.36,3.409761583445794,-22.65973125770016,96.6221969912007,0,0,0,0.4136597938144329,2321.0,0.0788124156545209
7,(주)ES큐브,050120,2015,3.47,12.01,64.37,도매 및 소매업,-7.24,1.56,-4.11,27.8,-0.54,2.31,19.76,6.55,0.85,6.51,0.75,2.77,16.44,-14.39756415832971,-5.1889338731444,0.0523897799629241,-1.7522786688334628,-2474.2690058479534,38,0.0271125494426465,7.875350877192982,7.875350877192982,-0.0499460625674217,-0.065902782720091,0.1018579111256204,1.0530706262135925,-0.0643833153541891,-1944.5,3098.039,6.389509643441747,14.993518589499558,-245.37815126050427,0,0,0,-0.4656386188400939,-2778.0,0.0111735819514625
8,(주)ES큐브,050120,2016,28.34,46.68,45.15,도매 및 소매업,2.69,38.07,26.79,28.68,-0.61,1.76,7.59,4.82,0.57,1.74,0.43,2.49,17.8,258.9430894308943,-18.655848931274168,44.39118701413784,89.07766990291263,153.2266009852217,39,0.2208624542385774,11.101203319502076,1.856620402498265,0.0118005039699519,0.0361923648983639,0.4716288285977689,0.6747939289212189,0.2044311320306185,-949.5,4538.392,7.802473096328268,-16.09009630853826,751.8248175182481,0,0,0,0.0370790881113866,1241.0,0.5920265974510776
9,(주)ES큐브,050120,2017,27.01,45.42,44.7,도매 및 소매업,2.13,2.41,1.65,27.1,1.01,1.15,3.83,4.53,0.49,1.07,0.34,1.12,19.16,64.55266138165345,4.249176120621774,1.5635460834635124,0.6912946322445681,4.072188801480796,40,0.2351169115702791,3.671859872611465,1.452095717884131,0.0218241226910437,0.064650590275835,0.3857577172197081,0.8096961585388887,0.0227968118460318,2205.0,405.9699999999998,8.063587534269569,18.96110270727683,-93.84098544232924,0,0,0,0.0698715041572184,2311.0,0.0160297655681754
