,회사명,거래소코드,회계년도,산업군,WW지수,총자본회전률,타인자본회전률,차입금의존도,총자본순이익률,대주주지분율,EBIT/총자산,총자본정상영업이익률,순운전자본비율,EBITDA마진율,현금흐름 대 자산,매출액총이익률,자본금회전률,현금흐름 대 매출액,abs(영업현금흐름-당기순이익)/매출액,누적수익성비율,당기전기영업손익,합계_기말인원(명),금융비용부담률,TMD,총자본증가율,FINDEP,자기자본증가율,매출액증가율,정상영업이익증가율,자기자본순이익률,target_1,target_2,target_3
1971,(주)이엠넷,123570,2016,"전문, 과학 및 기술 서비스업",-52.79833331763968,0.43,1.04,0.67,3.56,41.31,0.0610152110750299,5.16,38.28,8.233332112913265,-0.0033249949503581,0.0,6.62,-0.0078350968403324,0.0900303884597078,0.3911685648140955,3020.5,257.0,-0.89,0.4138077362493879,4.006011441129893,247.957,12.906306984283193,4.969254419677172,17.224020136641496,6.1,0,0,0
1972,(주)이엠넷,123570,2017,"전문, 과학 및 기술 서비스업",-55.59459480740535,0.43,1.11,0.05,5.73,40.79,0.0693267403141211,6.23,39.84,10.84803887539049,0.0869049490517771,0.0,5.21,0.2110725442554668,0.0774730996181881,0.4203478484558329,3721.5,253.0,-1.12,0.5710984462515695,8.719566196920496,-5346.977,11.789889253486464,5.480906528026948,28.31288343558282,9.32,0,0,0
1973,(주)이엠넷,123570,2018,"전문, 과학 및 기술 서비스업",-56.79062998971539,0.41,1.1,0.03,5.77,40.79,0.0719961893254641,7.11,44.87,11.974399544318215,0.0580546971210818,0.0,3.78,0.1581279073447042,0.0157273504003037,0.3893974951785672,4863.5,301.0,-1.41,0.6458917514475746,23.010303974390123,-4899.503,26.282477583874147,9.6876084692815,32.5364570882142,8.88,0,0,0
1974,(주)이엠텍,91120,2013,제조업,-51.57611607888148,2.16,5.29,12.45,18.67,15.01,0.2041055532676529,19.6,47.67,5.060158948517428,0.1473849272974942,16.94,39.65,0.0695680129192398,0.0168742617043228,0.4926822314442297,26559.5,203.0,0.08,0.2957852673146575,3.9850447586655577,-1407.3709999999992,41.045672088548265,-10.72681219151613,-15.859534786979582,31.56,0,0,0
1975,(주)이엠텍,91120,2014,제조업,-53.08779121449077,1.22,3.18,21.73,6.83,14.86,0.0790123597946513,8.62,39.64,3.3875442514024288,0.0515658407747453,18.91,27.08,0.0491258646043243,0.0069004956157072,0.414058837653354,18627.0,235.0,0.08,0.4920657284082313,38.53232806411759,6214.5380000000005,16.392257462686565,-31.3628003648489,-46.51450230718523,11.12,0,0,0
1976,(주)이엠텍,91120,2015,제조업,-54.25907134721292,1.16,2.94,17.73,6.96,14.19,0.0798289657319833,7.3,43.93,-0.9934645269043644,0.0941022090999571,17.03,29.87,0.0819306271633626,0.0221915619780698,0.4698104499936056,12968.0,238.0,0.22,0.5693775911800357,2.8155406409714043,-2742.004999999999,14.52643811737362,12.502042372419805,-0.215683253735942,11.49,0,0,0
1977,(주)이엠텍,91120,2016,제조업,-61.34483548157148,1.22,3.39,16.76,6.58,14.15,0.0950990022230264,8.89,24.68,1.4934268147421526,0.1457116269451481,17.95,32.54,0.123427865751121,0.0696118273542601,0.4960399110789433,14770.5,264.0,0.35,0.481089265339868,7.552530762259031,-3244.326000000001,8.66180304064102,10.54728535811972,28.045391384900416,9.81,0,0,0
1978,(주)이엠텍,91120,2017,제조업,-58.60011794153374,0.98,3.12,13.72,3.0,14.46,0.0298723353837343,6.88,31.99,4.610039047026201,0.0611220268362279,21.87,27.18,0.0636944968901281,0.0331616773244298,0.4864041626761189,15107.0,337.0,0.39,0.2158878141606492,4.721087731996071,8444.401999999998,18.509096763806152,-14.876594030269056,-17.84530053656478,3.98,0,0,0
1979,(주)이엠텍,91120,2018,제조업,-63.46116973552136,1.16,3.75,14.09,9.64,16.27,0.0834805867963883,8.62,16.5,10.028572227640913,0.079433715152901,21.93,38.44,0.0801476680405667,0.0026289386009991,0.4180958914551414,17396.0,421.0,0.45,0.3733132156663652,42.48378274306138,5142.028999999999,30.14835747085836,47.15790123520304,55.31665076685991,14.27,0,0,0
1980,(주)이오테크닉스,39030,2012,제조업,-64.5642870228478,0.67,2.02,20.85,9.66,44.0,0.1150266466073386,12.0,12.26,18.18859904598479,0.0748527424331284,35.4,31.14,0.1232348357236189,0.0218090605206677,0.3915999439018793,24970.0,474.0,0.41,0.2890378030207459,21.42425884356374,41329.493,14.272542872948552,23.99744929497733,119.7387796914015,14.47,0,0,0
1981,(주)이오테크닉스,39030,2013,제조업,-61.93762854088962,0.7,2.07,24.32,10.37,32.7,0.1271553438888825,12.95,15.99,17.065870069005918,0.0141766785255572,32.11,37.93,0.0214900454008976,0.1271483584172575,0.4424237602155059,38710.0,510.0,0.83,0.2268251089568541,12.169467322844683,28246.254,16.058601180434326,21.825328106715364,25.57617785029574,15.62,0,0,0
1982,(주)이오테크닉스,39030,2014,제조업,-65.14879553933108,0.83,2.82,13.98,11.57,32.62,0.1400695909621306,15.49,29.3,18.206013034647512,0.2064970880844574,31.78,49.25,0.2597519639774561,0.1195218199469204,0.5172146757382516,49881.5,576.0,0.44,0.0647274075549092,7.880005455847418,-70565.567,18.02764798328144,30.00465208439226,31.474048121766167,16.39,0,0,0
1983,(주)이오테크닉스,39030,2015,제조업,-61.87260931260897,0.72,3.23,11.86,6.56,31.69,0.0742569345179829,7.59,38.58,9.212968620959112,0.0252117967930787,24.39,44.01,0.0348158106221367,0.0566622596020309,0.5850660130175579,42604.5,629.0,0.18,0.0442942053816266,-1.7821818689466795,-6427.108,8.896647246972812,-10.533081961890058,-49.624099957645065,8.4,0,0,0
1984,(주)이오테크닉스,39030,2016,제조업,-61.73300370338346,0.79,3.99,7.05,4.98,31.79,0.0437708789662387,5.44,40.43,7.157935442778827,0.0858897957685295,18.16,50.14,0.114045891325753,0.0508632651668524,0.5777242079759181,24902.0,653.0,0.07,0.0783732165083724,9.580536417784764,-27087.847,5.613505982625799,13.964099088589409,-25.52461026449465,6.19,0,0,0
1985,(주)이오테크닉스,39030,2017,제조업,-60.09412749635725,0.95,4.94,5.93,10.15,31.8,0.1388539825531672,14.16,40.99,13.257083968407926,0.0838018131022293,23.17,65.82,0.0909187632375937,0.015454581444605,0.6332379269057529,40619.0,677.0,0.01,0.05757110218257,7.310238494389447,-7563.149000000001,12.179133015078808,31.33459202474921,182.13462533515212,12.7,0,0,0
