,회사명,거래소코드,회계년도,산업군,target_1,target_2,target_3,현금흐름 대 자산,현금흐름 대 매출액,현금흐름/총부채비율,총자본정상영업이익률,타인자본회전률,EBIT/총자산,이익잉여금,당기전기영업손익,TMD,누적수익성비율,EBITDA마진율,자기자본회전률,순운전자본비율,금융비용부담률,자기자본순이익률,자본금회전률,외국인지분율,abs(영업현금흐름-당기순이익)/매출액,총자본증가율,매출액총이익률,매출액증가율,대주주지분율,자기자본증가율,ROA변화율,정상영업이익증가율
0,(주)DB하이텍,990,2012,제조업,0.0,0.0,0.0,0.2231134036524506,0.8340184460245523,-0.1928123328526173,-0.9961482900734482,-1.7644573915653077,-0.762436503415528,-2.279492228095576,-0.546937894427473,1.0758685929296457,-2.104733552460392,1.492809535968978,0.1239152902800653,-1.6056916192585944,2.5415865278161207,-0.8457198100221746,-1.6803007536936072,0.3695819776878163,1.7404824300033972,-0.4446354301278681,-0.1805870420410859,0.2435557769714644,-0.4363002094315448,-0.152116210083793,0.1011350661506745,0.1723312376434669
1,(주)DB하이텍,990,2013,제조업,0.0,0.0,0.0,-0.3650957443324162,-0.0329370660105836,-0.4730169304723469,-0.9296586446067902,-1.96473221330949,-0.944576304697504,-0.434551274350074,-0.3636097904495193,0.8970665841490432,-1.2413090732321483,1.4195949451259782,0.1397548357365899,-1.737080846712612,3.3482236527638025,-1.3433014366052298,-1.8248757973990275,0.3287439435266709,1.9581647931375288,-0.8932199038234041,-0.0726873624421247,-1.212687621968735,-0.4363002094315448,-0.6928324485694656,-0.2709365881990339,0.0905112447055045
2,(주)DB하이텍,990,2014,제조업,0.0,0.0,0.0,-0.0185777883943165,0.3028972777341813,-0.3506962306041578,0.035163931120283,-1.783760541486884,-0.8579378053627637,-0.7213514217608434,-0.1837320813982618,1.3457893682612896,-1.4583830665242907,2.456248819507016,1.004849743445638,-1.2091891158781656,3.3702958457672736,-1.5893408981547057,-1.723246020745714,-0.1604678134551711,1.938703567807519,-0.7461672404380058,0.3095241249270624,0.5796839570491106,-0.4294203157624824,-0.9718373024331868,-0.025513471859327,1.8147132642765116
3,(주)DB하이텍,990,2015,제조업,0.0,0.0,0.0,1.7925870256733922,2.3946121310058643,0.425729887893474,1.834030486172544,-1.4580730372174926,2.5510644389960784,-0.3109288817110698,-0.0042961369897172,0.059541378570513,-1.150088241658158,3.8845223248705145,1.0343531418563052,-0.0921189979331573,2.417918239219731,9.632827135439262,-1.599664048409241,0.6042087733259138,-0.1838323918276249,-0.1793782124722691,0.9640989769660384,0.6779548791031972,-1.6095473852325914,1.162974298973752,0.533926342378725,0.5287488281205964
4,(주)DB하이텍,990,2016,제조업,0.0,0.0,0.0,3.638564767197989,4.021911986197082,1.207206560229099,2.965691515988312,-1.027481934242572,1.4262194022550232,-0.204951918103389,0.1548621550082183,-0.1884347499784469,-0.8822092693559812,4.122011833304792,0.5511356471111591,-0.0880742620120068,1.7397657933629194,3.0303775953675687,-1.4853506024632173,0.8336067101594408,1.8848313665869536,-0.1628213241120031,1.1567128932016617,0.6203294059015539,-1.6115540838463207,0.3788555472042054,-0.0690503613950284,0.0888905870085077
5,(주)DB하이텍,990,2017,제조업,0.0,0.0,0.0,2.3293180011635792,3.0771937570941,1.0179200323586912,2.245779053147932,-0.9858437612766656,1.4032710732927114,-0.1550047771571236,0.1772894807603875,-0.0811231874385317,-0.5112897938660601,3.919984622199236,-0.1069782736937985,0.4887457704081765,1.18726579369152,2.726409990646967,-1.586847004038891,1.148246156573948,1.1229277868464,-0.1291882280748061,1.143454528102977,-0.8928692723933228,-1.573479502013895,0.3646349621360153,0.0202380758885119,-0.0897507182082587
6,(주)DB하이텍,990,2018,제조업,0.0,0.0,0.0,2.048125863420331,3.0781796429411927,1.0804157295699737,1.4409595820807115,-0.8139344725793124,1.0285895157737828,-0.1096216926875299,0.1037971803220597,-0.0352231300818899,-0.1809961111473327,3.19392516866784,-0.49839848245565,0.5024803523286785,0.6804910737808713,1.2646916334971945,-1.597087170710813,1.40945726796803,1.464908674566399,0.2508638927446099,0.8194037407532769,-0.1767527824127763,-1.5641446590731984,0.2416953047244898,-0.0602921934081883,-0.103343324819686
7,(주)HJ중공업,97230,2012,건설업,0.0,0.0,0.0,-0.9651336205973998,-1.029263400470306,-0.7590429284866138,-0.6661488959013474,-2.093210664695273,-0.2680036147304757,0.0673973761013112,-0.0166676396913981,1.7915647866468922,-0.737222256995751,-0.4606629195424738,-0.386442507090238,-0.7005073304972104,2.3030730963121497,-0.6206673306085586,-0.5355250715119031,0.4625376472395937,-1.0633596317495382,-0.6994316432834948,-0.7462975500043713,-0.8750049208074203,-0.4306710532019169,-0.2043313957044962,0.0539512890377903,-0.2017087653871165
8,(주)HJ중공업,97230,2013,건설업,0.0,0.0,0.0,-1.4738889885132969,-1.8903541164893447,-1.033584628591054,-0.9559205164690596,-2.093210664695273,-0.8487655976224275,-0.0035962161833158,-0.3188609266627799,1.6115288428839372,-0.8314628837404664,-1.012741145433758,-0.2914952787302763,-0.9340780984091348,2.13061482750616,-0.8666636504795148,-0.7173839510979707,0.5407669232564292,0.1480443754150845,-0.0805545787708902,-1.06110153443086,-0.1317564014176322,-0.5724497863497583,-0.1298256559178373,-0.3817483122192858,-0.7972667658174099
9,(주)HJ중공업,97230,2014,건설업,0.0,0.0,0.0,-1.3141173265908974,-1.6098078959816255,-0.9432741212551145,-1.1172170571140785,-2.093210664695273,-0.929947631010903,-0.127563366270654,-1.4679571117955517,1.9429627225793509,-0.9696358991637954,-1.0099371412115,-0.2310057756317315,-0.71914129111015,2.1088080835086926,-1.0414387707588455,-1.0481489570528133,-0.3260077980504318,-0.6280002273649475,-0.4235765546409227,-1.2702117969599804,-0.1071563967148651,-0.717687360012974,-0.1211784153213166,-0.1085087358280329,-0.3908807181673164
