,회사명,거래소코드,회계년도,산업군,총자본순이익률,EBIT/총자산,총자본정상영업이익률,차입금의존도,순운전자본비율,현금흐름 대 매출액,EBITDA마진율,현금흐름 대 자산,abs(영업현금흐름-당기순이익)/매출액,누적수익성비율,타인자본회전률,WW지수,당기전기영업손익,금융비용부담률,총자본회전률,자본금회전률,FINDEP,총자본증가율,TMD,매출액총이익률,자기자본증가율,매출액증가율,합계_기말인원(명),정상영업이익증가율,자기자본순이익률,대주주지분율,target_1,target_2,target_3
0,(주)CMG제약,58820,2012,제조업,-1.3445316000734278,-0.6951245327170645,-1.6968886782158807,0.4047848397935324,1.723235557884134,-0.6444525994442658,-1.4646466662150572,-0.7475211688326198,0.5391631102439252,-2.1088234059320583,-1.0115707706584414,1.327296346284183,-0.6124715145018939,0.3534303833383218,-1.1308933535014714,-0.9191687969623058,0.1323694170778633,4.556655751396254,-0.4104473428499929,0.4004863164368015,1.674708641212107,-0.5155075042332286,-0.435556501545438,-2.7201488041441,-0.2562471364246086,-0.421868161128282,0,0,0
1,(주)CMG제약,58820,2013,제조업,0.0121693936481988,-0.0190033749156,-0.224358161289869,-0.995495463708288,1.322690189996586,-1.1079537071224854,0.2469332911218246,-1.2182024206341246,0.2473127506808291,-2.1401311250529487,-0.8079822561145441,1.024127370183482,-0.6070453023609209,0.1375854031128075,-1.1989415938024428,-0.9223117014993976,0.394669405439934,-0.4427249960755299,-0.5446587298941604,1.026989615148468,1.176957971730232,0.579794786252963,-0.4270652956304775,0.4673547249679395,0.0437050013146416,-0.6464162326607492,0,0,0
2,(주)CMG제약,58820,2014,제조업,-0.0078065719035306,-0.0851483698849383,-0.3047251437277322,-0.9890057510717378,0.5023997589012602,-0.0253182146125737,0.1765024882777525,-0.3083774253250814,-0.258596651513293,-2.080370088396269,0.1729442230515073,1.2385687026022465,-0.4400185869222303,-0.4265548861129684,-1.108210606734481,-0.9223117014993976,0.5123064730505726,-0.1754678615565188,-0.52559766461947,0.928418150196729,-0.1887524207421745,0.128419601840888,-0.3081884128210302,-0.1254952946423318,0.0391372022627749,-0.6464162326607492,0,0,0
3,(주)CMG제약,58820,2015,제조업,-0.5613072840660348,-0.4988976164932791,-0.9878444944495705,-1.1212960471244944,0.4064012823001123,0.250266369268233,-0.5482883802307184,0.0223227092945233,0.2930632700425021,-2.2626694455859155,0.1914522698282252,1.2246350581734275,-0.5608685963930384,-0.294104557338221,-0.949431379365548,-0.91759734469376,-0.0926104142436921,-0.4674846468245479,-0.5665623151196596,0.8794347841777665,-0.3001598962131032,0.3648358451207499,-0.3421532364808723,-2.446199737492719,-0.0472159512415632,-0.6792298476984452,0,0,0
4,(주)ES큐브,50120,2012,도매 및 소매업,-0.0960337530903358,-0.1037561056276596,-0.3812034012089248,-1.1053213698652935,0.666590256812189,0.2706321532504064,0.1835383625247634,0.7931607658050362,-0.0512944967393968,-0.3641078116734085,3.794352042362653,1.0743480443105609,-0.6122918386031861,-0.4265548861129684,0.729091881391745,-0.6991654793658771,-0.2524036189501265,-1.0935691897123705,-0.548334683545464,0.3811348631947423,-0.1502684556443777,-0.0867850070800207,-0.0025049998824512,0.4077956265395827,0.0388109309019273,-1.0845745040464525,0,0,0
5,(주)ES큐브,50120,2014,도매 및 소매업,-0.1301593609078736,-0.3012209516171754,-0.3630560180777943,-0.8851703488869326,1.7374698147594767,0.1340729461448465,-0.1547219510160168,0.1144922736786497,-0.1093297105654538,-0.4173051577700002,3.0848769159217984,0.9775849794066998,-0.5200462322066459,-0.6178720276764924,-0.0648042554529205,-0.8222625737353074,-0.1565028881992249,0.5545784115629989,-0.5109053883027467,-0.0179888599227284,0.2355027850097045,-1.021871596144343,-0.8898360179958262,0.4523327638716368,0.0481640432462259,-1.312983000877472,0,0,0
6,(주)ES큐브,50120,2015,도매 및 소매업,-0.3732002751205823,-0.4944278582363507,-1.3443109488110612,-0.948569849259386,1.5170043478064958,-0.4958832348834714,0.0431255583660158,-0.9932787395867936,-0.2966696633473617,-0.3082503095604258,2.430925929811097,1.3425891969540746,-0.6240785775584121,-0.3995742635847791,-0.3143144698898154,-0.8290722002323397,0.1876881949018618,-0.4274336229158191,-0.5340435232340408,0.3678307390908267,-0.1877571491296797,-0.4108360838695869,-0.8388887825060631,-8.968140875034052,0.0526230851778101,-1.312983000877472,0,0,0
7,(주)ES큐브,50120,2017,도매 및 소매업,0.1062228981209251,0.0533225868709381,-0.129732520677546,0.2265673466205735,0.8658698530669858,0.1324886197225112,0.1542799695924001,-0.2059269442806111,-0.2832194431166404,0.088359151662117,-0.9251998857004244,0.7015545301758268,-0.3258525208833491,-0.0193927643239301,-1.2443070873364237,-0.889835021282782,0.0315763404346457,-0.3176148548522174,-0.3481145967099115,0.3254994351238223,-0.1502918737366682,-0.1062968981755905,-0.8558711943359841,0.0498679267570702,0.0618674404018261,-1.137977054009761,0,0,0
8,(주)ES큐브,50120,2018,도매 및 소매업,-0.4980500598188915,-0.5050075849759763,-0.5497148159979931,0.475173261466886,-0.3946894534749839,-0.3708445426742571,-0.0859749448966056,-0.5768787000773676,0.0639188805817234,0.008406347874142,-1.0300788174351596,0.6803749468068666,-0.4470259469718311,0.2945635705495452,-1.3123553276373952,-0.9076448136596358,0.1127330555849616,-0.0711596761417243,-0.1098367261591387,0.0709068784079809,-0.2594664986758823,-0.422314813976972,-0.8770992091233855,-0.5247539239530693,-0.0245944702227945,-1.137977054009761,0,0,0
9,(주)가비아,79940,2012,정보통신업,1.01263233503065,0.4706165364915361,0.9098532844057828,-0.3470234087176055,0.0518689773351833,0.743060166029149,0.2579890241979108,1.256620946602448,-0.1749699601078145,0.2885157717388341,0.4135488311488408,-0.7297006331907799,0.0834851115525639,-1.6063439257547,0.0712922251490222,-0.3948275566908173,0.7028444003721648,1.055257708645063,-0.2806685779825091,1.204781091809887,0.3345983789207709,0.7470338443241992,-0.1086450738194578,0.0100983022257592,0.2673096406155477,-0.7461438862066875,0,0,0
