,회사명,거래소코드,회계년도,산업군,target_1,target_2,target_3,현금흐름/총부채비율,총자본정상영업이익률,EBIT/총자산,타인자본회전률,현금흐름 대 자산,총자본회전률,차입금의존도,누적수익성비율,EBITDA마진율,순운전자본비율,TMD,부채비율,금융비용부담률,자기자본순이익률,외국인지분율,당기전기영업손익,ROA변화율,총자본증가율,매출액총이익률,매출액증가율,자본금회전률,영업현금흐름-단기차입금,정상영업이익증가율,대주주지분율
0,(주)DB하이텍,990,2012,제조업,0.0,0.0,0.0,-0.0969271291883085,-1.049313675648195,-0.9725182126957544,-0.922077922077922,0.2235750538228882,-0.8039215686274512,1.456769815976149,-2.3798472450156534,1.88041094346858,-1.2451488952929874,1.1610274646413938,1.916087516087516,5.260869565217392,-1.8138452588714369,0.2557892500531123,-0.8531905134623854,0.6820043669372433,-0.5985824266704987,0.0467550593161198,0.2933877892156203,-0.5007309941520468,1.0097931655714798,0.8469872634615117,-0.3568418718119317
1,(주)DB하이텍,990,2013,제조업,0.0,0.0,0.0,-0.3975032952937528,-0.9557702084392476,-1.2309767109545096,-0.987012987012987,-0.3266417872753412,-0.9019607843137256,1.615092011925568,-1.102821249584941,1.8028935913291515,-1.349663784822286,0.8581168262204252,3.0289926289926288,7.91304347826087,-4.494473531122745,0.2234969194816231,-0.5470527427941609,-1.64975560400496,-1.0774583629550618,0.1653872993719467,-1.3436138304587937,-0.5147660818713451,0.469252000785301,0.5114212348574185,-0.3568418718119317
2,(주)DB하이텍,990,2014,제조업,0.0,0.0,0.0,-0.2680380513038813,0.1281138790035587,-1.106940366617232,-0.9285714285714284,0.0005707148506245,-0.6862745098039217,1.7845173229155955,-1.3744613446309262,2.8750404165866064,-0.9304514889529298,1.807278611090321,5.828103428103429,7.992753623188406,-6.101221640488656,-0.0611854684512428,0.0114052042234397,0.0613428002112385,-0.9249611348420236,0.586182833217027,0.85253475577309,-0.5051169590643275,0.6840780219653313,7.609715123884981,-0.3519627411842981
3,(주)DB하이텍,990,2016,제조업,0.0,0.0,0.0,1.6369948015884614,2.7778342653787487,1.6014244044311212,-0.6298701298701297,3.017031479007091,-0.2549019607843137,0.7955176313354579,-0.7098889740284313,4.513232568432971,-0.0589817483189241,-0.0771439142563914,0.892102492102492,3.1159420289855078,2.8539848749272827,0.7665179519864032,2.3978540508099795,-0.2196907147096462,-0.2573947190369871,1.5212840195394275,0.9226796681299132,-0.4782163742690059,2.9074846115647124,0.5047787804787499,-1.1654468840097585
4,(주)DB하이텍,990,2017,제조업,0.0,0.0,0.0,1.378066340045906,2.161667513980681,1.5782866586302589,-0.6103896103896104,2.0146499104179485,-0.4313725490196081,0.5064254137966487,-0.3596117150778725,4.318824964239798,0.3779058597502401,-0.0220589957728169,0.2319410319410319,1.9130434782608692,2.6178010471204187,1.335032929679201,2.564217597969974,0.2956671774816351,-0.210061220703827,1.5066294487090015,-1.039859241463605,-0.4904970760233918,2.2004827291519904,-0.2232631168375154,-1.1401641162120204
5,(주)DB하이텍,990,2018,제조업,0.0,0.0,0.0,1.4626492781459906,1.4519572953736657,1.1911445443897386,-0.5259740259740259,1.789405593562439,-0.5098039215686275,0.211576025496042,-0.0811301154534554,3.6110582288418223,0.3882804995196925,0.0030525035589432,-0.0214344214344213,1.0,1.3961605584642234,2.028468238793286,2.0217059428918285,-0.1611435943027847,0.402797655779274,1.1486392184228889,-0.3026442852265353,-0.4916666666666666,2.1151967294522525,-0.2781048089985327,-1.133954313595032
6,(주)HJ중공업,97230,2012,건설업,0.0,0.0,0.0,-0.6899904441628203,-0.6202338586680223,-0.3125303312541109,-1.0259740259740258,-0.9160525042384864,-1.058823529411765,1.348206024467976,-0.56739777530802,-0.3661651634092306,-0.5292987512007684,3.999844786961238,1.7836433836433838,4.572463768115942,-0.93891797556719,0.3356702783089016,1.1518252206078667,0.4587857885864058,-0.8757306868092452,-0.5736217725052337,-1.0225959883762663,-0.270906432748538,-4.854257370858403,-0.6744263055068557,-0.3528498558438677
7,(주)HJ중공업,97230,2013,건설업,0.0,0.0,0.0,-0.9581673048634548,-0.9923741738688356,-1.0939262754367385,-1.0259740259740258,-1.440550147591898,-1.03921568627451,1.357253007093657,-0.6591121891094197,-1.25786122161205,-0.7129682997118155,2.845275908776401,2.007534807534807,4.101449275362319,-1.908086096567772,0.4104525175270872,-0.4687999890466225,-2.4666592610992075,-0.1386090346144683,-0.916957431960921,-0.2498456772771514,-0.3282163742690059,-9.662297467404231,-3.0666411178116184,-0.4530938123752496
8,(주)HJ중공업,97230,2014,건설업,0.0,0.0,0.0,-0.8712135679251669,-1.2262328418912047,-1.2098917137177596,-1.0259740259740258,-1.273292398277562,-1.03921568627451,1.2133237380487305,-0.7998519803668834,-1.2523758001109189,-0.5439000960614793,5.540609586219078,2.040669240669241,4.043478260869565,-2.764397905759162,-0.1257701295942214,-2.275212735126797,-0.4892903231155154,-0.574814135995863,-1.1430565247732032,-0.2199713156829469,-0.4077485380116959,-8.1875830051622,-1.435202984507002,-0.5551119982257706
9,(주)HJ중공업,97230,2015,건설업,0.0,0.0,0.0,-0.2621491890800069,-1.0391459074733096,-1.2538510197253403,-0.9285714285714284,-0.0778411601547754,-0.8039215686274512,1.1565744833967309,-0.9284704482117128,-1.1254766727462768,-1.0780019212295868,5.89676132440951,2.235919035919036,3.0072463768115947,-2.658522396742292,-0.1410664967070321,-2.364628806013404,0.1402526243037021,-1.0779513067826592,-0.8478715980460572,1.4562784900058123,-0.4016081871345029,-4.435830513563765,0.6012794214976621,-0.5528942115768464
