,회사명,거래소코드,회계년도,산업군,target_1,target_2,target_3,현금흐름/총부채비율,총자본정상영업이익률,총자본순이익률,현금흐름 대 자산,타인자본회전률,총자본회전률,차입금의존도,EBITDA마진율,누적수익성비율,순운전자본비율,TMD,자기자본순이익률,부채비율,금융비용부담률,외국인지분율,당기전기영업손익,ROA변화율,총자본증가율,매출액총이익률,매출액증가율,영업현금흐름-단기차입금,자본금회전률,대주주지분율,정상영업이익증가율
0,(주)DB하이텍,990,2012,제조업,0.0,0.0,0.0,-0.2591134063175099,-0.9811160323368902,-0.7372240886241,0.2568195848323794,-1.2396267698342054,-1.0759951989911878,2.089424309192192,1.2568928096141807,-2.7502620327326297,-1.6721124854739486,0.3331763149854119,-0.3716436325346977,1.1554365938684694,2.8346035919251875,-0.160707153303679,-0.4219421162076756,0.1586231971623295,-0.5396991086116777,-0.1851850013501143,0.1475760704584061,0.1953576784797906,-0.6669340735807346,-0.4697071911901727,0.1856377592700814
1,(주)DB하이텍,990,2013,제조업,0.0,0.0,0.0,-0.5235175127072378,-0.8942912001132297,-1.4885553405248242,-0.3413006135763468,-1.3128122628465566,-1.1873588620816151,2.3237721895537726,1.2016679547807918,-1.2512815344235486,-1.8132258741920704,0.1727118636591135,-1.066987239138896,1.964437600259317,4.3535416498442085,-0.1934915648272186,-0.3692982619703702,-0.2650104942778896,-0.887493959203732,-0.0745304253279734,-1.1096870091583364,0.1006711890414587,-0.676710579362121,-0.4697071911901727,0.0896828064649032
2,(주)DB하이텍,990,2014,제조업,0.0,0.0,0.0,-0.4096324279741338,0.1117443558696192,-1.4963330967556805,0.0143998886161299,-1.2469453191354405,-0.9423588032826742,2.5745548563303227,1.9654860052016043,-1.5701342488472854,-1.247215921649899,0.6755226128060958,-1.4837708852849023,3.999187398082556,4.399192793661447,-0.4825120348373707,-0.2732650978943147,0.045861526182549,-0.7767392800716407,0.3179678649152675,0.5770165967739659,0.1383022208863472,-0.669989231637418,-0.4627769144417072,2.1194367060246178
3,(주)DB하이텍,990,2016,제조업,0.0,0.0,0.0,1.2661441834534417,2.5711521034224374,1.0703264594269175,3.293481835922975,-0.9102920512786252,-0.4523586856847917,1.110641473811872,3.1325656496686727,-0.7900553570999131,-0.0705792833679152,-0.3227349200853132,0.8391717102153216,0.4110740194432486,1.6061728128431378,0.3578041973712508,0.1371117887938703,-0.0051965873574339,-0.2919035548803472,1.1901862876780251,0.630889853507045,0.5277759155428812,-0.651250928889761,-1.6182430559585868,0.0877833996653916
4,(주)DB하이텍,990,2017,제조업,0.0,0.0,0.0,1.0383757965580902,1.999240708557892,1.406325528599912,2.203830233312811,-0.8883364033749199,-0.652813279247562,0.6827283312295559,2.994065927686888,-0.3788978849366647,0.5192954334427619,-0.29355413176141,0.7779066268209414,-0.0688153075605065,0.9172555516011778,0.9349823897198828,0.165719883469595,0.0884335328103912,-0.2575264944907473,1.176517192992937,-0.876394979744361,0.4039305349631547,-0.659805371448474,-1.5823316218983563,-0.1203998487634766
5,(주)DB하이텍,990,2018,제조업,0.0,0.0,0.0,1.112779820183586,1.3405044814696845,0.98788224337984,1.958975540717163,-0.7931952624588633,-0.7419042097199041,0.246293447543182,2.489839272112388,-0.052014572875248,0.5333030124699283,-0.2802515188744647,0.4610182644362154,-0.2530008184351932,0.3943424496946295,1.638984489804313,0.0724288647572228,0.0054402419261272,0.1875766005492891,0.8426007371143592,-0.3101932514879848,0.3889910031829965,-0.6606200802635895,-1.573511269673037,-0.1360818056199471
6,(주)HJ중공업,97230,2012,건설업,0.0,0.0,0.0,-0.7808060536758369,-0.5828543019196649,-0.4447804543439009,-0.9820270120460144,-1.3567235586539672,-1.3655407230263,1.928728619801393,-0.3436112833446645,-0.6227983640341292,-0.7055895325994621,1.8370167426978767,-0.1446912053791606,1.0591593504670356,2.440343713503584,-0.0796088721665019,-0.077156969907353,0.1180688898909028,-0.7409845155892476,-0.7638433430188393,-0.8631363180057691,-0.8318468997379495,-0.5068437914105349,-0.4640369647596098,-0.2494097567576979
7,(주)HJ중공업,97230,2013,건설업,0.0,0.0,0.0,-1.0167098651013875,-0.9282661344616188,-0.7698906647936966,-1.552188830214435,-1.3567235586539672,-1.3432679904082143,1.9421199272506264,-0.9788727314031892,-0.7304532733265426,-0.9535755613026315,1.22539325359851,-0.3960893062043765,1.2219121181110142,2.1705869545835395,-0.0036870770593575,-0.3558418153745736,-0.4134253895151613,-0.2056326729338898,-1.0840907042123291,-0.2696424422327548,-1.674070337060708,-0.5467645233511954,-0.606422650682628,-0.9334624910866932
8,(주)HJ중공업,97230,2014,건설업,0.0,0.0,0.0,-0.9402203502795436,-1.14532821502077,-1.0327788253966417,-1.370369171612914,-1.3567235586539672,-1.3432679904082143,1.7290763996491885,-0.9749648114634702,-0.8956544541841608,-0.7253039030821408,2.653224385402672,-0.6182129583140511,1.2459984390750478,2.137386122716457,-0.5480808578844502,-0.6664749302936597,-0.0541773910177977,-0.5224368315213935,-1.2949853079251157,-0.2466980960524597,-1.4157448949847633,-0.6021647227790509,-0.7513284372414513,-0.4669535010765434
9,(주)HJ중공업,97230,2015,건설업,0.0,0.0,0.0,-0.4044522456126038,-0.9716785505734488,-0.978334531780647,-0.070838735018542,-1.2469453191354405,-1.0759951989911878,1.645076380194907,-0.8845594287487585,-1.046627555524018,-1.4464348233696005,2.8418928770593164,-0.590749300240708,1.3879308275806248,1.5439212530923585,-0.5636103159745479,-0.6818510356071349,0.0601978474539365,-0.8878519711894661,-1.0196506864112005,1.040708689364391,-0.7585511495065765,-0.5978875014996944,-0.7481783114466944,0.1153777139443378
