,회사명,거래소코드,회계년도,산업군,총자본순이익률,EBIT/총자산,총자본정상영업이익률,현금흐름 대 자산,현금흐름/총부채비율,타인자본회전률,현금흐름 대 매출액,EBITDA마진율,차입금의존도,abs(영업현금흐름-당기순이익)/매출액,총자본회전률,순운전자본비율,금융비용부담률,누적수익성비율,당기전기영업손익,자본금회전률,영업현금흐름-단기차입금,FINDEP,총자본증가율,TMD,자기자본증가율,매출액총이익률,외국인지분율,매출액증가율,자기자본순이익률,정상영업이익증가율,ROA변화율,대주주지분율,이자부담률,target_1,target_2,target_3
0,(주)CMG제약,58820,2012,제조업,-2.1904761904761902,-1.55090275344186,-1.8347222222222224,-0.7296152113569586,-0.5866927932131898,-0.6051282051282051,-1.2027019935192569,-2.3118118491677677,0.3407407407407407,2.661541174395845,-0.7543859649122806,1.5471641791044777,1.1569767441860463,-2.928633892371437,-0.5574173954024192,-0.6503378378378378,0.1564671003141731,0.197601529631215,5.968081083772056,-0.2825264118709432,4.378927875201647,0.5425531914893617,-0.3323615160349854,-0.4834401554223801,-2.169133192389006,-6.507268022600051,-1.245043832003601,-0.2468924132018858,-0.4584575441634704,0,0,0
1,(주)CMG제약,58820,2013,제조업,-0.2002442002442002,-0.2528437862566917,-0.2569444444444445,-1.1652090429373292,-2.361937665825576,-0.4358974358974359,-1.9815416874179512,0.3749323249431628,-0.6981481481481481,1.544316815649143,-0.8070175438596491,1.1859701492537316,0.6453488372093021,-2.96994698836501,-0.54951039430277,-0.6537162162162162,0.056197176866233,0.6039247778607711,-0.3791062612971829,-0.5110538935851254,3.1133992153646384,1.093617021276596,-0.3440233236151603,0.8433123915738501,-0.2255109231853417,1.0277162503952952,0.8375085259423215,-0.3964852121731674,-0.1768940458855874,0,0,0
2,(주)CMG제약,58820,2014,제조업,-0.2295482295482295,-0.3798330142429267,-0.3430555555555555,-0.3232078919303802,-0.0917972278696845,0.3794871794871796,-0.1623453972212446,0.2643739204654098,-0.6933333333333332,-0.3923410945771447,-0.7368421052631579,0.4462686567164179,-0.691860465116279,-2.891087412726828,-0.3061213803215165,-0.6537162162162162,0.2623567414487366,0.786153819204741,-0.039798017379898,-0.4785978006860844,-0.3589128249389371,1.0069148936170211,-0.3177842565597668,0.296556321791703,-0.2551092318534179,-0.3737302211801595,-0.2503819821441317,-0.3964852121731674,0.4144383040123962,0,0,0
3,(주)CMG제약,58820,2015,제조업,-1.0415140415140418,-1.1741742554968635,-1.075,-0.0171601405237724,0.4946797996798788,0.3948717948717949,0.3007305467135758,-0.8733629612189627,-0.7914814814814813,1.7194531243132525,-0.6140350877192983,0.3597014925373134,-0.377906976744186,-3.131646324542192,-0.4822223385872126,-0.6486486486486487,0.3368733129784503,-0.1509098691665854,-0.4105409828838464,-0.5483500670495128,-0.6421657902745924,0.9638297872340424,-0.227405247813411,0.5829300979148266,-0.8146582100070472,-5.85967598388788,-17.20283378552231,-0.4183454779254178,-0.6134224046891285,0,0,0
4,(주)ES큐브,50120,2012,도매 및 소매업,-0.358974358974359,-0.4155572893394086,-0.425,0.6962149966380149,2.472035481748073,3.389743589743591,0.3349519988307834,0.2754184492716167,-0.7796296296296297,0.4012265997741278,0.6842105263157896,0.5943283582089552,-0.691860465116279,-0.6263389679546983,-0.557155574173954,-0.4138513513513513,0.4548873843975397,-0.3984420722245004,-1.2054146058961883,-0.5173130974375826,-0.2610675305747424,0.525531914893617,0.1778425655976676,0.0358764478507811,-0.2572233967582804,0.886923662756508,0.7478806079281626,-0.6883840548649806,3.663182835875495,0,0,0
5,(주)ES큐브,50120,2013,도매 및 소매업,-4.565323565323566,-4.454909213936944,-0.7972222222222223,0.108086051519208,1.5289879606039862,4.292307692307693,-0.0624349966982978,-0.0903589806488813,-0.7799999999999999,2.7898428865682243,0.7543859649122808,1.638805970149254,-0.6162790697674418,-1.4782995020700724,-0.4270304236267476,-0.4634009009009008,0.3383778043276251,-0.1929968258445513,-0.1541804668012421,-0.5120155652925884,0.0375635447319457,0.3521276595744681,-0.2011661807580174,0.0295382684961932,-3.129668780831571,-12.11382749559058,-32.06480983665346,-0.8405486498071151,3.786141252873702,0,0,0
6,(주)ES큐브,50120,2014,도매 및 소매업,-0.4090354090354091,-0.794662440957508,-0.4055555555555555,0.0681385484541913,1.0743423851568945,2.8000000000000007,0.1054860292802202,-0.2555640051809914,-0.6162962962962963,0.1790635890839639,0.0701754385964913,1.56,-1.145348837209302,-0.6965372170639839,-0.4227365554799183,-0.5461711711711712,0.3332005840966414,-0.2498843209656404,0.8870648682689843,-0.4535806320146604,0.7197539752944694,0.174468085106383,-0.0874635568513119,-1.0968049356167973,-0.1966173361522198,0.9922056259908352,0.7889326956829483,-0.8405486498071151,7.850605708740781,0,0,0
7,(주)ES큐브,50120,2015,도매 및 소매업,-0.7655677655677656,-1.165592938791109,-1.4569444444444444,-0.95705253008373,-1.998517532497123,2.256410256410257,-0.95305486970357,0.0550061442975166,-0.6633333333333333,-0.5380873471962956,-0.1228070175438595,1.3611940298507466,-0.627906976744186,-0.5526304254114299,-0.5743310467612714,-0.553490990990991,0.107571131465994,0.2832946538814123,-0.3596924148408733,-0.4929789261822893,-0.3563823516976945,0.5138297872340425,0.3906705539358601,-0.3566504328303362,-0.1677237491190979,-21.27698405961111,-1.700602480739266,-0.8405486498071151,0.0870004672977426,0,0,0
8,(주)ES큐브,50120,2017,도매 및 소매업,-0.0622710622710623,-0.1139879581643018,-0.1555555555555555,-0.2283946878467111,-0.1270850713732068,-0.5333333333333333,0.1028238213903874,0.229490231651455,0.2085185185185186,-0.4865989279434803,-0.8421052631578947,0.7740298507462687,0.2732558139534883,-0.0292718032078439,-0.1397601717547258,-0.6188063063063063,0.3327580866410018,0.0414651509890995,-0.2202670879627627,-0.1763897731143938,-0.2611270709606612,0.4765957446808511,-0.0903790087463556,0.0122414646752514,-0.1078224101479915,0.0408133560231553,-0.5975126541697928,-0.7239605657951134,-0.0926816086668002,0,0,0
9,(주)ES큐브,50120,2018,도매 및 소매업,-0.9487179487179488,-1.185904548635409,-0.6055555555555556,-0.5716934617420396,-0.4842811420817525,-0.6205128205128205,-0.742947288184421,-0.1476487322852468,0.3929629629629629,0.842271770283169,-0.8947368421052633,-0.3626865671641791,1.017441860465116,-0.1347760670315175,-0.3163324082316594,-0.6379504504504504,0.1708482676224611,0.1671832660429146,0.0926311029239973,0.2293361708941135,-0.5387030246632463,0.2526595744680851,0.5539358600583091,-0.3705547536178836,-0.6680761099365751,-1.3175432915776548,-3.1173201566543307,-0.7239605657951134,-0.2064070636738784,0,0,0
