,회사명,거래소코드,회계년도,산업군,EBIT/총자산,총자본정상영업이익률,현금흐름 대 자산,현금흐름 대 매출액,현금흐름/총부채비율,부채비율,차입금의존도,자기자본순이익률,TMD,총자본회전률,EBITDA마진율,누적수익성비율,자본금회전률,순운전자본비율,유형자산회전율,영업현금흐름-단기차입금,당기전기영업손익,이자부담률,총자본증가율,금융비용부담률,FINDEP,abs(영업현금흐름-당기순이익)/매출액,부채상환계수,자기자본증가율,매출액총이익률,매출액증가율,외국인지분율,대주주지분율,ROA변화율,정상영업이익증가율,유형자산증가율,target_1,target_2,target_3
0,(주)CMG제약,58820,2012,제조업,-1.162537841604311,-1.4174408612307463,-0.7136941667740728,-0.9703960645731146,-0.5879234467815915,0.1531833878223628,0.5865754480685791,-0.9046667094427217,-0.6812989147484607,-1.2208344603189392,-1.3214795899141203,-1.9402368894188111,-2.1599597787458404,2.370841837481495,-0.6685168083473317,0.1551621440095948,-0.5054564734460182,-0.2271060415358523,2.9358543310041423,0.5946282577283268,0.093435939547534,1.720780623820668,-0.1953258295959926,1.5518019659448068,0.3836941058620176,-0.3849564877670139,-1.0728450709918376,-0.3359651236694987,-0.2603595119406175,-1.1641783693564725,-0.1028368712547407,0,0,0
1,(주)CMG제약,58820,2013,제조업,-0.2192357703744138,-0.3116214508958199,-1.138494858571343,-1.427475758993386,-2.265820770360365,-1.5841826702105,-1.322418990987469,-0.3245010328631723,-1.436538850609884,-1.332068442861566,0.2038427756006634,-1.9539725851863627,-2.2002568588769544,1.77348965773918,-0.4642615052430204,0.1041304396794328,-0.498094977617495,-0.1622575077107079,-0.2906320759510993,0.3377274117689544,0.3063523514571422,1.2940839307230363,-0.0727284162497143,1.0842110206300792,0.9935874678052476,0.5756061472791775,-1.1325072439427044,-0.5654949634557742,0.2303874026376407,0.2610874715466482,0.2909138607375288,0,0,0
2,(주)CMG제약,58820,2014,제조업,-0.3299294529382949,-0.3906328437255901,-0.3030976609974497,-0.1853356091179823,-0.1643990604430885,-1.330138352209786,-1.303798619098798,-0.3458502522911059,-1.3098956439282474,-1.1846175898581128,0.0958026635187359,-1.927597863030828,-2.2002568588769544,0.595561590518162,-0.7935356191451692,0.2223651399827849,-0.2992759087761846,-0.0960855139366151,-0.0224762322245849,-0.6028719465270846,0.4018416126111853,-0.8901742359533193,-0.079657313711767,-0.2039185848508764,0.8974394429191465,0.2560950203265871,-1.002092124274043,-0.5654949634557742,-0.0894124577230032,-0.109754387340299,0.9087113340936832,0,0,0
3,(주)CMG제약,58820,2015,제조업,-0.9274215932826944,-0.9362432327407209,0.0156224365064965,0.2472489188805978,0.3127397489924666,-1.2190909836753008,-1.810847430082504,-0.5733533661632825,-1.5919667961427943,-0.9423622823949692,-0.7722858834765953,-2.006078029177113,-2.1403816198821484,0.4627984704476648,-0.8409155352664212,0.2904832034794975,-0.4359758317239181,-0.2757937068719978,-0.3214119959121481,-0.320931887211258,-0.0891894027868778,1.3824823185183492,-0.317439165857264,-0.3106325468555518,0.8496848536192383,0.4270344297425406,-0.6384648123719605,-0.5997883583736593,-2.542630229883692,-1.0574223232696474,-0.1504837830642648,0,0,0
4,(주)ES큐브,50120,2012,도매 및 소매업,-0.3602407598313495,-0.4624938293884459,0.7902578226847483,0.2814780454072829,1.775320944954624,-1.4607343571908689,-1.725709947605788,-0.3472977640198234,-1.4618582640812332,0.8187885054964903,0.1064867518215614,-0.6963304586071468,-0.8118690457637565,0.8254649234867616,1.486768211601003,0.4021754322456632,-0.5052125363347565,0.1397436807036047,-1.2233664486785212,-0.6028719465270846,-0.2189023872698611,0.3724123254697548,0.0877749356327547,-0.1672768126950426,0.3649055129329473,0.0888869601912447,0.2297045129135434,-1.0421924059688974,0.198036921550565,0.2185769548141049,-1.1661056253601922,0,0,0
5,(주)ES큐브,50120,2013,도매 및 소매업,-2.3270414919578224,-0.7460342569989612,0.1484162055557614,-0.0967211496383898,1.1018663904542454,-1.7910053980198106,-1.7281881303671258,-1.0907470512451165,-1.4404095483637045,0.8864797947453146,-0.2326040089876253,-1.3062098712054078,-0.9832042241198716,2.524282138293738,1.6021414752287697,0.2918846480816447,-0.3860162128302229,0.1473071839094555,-0.1014880955389974,-0.5309922871674477,-0.1112439881065772,1.7534673702306254,0.0437958391817869,-0.0558586757644098,0.1736936159624322,0.0845948352684401,-0.5517297536716158,-1.3101843484385896,-4.482284003892088,-2.0691816266867797,-1.4675814355632577,0,0,0
6,(주)ES큐브,50120,2014,도매 및 소매업,-0.6609344592601626,-0.445794709955053,0.1059126462086461,0.0579990262351953,0.7623093646661214,-1.5868076273418292,-1.0448429225204072,-0.3019252242118997,-1.2173046005029446,0.1281332183124157,-0.3737215725618905,-0.7578585181449918,-1.3536093174718873,2.392290061152805,1.5526936496088424,0.2870652538686387,-0.3821865767335103,0.3739619573838229,0.5251414287959636,-1.0796787637592382,-0.1410544290330847,0.0902343249076404,-0.0621017388376042,0.1977662330098779,-0.0218051708343653,-1.1155242999708537,-0.2423027848910186,-1.3101843484385896,0.2128139015382074,0.2503343217544508,0.1396540146661028,0,0,0
7,(주)ES큐브,50120,2015,도매 및 소매업,-0.9217410398452606,-1.183523577906494,-0.9373957553443816,-0.802657308495519,-1.903895824959153,-1.7318755133743982,-1.1952029111906362,-0.2778661815869946,-1.3650701679492547,-0.1343337483700295,-0.1017339111646078,-0.6288895799087927,-1.3937648883666582,2.0617419416510963,1.550034482256488,0.1300721569492644,-0.5212397141867328,-0.1293258201839678,-0.2719871247364851,-0.5418950370568479,0.1383398186933569,-1.216514230335609,-0.0138293743448527,-0.2029691468087737,0.3519902891543002,-0.2476151735318301,0.4760704671112928,-1.3101843484385896,-0.3344464011430068,-3.502553578689505,-0.5502314540514639,0,0,0
8,(주)ES큐브,50120,2016,도매 및 소매업,2.813670440174229,-0.1389662113966916,-0.3102433818589579,-0.154574852213758,-0.2904854804613063,-0.4162174603182719,0.4873555739821517,3.980661755687183,-0.2096725500642605,-1.0784394780363344,0.0362014236524174,-0.1057676791523855,-1.5833172062576186,1.1301659546580225,0.9043578506281388,0.24309713715633,-0.424930938444177,-0.1146987113811727,2.430173858997821,-0.5805026500182193,0.2061398029596829,2.0993846039960413,-0.0708831286703373,0.8346051526987948,0.4036606027924971,-0.8516205746687384,0.3908454092971495,-1.205625829042439,2.131473609966905,0.3514611979785327,2.3491148737634058,0,0,0
9,(주)ES큐브,50120,2017,도매 및 소매업,-0.0928017840480362,-0.2150970940355353,-0.2052353189175073,0.0554886872903106,-0.1939205988326932,-0.4441302897217701,0.4264638839905687,-0.2239291766057841,-0.4158694987738106,-1.4084612362158715,0.062222298847068,-0.0617956842362872,-1.8442129854771885,1.1088107981338136,0.2547968406790392,0.2866537668096269,-0.2070225785832101,-0.1506514892521551,-0.1505608178059942,0.1283908841086387,0.0116191018541946,-1.0969775368220975,-0.0757810878649082,-0.1672990773613864,0.3109070277043046,0.0728031849661153,-0.249143383242971,-1.1034597529740204,-0.1511924530574918,-0.0247834782325109,0.8169658900126986,0,0,0
