"계정항목별",2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"계정항목별",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"1차금속 제조업",25867.0,645.3,2.6,24860.7,-1006.3,-3.9,25260.1,399.4,1.6,26578.2,1318.1,5.2,26838.6,260.4,1.0,27151.9,313.3,1.2,27932.0,780.1,2.9,26880.4,-1051.6,-3.8,26643.7,-236.7,-0.9,25755.4,-888.3,-3.3,27207.2,1451.8,5.6,25658.3,-1548.9,-5.7
"금속가공제품 제조업",29618.7,1058.7,3.7,31938.0,2319.3,7.8,31638.1,-299.9,-0.9,33623.4,1985.3,6.3,36336.2,2712.8,8.1,36303.3,-32.9,-0.1,36177.9,-125.4,-0.3,35698.3,-479.6,-1.3,35066.9,-631.4,-1.8,32852.1,-2214.8,-6.3,31716.5,-1135.6,-3.5,30436.2,-1280.3,-4.0
"컴퓨터, 전자 및 광학기기 제조업",87601.2,8567.4,10.8,89961.6,2360.4,2.7,95028.6,5067.0,5.6,100225.6,5197.0,5.5,101872.5,1646.9,1.6,112336.9,10464.4,10.3,117707.0,5370.1,4.8,131090.0,13383.0,11.4,139442.4,8352.4,6.4,146665.3,7222.9,5.2,165611.2,18945.9,12.9,178664.4,13053.2,7.9
"전기장비 제조업",24783.8,324.1,1.3,25607.2,823.4,3.3,27051.7,1444.5,5.6,27884.7,833.0,3.1,26522.0,-1362.7,-4.9,25620.6,-901.4,-3.4,28043.0,2422.4,9.5,29793.8,1750.8,6.2,30270.9,477.1,1.6,30036.9,-234.0,-0.8,32212.0,2175.1,7.2,31940.8,-271.2,-0.8
"기계 및 장비 제조업",34887.2,1990.2,6.0,36067.0,1179.8,3.4,36802.9,735.9,2.0,37439.1,636.2,1.7,37041.5,-397.6,-1.1,35411.6,-1629.9,-4.4,43394.5,7982.9,22.5,43705.7,311.2,0.7,43311.5,-394.2,-0.9,43725.4,413.9,1.0,48604.8,4879.4,11.2,49377.1,772.3,1.6
"운송장비 제조업",54876.0,3773.8,7.4,54441.8,-434.2,-0.8,54536.6,94.8,0.2,54223.0,-313.6,-0.6,54291.2,68.2,0.1,55166.9,875.7,1.6,50676.2,-4490.7,-8.1,49528.0,-1148.2,-2.3,50473.2,945.2,1.9,45383.9,-5089.3,-10.1,47849.5,2465.6,5.4,52270.8,4421.3,9.2
"기타 제조업 및 산업용 장비 수리업",7508.9,213.2,2.9,7743.7,234.8,3.1,8200.0,456.3,5.9,8886.4,686.4,8.4,9769.2,882.8,9.9,9928.0,158.8,1.6,10468.9,540.9,5.4,10969.7,500.8,4.8,9967.4,-1002.3,-9.1,9653.8,-313.6,-3.1,9753.0,99.2,1.0,9615.6,-137.4,-1.4
"전기, 가스 및 수도사업",39822.6,-95.8,-0.2,40543.0,720.4,1.8,39510.3,-1032.7,-2.5,40510.8,1000.5,2.5,41760.4,1249.6,3.1,41262.6,-497.8,-1.2,43813.8,2551.2,6.2,43082.6,-731.2,-1.7,44927.6,1845.0,4.3,46762.2,1834.6,4.1,48610.4,1848.2,4.0,49529.6,919.2,1.9
"전기업",22810.5,195.0,0.9,22613.5,-197.0,-0.9,21499.0,-1114.5,-4.9,23321.8,1822.8,8.5,25916.6,2594.8,11.1,25333.0,-583.6,-2.3,27319.9,1986.9,7.8,26494.9,-825.0,-3.0,28695.9,2201.0,8.3,31261.0,2565.1,8.9,31970.8,709.8,2.3,34213.5,2242.7,7.0
"가스, 증기 및 공기조절 공급업",9456.2,-744.5,-7.3,9481.1,24.9,0.3,8897.9,-583.2,-6.2,7966.3,-931.6,-10.5,6466.9,-1499.4,-18.8,6713.5,246.6,3.8,7798.9,1085.4,16.2,7785.8,-13.1,-0.2,7821.0,35.2,0.5,7680.2,-140.8,-1.8,8402.4,722.2,9.4,8481.3,78.9,0.9
