,회사명,거래소코드,회계년도,내수변화,수출변화,생산변화
44007,(주)아이엠비씨,52220,2012/12,-,+,-
44014,(주)아이엠비씨,52220,2013/12,-,+,+
44019,(주)아이엠비씨,52220,2014/12,+,-,+
44025,(주)아이엠비씨,52220,2015/12,+,+,+
44031,(주)아이엠비씨,52220,2016/12,+,+,+
44039,(주)아이엠비씨,52220,2017/12,+,-,-
44045,(주)아이엠비씨,52220,2018/12,+,-,+
44049,(주)아이엠비씨,52220,2019/12,-,-,-
44057,(주)아이엠비씨,52220,2020/12,-,-,-
44066,(주)아이엠비씨,52220,2021/12,+,-,+
44074,(주)아이엠텍,226350,2015/12,0,0,0
44076,(주)아이엠텍,226350,2016/12,+,-,-
44218,(주)아이엠텍,226350,2017/12,-,+,-
44283,(주)아이엠텍,226350,2018/12,-,-,-
44309,(주)아이엠텍,226350,2019/12,+,-,+
44316,(주)아이엠텍,226350,2020/12,+,-,+
44318,(주)아이오케이컴퍼니,78860,2011/12,0,0,0
44321,(주)아이오케이컴퍼니,78860,2012/12,+,0,+
44325,(주)아이오케이컴퍼니,78860,2013/12,-,0,-
44327,(주)아이오케이컴퍼니,78860,2014/12,-,0,-
44330,(주)아이오케이컴퍼니,78860,2015/12,+,0,+
44337,(주)아이오케이컴퍼니,78860,2019/12,-,0,-
44342,(주)아이오케이컴퍼니,78860,2020/12,0,0,0
44351,(주)아이오케이컴퍼니,78860,2021/12,0,0,0
44355,(주)아이윈,90150,2011/12,0,0,0
44358,(주)아이윈,90150,2012/12,+,-,+
44360,(주)아이윈,90150,2013/12,-,+,-
44365,(주)아이윈,90150,2014/12,-,+,+
44369,(주)아이윈,90150,2015/12,+,-,+
44373,(주)아이윈,90150,2016/12,+,+,+
44377,(주)아이윈,90150,2017/12,+,-,-
44380,(주)아이윈,90150,2018/12,+,-,-
44381,(주)아이윈,90150,2019/12,-,+,+
44384,(주)아이윈,90150,2020/12,-,-,-
44387,(주)아이윈,90150,2021/12,+,+,+
44391,(주)아이윈플러스,123010,2013/12,0,0,0
44394,(주)아이윈플러스,123010,2014/12,+,+,+
44396,(주)아이윈플러스,123010,2015/12,-,+,-
44400,(주)아이윈플러스,123010,2016/12,-,-,-
44404,(주)아이윈플러스,123010,2017/12,-,-,-
44407,(주)아이윈플러스,123010,2018/12,+,-,-
44408,(주)아이윈플러스,123010,2019/12,-,-,-
44411,(주)아이윈플러스,123010,2020/12,+,+,+
44416,(주)아이윈플러스,123010,2021/12,+,-,+
44420,(주)아이즈비전,31310,2011/12,0,0,0
44431,(주)아이즈비전,31310,2012/12,-,+,-
44434,(주)아이즈비전,31310,2013/12,+,+,+
44438,(주)아이즈비전,31310,2014/12,-,-,-
44446,(주)아이즈비전,31310,2015/12,+,+,+
44452,(주)아이즈비전,31310,2016/12,+,+,+
44458,(주)아이즈비전,31310,2017/12,+,-,+
44466,(주)아이즈비전,31310,2018/12,-,+,-
44472,(주)아이즈비전,31310,2019/12,-,+,-
44480,(주)아이즈비전,31310,2020/12,+,-,+
44486,(주)아이즈비전,31310,2021/12,+,-,+
44491,(주)아이컴포넌트,59100,2011/12,0,0,0
44504,(주)아이컴포넌트,59100,2012/12,-,-,-
44515,(주)아이컴포넌트,59100,2013/12,-,-,-
44522,(주)아이컴포넌트,59100,2014/12,-,+,+
44530,(주)아이컴포넌트,59100,2015/12,+,-,+
44540,(주)아이컴포넌트,59100,2016/12,-,+,-
44545,(주)아이컴포넌트,59100,2017/12,-,-,-
44550,(주)아이컴포넌트,59100,2018/12,-,+,+
44559,(주)아이컴포넌트,59100,2019/12,+,+,+
44565,(주)아이컴포넌트,59100,2020/12,-,+,+
44573,(주)아이컴포넌트,59100,2021/12,+,+,+
44586,(주)아이퀘스트,262840,2020/12,0,0,0
44588,(주)아이퀘스트,262840,2021/12,+,0,+
44593,(주)아이톡시,52770,2011/12,0,0,0
44597,(주)아이톡시,52770,2012/12,-,-,-
44599,(주)아이톡시,52770,2013/12,+,-,-
44603,(주)아이톡시,52770,2014/12,-,-,-
44605,(주)아이톡시,52770,2015/12,+,-,+
44610,(주)아이톡시,52770,2016/12,-,-,-
44613,(주)아이톡시,52770,2017/12,-,-,-
44619,(주)아이톡시,52770,2018/12,-,-,-
44628,(주)아이톡시,52770,2019/12,-,-,-
44634,(주)아이톡시,52770,2020/12,+,+,+
44643,(주)아이톡시,52770,2021/12,+,-,+
44649,(주)아이티센,124500,2014/03,0,0,0
44651,(주)아이티센,124500,2015/03,-,0,-
44656,(주)아이티센,124500,2016/12,+,0,+
44659,(주)아이티센,124500,2017/12,+,0,+
44662,(주)아이티센,124500,2018/12,-,0,-
44668,(주)아이티센,124500,2019/12,-,0,-
44670,(주)아이티센,124500,2020/12,0,0,0
44687,(주)아이티센,124500,2021/12,0,0,0
44697,(주)아이티아이즈,372800,2021/12,0,0,0
44698,(주)아이티엑스에이아이,99520,2011/12,0,0,0
44702,(주)아이티엑스에이아이,99520,2012/12,+,-,+
44709,(주)아이티엑스에이아이,99520,2013/12,+,+,+
44715,(주)아이티엑스에이아이,99520,2014/12,-,-,-
44719,(주)아이티엑스에이아이,99520,2015/12,-,-,-
44726,(주)아이티엑스에이아이,99520,2016/12,-,-,-
44728,(주)아이티엑스에이아이,99520,2017/12,+,-,+
44738,(주)아이티엑스에이아이,99520,2018/12,+,-,-
44743,(주)아이티엑스에이아이,99520,2019/12,+,+,+
44749,(주)아이티엑스에이아이,99520,2020/12,-,+,+
44756,(주)아이티엑스에이아이,99520,2021/12,-,+,-
44770,(주)아이티엠반도체,84850,2019/12,0,0,0
44777,(주)아이티엠반도체,84850,2020/12,-,+,-
44783,(주)아이티엠반도체,84850,2021/12,+,+,+
44794,(주)아이패밀리에스씨,114840,2021/12,0,0,0
44798,(주)아이팩토리,53810,2011/12,0,0,0
44815,(주)아이팩토리,53810,2012/12,-,-,-
44829,(주)아이팩토리,53810,2013/12,-,+,+
44847,(주)아이팩토리,53810,2014/12,+,-,-
44861,(주)아이팩토리,53810,2015/12,+,-,-
44873,(주)아인스엠앤엠,40740,2011/12,0,0,0
44885,(주)아즈텍더블유비이,32080,2011/12,0,0,0
44896,(주)아즈텍더블유비이,32080,2012/12,-,-,-
44903,(주)아즈텍더블유비이,32080,2013/12,-,-,-
44912,(주)아즈텍더블유비이,32080,2014/12,+,0,+
44926,(주)아즈텍더블유비이,32080,2015/12,-,0,-
44932,(주)아즈텍더블유비이,32080,2016/12,0,0,0
44945,(주)아즈텍더블유비이,32080,2017/12,0,0,0
44958,(주)아즈텍더블유비이,32080,2018/12,0,0,0
44964,(주)아즈텍더블유비이,32080,2019/12,0,0,0
44978,(주)아즈텍더블유비이,32080,2020/12,0,0,0
44982,(주)아즈텍더블유비이,32080,2021/12,0,0,0
44999,(주)아진엑스텍,59120,2013/12,0,0,0
45000,(주)아진엑스텍,59120,2014/12,+,-,+
45008,(주)아진엑스텍,59120,2015/12,-,+,-
45013,(주)아진엑스텍,59120,2016/12,-,-,-
45023,(주)아진엑스텍,59120,2017/12,+,+,+
45024,(주)아진엑스텍,59120,2018/12,-,-,-
45034,(주)아진엑스텍,59120,2019/12,-,+,-
45038,(주)아진엑스텍,59120,2020/12,+,+,+
45041,(주)아진엑스텍,59120,2021/12,+,+,+
45047,(주)아큐텍,13780,2011/12,0,0,0
45053,(주)아큐텍,13780,2012/12,-,-,-
45058,(주)아톤,158430,2019/12,0,0,0
45068,(주)아톤,158430,2020/12,-,-,-
45072,(주)아톤,158430,2021/12,+,-,+
45079,(주)아프리카티비,67160,2011/12,0,0,0
45087,(주)아프리카티비,67160,2012/12,+,0,+
45096,(주)아프리카티비,67160,2013/12,-,+,-
45097,(주)아프리카티비,67160,2014/12,+,-,+
45102,(주)아프리카티비,67160,2015/12,-,0,-
45106,(주)아프리카티비,67160,2016/12,0,0,0
45108,(주)아프리카티비,67160,2017/12,0,0,0
45115,(주)아프리카티비,67160,2018/12,0,0,0
45120,(주)아프리카티비,67160,2019/12,0,0,0
45124,(주)아프리카티비,67160,2020/12,0,0,0
45128,(주)아프리카티비,67160,2021/12,0,0,0
45135,(주)안랩,53800,2011/12,0,0,0
45140,(주)안랩,53800,2012/12,+,+,+
45145,(주)안랩,53800,2013/12,+,-,+
45156,(주)안랩,53800,2014/12,-,-,-
45162,(주)안랩,53800,2015/12,+,-,-
45168,(주)안랩,53800,2016/12,+,+,+
45172,(주)안랩,53800,2017/12,+,+,+
45175,(주)안랩,53800,2018/12,+,+,+
45185,(주)안랩,53800,2019/12,+,+,+
45191,(주)안랩,53800,2020/12,+,+,+
45194,(주)안랩,53800,2021/12,+,-,+
45202,(주)안트로젠,65660,2015/12,0,0,0
45206,(주)안트로젠,65660,2016/12,0,0,0
45209,(주)안트로젠,65660,2017/12,0,0,0
45214,(주)안트로젠,65660,2018/12,0,0,0
45218,(주)안트로젠,65660,2019/12,0,0,0
45223,(주)안트로젠,65660,2020/12,0,0,0
45226,(주)안트로젠,65660,2021/12,0,0,0
45231,(주)알로이스,271400,2017/12,0,0,0
45237,(주)알로이스,271400,2018/12,-,+,+
45240,(주)알로이스,297570,2019/12,0,0,0
45244,(주)알로이스,297570,2020/12,+,-,-
45245,(주)알로이스,297570,2021/12,+,+,+
45253,(주)알비더블유,361570,2021/12,0,0,0
45260,(주)알에프세미,96610,2011/12,0,0,0
45263,(주)알에프세미,96610,2012/12,+,+,+
45264,(주)알에프세미,96610,2013/12,-,+,+
45275,(주)알에프세미,96610,2014/12,+,+,+
45279,(주)알에프세미,96610,2015/12,+,-,+
45282,(주)알에프세미,96610,2017/12,+,+,+
45285,(주)알에프세미,96610,2018/12,-,-,-
45291,(주)알에프세미,96610,2019/12,-,-,-
45294,(주)알에프세미,96610,2020/12,-,-,-
45300,(주)알에프세미,96610,2021/12,+,+,+
45306,(주)알에프텍,61040,2011/12,0,0,0
45310,(주)알에프텍,61040,2012/12,+,0,+
45319,(주)알에프텍,61040,2013/12,-,0,-
45332,(주)알에프텍,61040,2014/12,0,0,0
45340,(주)알에프텍,61040,2015/12,0,0,0
45345,(주)알에프텍,61040,2016/12,0,0,0
45358,(주)알에프텍,61040,2017/12,0,0,0
45364,(주)알에프텍,61040,2018/12,0,0,0
45373,(주)알에프텍,61040,2019/12,0,0,0
45377,(주)알에프텍,61040,2020/12,0,0,0
45382,(주)알에프텍,61040,2021/12,0,0,0
45390,(주)알엔투테크놀로지,148250,2013/12,0,0,0
45397,(주)알엔투테크놀로지,148250,2014/12,-,+,+
45398,(주)알엔투테크놀로지,148250,2015/12,+,-,+
45405,(주)알엔투테크놀로지,148250,2016/12,+,+,+
45410,(주)알엔투테크놀로지,148250,2017/12,+,-,+
45415,(주)알엔투테크놀로지,148250,2018/12,+,+,+
45419,(주)알엔투테크놀로지,148250,2019/12,+,+,+
45421,(주)알엔투테크놀로지,148250,2020/12,-,+,+
45428,(주)알엔투테크놀로지,148250,2021/12,+,-,+
45433,(주)알체라,347860,2020/12,0,0,0
45459,(주)알체라,347860,2021/12,+,+,+
45541,(주)알테오젠,196170,2014/12,0,0,0
45549,(주)알테오젠,196170,2015/12,-,-,-
45550,(주)알테오젠,196170,2016/12,+,-,+
45562,(주)알테오젠,196170,2017/12,+,+,+
45563,(주)알테오젠,196170,2018/12,+,-,+
45575,(주)알테오젠,196170,2019/12,+,+,+
45576,(주)알테오젠,196170,2020/12,-,+,+
45587,(주)알테오젠,196170,2021/12,+,-,-
45607,(주)알톤스포츠,123750,2011/12,0,0,0
45639,(주)알톤스포츠,123750,2012/12,-,-,-
45671,(주)알톤스포츠,123750,2013/12,-,-,-
45698,(주)알톤스포츠,123750,2014/12,+,+,+
45705,(주)알톤스포츠,123750,2015/12,+,-,-
45709,(주)알톤스포츠,123750,2016/12,-,+,-
45717,(주)알톤스포츠,123750,2017/12,-,+,-
45722,(주)알톤스포츠,123750,2018/12,-,+,+
45729,(주)알톤스포츠,123750,2019/12,-,-,-
45738,(주)알톤스포츠,123750,2020/12,+,-,+
45742,(주)알톤스포츠,123750,2021/12,+,+,+
45764,(주)알티캐스트,85810,2013/12,0,0,0
45778,(주)알티캐스트,85810,2014/12,-,+,+
45784,(주)알티캐스트,85810,2015/12,-,-,-
45786,(주)알티캐스트,85810,2016/12,+,+,+
45790,(주)알티캐스트,85810,2017/12,+,-,+
45798,(주)알티캐스트,85810,2018/12,+,+,+
45802,(주)알티캐스트,85810,2019/12,-,-,-
45807,(주)알티캐스트,85810,2020/12,-,+,-
45814,(주)알티캐스트,85810,2021/12,-,-,-
45859,(주)알파홀딩스,117670,2012/12,0,0,0
45865,(주)알파홀딩스,117670,2013/12,-,0,-
45872,(주)알파홀딩스,117670,2014/12,0,0,0
45880,(주)알파홀딩스,117670,2015/12,0,0,0
45888,(주)알파홀딩스,117670,2016/12,0,0,0
45894,(주)알파홀딩스,117670,2017/12,0,0,0
45899,(주)알파홀딩스,117670,2018/12,0,0,0
45924,(주)알파홀딩스,117670,2019/12,0,0,0
45932,(주)알파홀딩스,117670,2020/12,0,0,0
46173,(주)알파홀딩스,117670,2021/12,0,0,0
46183,(주)압타머사이언스,291650,2020/12,0,0,0
46185,(주)압타머사이언스,291650,2021/12,+,+,+
46191,(주)애니플러스,310200,2020/12,0,0,0
46196,(주)애니플러스,310200,2021/12,+,+,+
46200,(주)애드바이오텍,179530,2019/12,0,0,0
46208,(주)애드바이오텍,179530,2020/12,-,+,+
46216,(주)애드바이오텍,179530,2021/12,+,+,+
46221,(주)액션스퀘어,205500,2015/12,0,0,0
46222,(주)액션스퀘어,205500,2016/12,-,+,-
46224,(주)액션스퀘어,205500,2017/12,+,-,+
46226,(주)액션스퀘어,205500,2018/12,-,+,-
46229,(주)액션스퀘어,205500,2019/12,-,-,-
46230,(주)액션스퀘어,205500,2020/12,-,+,-
46234,(주)액션스퀘어,205500,2021/12,+,-,-
46243,(주)액토즈소프트,52790,2011/12,0,0,0
46254,(주)액토즈소프트,52790,2012/12,+,-,-
46269,(주)액토즈소프트,52790,2013/12,-,0,-
46273,(주)액토즈소프트,52790,2014/12,0,0,0
46278,(주)액토즈소프트,52790,2015/12,0,0,0
46284,(주)액토즈소프트,52790,2016/12,0,0,0
46287,(주)액토즈소프트,52790,2017/12,0,0,0
46292,(주)액토즈소프트,52790,2018/12,0,0,0
46294,(주)액토즈소프트,52790,2019/12,0,0,0
46297,(주)액토즈소프트,52790,2020/12,0,0,0
46301,(주)액토즈소프트,52790,2021/12,0,0,0
46332,(주)액트로,290740,2018/12,0,0,0
46361,(주)액트로,290740,2019/12,0,0,0
46384,(주)액트로,290740,2020/12,0,0,0
46395,(주)액트로,290740,2021/12,0,0,0
46409,(주)앤디포스,238090,2016/12,0,0,0
46413,(주)앤디포스,238090,2017/12,+,-,-
46421,(주)앤디포스,238090,2018/12,-,+,-
46428,(주)앤디포스,238090,2019/12,+,+,+
46439,(주)앤디포스,238090,2020/12,-,+,+
46440,(주)앤디포스,238090,2021/12,-,-,-
46449,(주)앤씨앤,92600,2011/12,0,0,0
46485,(주)앤씨앤,92600,2012/12,+,-,+
46501,(주)앤씨앤,92600,2013/12,-,0,-
46517,(주)앤씨앤,92600,2014/12,+,+,+
46522,(주)앤씨앤,92600,2015/12,+,+,+
46525,(주)앤씨앤,92600,2016/12,+,-,-
46531,(주)앤씨앤,92600,2017/12,-,-,-
46559,(주)앤씨앤,92600,2018/12,+,-,+
46565,(주)앤씨앤,92600,2019/12,+,+,+
46575,(주)앤씨앤,92600,2020/12,+,-,+
46584,(주)앤씨앤,92600,2021/12,-,+,+
46604,(주)앱코,129890,2020/12,0,0,0
46620,(주)앱코,129890,2021/12,-,+,-
46627,(주)야스,255440,2017/12,0,0,0
46644,(주)야스,255440,2018/12,0,0,0
46660,(주)야스,255440,2019/12,0,0,0
46663,(주)야스,255440,2020/12,0,0,0
46670,(주)야스,255440,2021/12,0,0,0
46675,(주)어반리튬,73570,2011/12,0,0,0
46698,(주)어반리튬,73570,2012/12,-,-,-
46705,(주)어반리튬,73570,2013/12,+,-,-
46711,(주)어반리튬,73570,2014/12,-,+,-
46712,(주)어반리튬,73570,2015/12,+,-,+
46738,(주)어반리튬,73570,2016/12,-,-,-
46744,(주)어반리튬,73570,2017/12,+,+,+
46747,(주)어반리튬,73570,2018/12,-,+,-
46758,(주)어반리튬,73570,2019/12,+,+,+
46761,(주)어반리튬,73570,2020/12,+,-,+
46766,(주)어반리튬,73570,2021/12,-,+,-
46778,(주)어스앤에어로스페이스,263540,2017/12,0,0,0
46781,(주)어스앤에어로스페이스,263540,2018/12,-,+,+
46785,(주)어스앤에어로스페이스,263540,2019/12,-,-,-
46792,(주)어스앤에어로스페이스,263540,2020/12,+,-,-
46797,(주)어스앤에어로스페이스,263540,2021/12,+,+,+
46803,(주)얼라인드제네틱스,238120,2016/12,0,0,0
46807,(주)얼라인드제네틱스,238120,2017/12,-,+,+
46812,(주)얼라인드제네틱스,238120,2018/12,+,+,+
46815,(주)얼라인드제네틱스,238120,2019/12,+,+,+
46818,(주)얼라인드제네틱스,238120,2020/12,-,+,+
46823,(주)얼라인드제네틱스,238120,2021/12,+,+,+
46831,(주)에너토크,19990,2011/12,0,0,0
46834,(주)에너토크,19990,2012/12,+,+,+
46838,(주)에너토크,19990,2013/12,-,-,-
46841,(주)에너토크,19990,2014/12,+,+,+
46843,(주)에너토크,19990,2015/12,-,-,-
46852,(주)에너토크,19990,2016/12,-,+,-
46862,(주)에너토크,19990,2017/12,-,-,-
46864,(주)에너토크,19990,2018/12,-,+,-
46869,(주)에너토크,19990,2019/12,+,+,+
46871,(주)에너토크,19990,2020/12,-,-,-
46878,(주)에너토크,19990,2021/12,+,-,-
46879,(주)에듀언스,9010,2011/12,0,0,0
46882,(주)에듀언스,9010,2012/12,-,0,-
46888,(주)에스디생명공학,217480,2016/12,0,0,0
46893,(주)에스디생명공학,217480,2017/12,-,-,-
46898,(주)에스디생명공학,217480,2018/12,+,+,+
46902,(주)에스디생명공학,217480,2019/12,-,+,+
46907,(주)에스디생명공학,217480,2020/12,+,-,-
46911,(주)에스디생명공학,217480,2021/12,+,-,-
46917,(주)에스디시스템,121890,2011/12,0,0,0
46924,(주)에스디시스템,121890,2012/12,+,0,+
46932,(주)에스디시스템,121890,2013/12,-,0,-
46941,(주)에스디시스템,121890,2014/12,0,0,0
46949,(주)에스디시스템,121890,2015/12,0,0,0
46960,(주)에스디시스템,121890,2017/12,0,0,0
46968,(주)에스디시스템,121890,2018/12,0,0,0
46974,(주)에스디시스템,121890,2019/12,0,0,0
46984,(주)에스디시스템,121890,2020/12,0,0,0
46988,(주)에스디시스템,121890,2021/12,0,0,0
46993,(주)에스마크,30270,2011/12,0,0,0
47000,(주)에스마크,30270,2012/12,+,-,-
47007,(주)에스마크,30270,2013/12,-,-,-
47012,(주)에스마크,30270,2014/12,-,-,-
47020,(주)에스마크,30270,2015/12,-,-,-
47091,(주)에스마크,30270,2016/12,-,-,-
47186,(주)에스마크,30270,2017/12,-,-,-
47191,(주)에스마크,30270,2018/12,-,-,-
47203,(주)에스마크,30270,2019/12,-,0,-
47224,(주)에스비에스콘텐츠허브,46140,2011/12,0,0,0
47229,(주)에스비에스콘텐츠허브,46140,2012/12,-,0,-
47230,(주)에스비에스콘텐츠허브,46140,2013/12,-,0,-
47237,(주)에스비에스콘텐츠허브,46140,2014/12,0,0,0
47239,(주)에스비에스콘텐츠허브,46140,2015/12,0,0,0
47253,(주)에스비에스콘텐츠허브,46140,2016/12,0,0,0
47258,(주)에스비에스콘텐츠허브,46140,2017/12,0,0,0
47264,(주)에스비에스콘텐츠허브,46140,2018/12,0,0,0
47267,(주)에스비에스콘텐츠허브,46140,2019/12,0,0,0
47273,(주)에스비에스콘텐츠허브,46140,2020/12,+,0,+
47276,(주)에스비에스콘텐츠허브,46140,2021/12,+,0,+
47278,(주)에스비엠,37630,2011/12,0,0,0
47283,(주)에스비엠,37630,2012/12,+,+,+
47288,(주)에스씨디,42110,2011/12,0,0,0
47304,(주)에스씨디,42110,2012/12,-,+,-
47307,(주)에스씨디,42110,2013/12,+,+,+
47319,(주)에스씨디,42110,2014/12,-,-,-
47331,(주)에스씨디,42110,2015/12,0,0,0
47338,(주)에스씨디,42110,2016/12,0,0,0
47346,(주)에스씨디,42110,2017/12,0,0,0
47371,(주)에스씨디,42110,2018/12,0,0,0
47396,(주)에스씨디,42110,2019/12,0,0,0
47404,(주)에스씨디,42110,2020/12,0,0,0
47411,(주)에스씨디,42110,2021/12,0,0,0
47416,(주)에스아이리소스,65420,2011/12,0,0,0
47423,(주)에스아이리소스,65420,2012/12,+,-,-
47428,(주)에스아이리소스,65420,2013/12,-,0,-
47435,(주)에스아이리소스,65420,2014/12,0,0,0
47440,(주)에스아이리소스,65420,2015/12,0,0,0
47442,(주)에스아이리소스,65420,2016/12,0,0,0
47448,(주)에스아이리소스,65420,2017/12,0,0,0
47451,(주)에스아이리소스,65420,2018/12,0,0,0
47453,(주)에스아이리소스,65420,2019/12,0,0,0
47456,(주)에스아이리소스,65420,2020/12,0,0,0
47468,(주)에스아이리소스,65420,2021/12,0,0,0
47473,(주)에스앤더블류,103230,2011/12,0,0,0
47476,(주)에스앤더블류,103230,2012/12,-,+,-
47484,(주)에스앤더블류,103230,2013/12,-,-,-
47489,(주)에스앤더블류,103230,2014/12,+,+,+
47495,(주)에스앤더블류,103230,2015/12,-,-,-
47505,(주)에스앤더블류,103230,2016/12,-,-,-
47510,(주)에스앤더블류,103230,2017/12,-,-,-
47517,(주)에스앤더블류,103230,2018/12,-,-,-
47523,(주)에스앤더블류,103230,2019/12,+,+,+
47534,(주)에스앤더블류,103230,2020/12,+,-,-
47535,(주)에스앤더블류,103230,2021/12,-,-,-
47546,(주)에스앤디,260970,2015/12,0,0,0
47557,(주)에스앤디,260970,2016/12,0,0,0
47565,(주)에스앤디,260970,2017/12,0,0,0
47569,(주)에스앤디,260970,2018/12,0,0,0
47579,(주)에스앤디,260970,2019/12,0,0,0
47581,(주)에스앤디,260970,2020/12,0,0,0
47587,(주)에스앤디,260970,2021/12,0,0,0
47596,(주)에스앤에스텍,101490,2011/12,0,0,0
47602,(주)에스앤에스텍,101490,2012/12,+,+,+
47609,(주)에스앤에스텍,101490,2013/12,+,-,+
47613,(주)에스앤에스텍,101490,2014/12,-,-,-
47618,(주)에스앤에스텍,101490,2015/12,+,-,+
47621,(주)에스앤에스텍,101490,2016/12,+,-,+
47623,(주)에스앤에스텍,101490,2017/12,+,-,-
47626,(주)에스앤에스텍,101490,2018/12,+,+,+
47628,(주)에스앤에스텍,101490,2019/12,+,+,+
47629,(주)에스앤에스텍,101490,2020/12,-,+,+
47631,(주)에스앤에스텍,101490,2021/12,+,+,+
47635,(주)에스에너지,95910,2011/12,0,0,0
47637,(주)에스에너지,95910,2012/12,+,-,+
47640,(주)에스에너지,95910,2013/12,-,+,+
47643,(주)에스에너지,95910,2014/12,+,-,+
47645,(주)에스에너지,95910,2015/12,+,+,+
47649,(주)에스에너지,95910,2016/12,-,+,-
47653,(주)에스에너지,95910,2017/12,+,-,-
47655,(주)에스에너지,95910,2018/12,-,-,-
47657,(주)에스에너지,95910,2019/12,+,+,+
47660,(주)에스에너지,95910,2020/12,+,-,+
47668,(주)에스에너지,95910,2021/12,+,-,+
47674,(주)에스에스알,275630,2018/12,0,0,0
47679,(주)에스에스알,275630,2019/12,+,+,+
47691,(주)에스에스알,275630,2020/12,-,+,-
47696,(주)에스에스알,275630,2021/12,+,-,+
47704,(주)에스에스컴텍,36500,2011/12,0,0,0
47707,(주)에스에스컴텍,36500,2012/12,+,+,+
47713,(주)에스에스컴텍,36500,2013/12,+,+,+
47737,(주)에스에스컴텍,36500,2014/12,-,+,-
47746,(주)에스에스컴텍,36500,2015/12,-,-,-
47754,(주)에스에스컴텍,36500,2016/12,+,-,+
47766,(주)에스에이엠티,31330,2011/12,0,0,0
47772,(주)에스에이엠티,31330,2012/12,+,-,+
47783,(주)에스에이엠티,31330,2013/12,+,-,-
47792,(주)에스에이엠티,31330,2014/12,-,+,-
47801,(주)에스에이엠티,31330,2015/12,+,+,+
47810,(주)에스에이엠티,31330,2016/12,+,-,+
47819,(주)에스에이엠티,31330,2017/12,-,+,+
47828,(주)에스에이엠티,31330,2018/12,-,+,-
47839,(주)에스에이엠티,31330,2019/12,+,-,+
47848,(주)에스에이엠티,31330,2020/12,+,-,+
47850,(주)에스에이엠티,31330,2021/12,+,+,+
47853,(주)에스에이티,60540,2011/12,0,0,0
47865,(주)에스에이티,60540,2012/12,-,-,-
47868,(주)에스에이티,158300,2013/12,0,0,0
47873,(주)에스에이티,60540,2013/12,-,-,-
47883,(주)에스에이티,158300,2014/12,+,-,-
47884,(주)에스에이티,60540,2014/12,+,+,+
47888,(주)에스에이티,60540,2015/12,+,+,+
47910,(주)에스에이티,158300,2015/12,+,-,-
47914,(주)에스에이티,60540,2016/12,+,+,+
47926,(주)에스에이티,158300,2016/12,-,+,+
47935,(주)에스에이티,158300,2017/12,+,+,+
47942,(주)에스에이티,60540,2017/12,+,+,+
47948,(주)에스에이티,158300,2018/12,+,+,+
47954,(주)에스에이티,60540,2018/12,+,+,+
47976,(주)에스에이티,60540,2019/12,+,-,+
47980,(주)에스에이티,158300,2019/12,-,+,-
47992,(주)에스에이티,158300,2020/12,+,+,+
47999,(주)에스에이티,60540,2020/12,-,-,-
48019,(주)에스에이티,60540,2021/12,+,+,+
48023,(주)에스에이티이엔지,351320,2021/12,0,0,0
48031,(주)에스에프씨,112240,2011/12,0,0,0
48034,(주)에스에프씨,112240,2012/12,+,-,-
48037,(주)에스에프씨,112240,2013/12,-,+,+
48053,(주)에스에프씨,112240,2014/12,+,-,-
48071,(주)에스에프씨,112240,2015/12,+,-,-
48085,(주)에스에프씨,112240,2016/12,+,-,-
48090,(주)에스에프씨,112240,2017/12,-,-,-
48094,(주)에스에프씨,112240,2018/12,-,-,-
48098,(주)에스에프씨,112240,2019/12,-,-,-
48108,(주)에스에프에이,56190,2011/12,0,0,0
48127,(주)에스에프에이,56190,2012/12,-,-,-
48133,(주)에스에프에이,56190,2013/12,-,+,-
48139,(주)에스에프에이,56190,2014/12,-,-,-
48144,(주)에스에프에이,56190,2015/12,+,+,+
48159,(주)에스에프에이,56190,2016/12,+,-,+
48180,(주)에스에프에이,56190,2017/12,+,+,+
48204,(주)에스에프에이,56190,2018/12,-,+,-
48218,(주)에스에프에이,56190,2019/12,-,+,-
48244,(주)에스에프에이,56190,2020/12,-,-,-
48262,(주)에스에프에이,56190,2021/12,+,-,-
48272,(주)에스에프에이반도체,36540,2011/12,0,0,0
48278,(주)에스에프에이반도체,36540,2012/12,+,+,+
48283,(주)에스에프에이반도체,36540,2013/12,+,-,+
48288,(주)에스에프에이반도체,36540,2014/12,-,+,+
48297,(주)에스에프에이반도체,36540,2015/12,-,-,-
48302,(주)에스에프에이반도체,36540,2016/12,+,-,-
48304,(주)에스에프에이반도체,36540,2017/12,+,-,+
48308,(주)에스에프에이반도체,36540,2018/12,-,+,+
48315,(주)에스에프에이반도체,36540,2019/12,-,+,+
48322,(주)에스에프에이반도체,36540,2020/12,+,-,-
48325,(주)에스에프에이반도체,36540,2021/12,+,-,+
48345,(주)에스엘바이오닉스,214310,2015/12,0,0,0
48353,(주)에스엘바이오닉스,214310,2016/12,+,+,+
48356,(주)에스엘바이오닉스,214310,2017/12,-,-,-
48363,(주)에스엘바이오닉스,214310,2018/12,-,+,-
48381,(주)에스엘바이오닉스,214310,2019/12,-,+,-
48410,(주)에스엘바이오닉스,214310,2020/12,+,-,+
48422,(주)에스엠라이프디자인그룹,63440,2011/12,0,0,0
48423,(주)에스엠라이프디자인그룹,63440,2012/12,-,+,-
