,회사명,거래소코드,회계년도,내수변화,수출변화,생산변화
1050,(주)골프존뉴딘홀딩스,121440,2021/12,0,0,0
1063,(주)공구우먼,366030,2021/12,0,0,0
1067,(주)광림,14200,2011/12,0,0,0
1072,(주)광림,14200,2012/12,-,-,-
1074,(주)광림,14200,2013/12,+,+,+
1078,(주)광림,14200,2014/12,-,-,-
1086,(주)광림,14200,2015/12,+,-,+
1101,(주)광림,14200,2016/12,-,+,-
1106,(주)광림,14200,2017/12,+,+,+
1112,(주)광림,14200,2018/12,+,+,+
1115,(주)광림,14200,2019/12,-,+,+
1121,(주)광림,14200,2020/12,-,+,+
1123,(주)광림,14200,2021/12,+,-,+
1130,(주)광무,29480,2011/12,0,0,0
1143,(주)광무,29480,2012/12,+,-,-
1144,(주)광무,29480,2013/12,-,+,-
1152,(주)광무,29480,2014/12,+,-,+
1158,(주)광무,29480,2015/12,-,-,-
1162,(주)광무,29480,2016/12,+,0,+
1166,(주)광무,29480,2017/12,-,0,-
1197,(주)광무,29480,2018/12,+,0,+
1205,(주)광무,29480,2019/12,+,0,+
1215,(주)광무,29480,2020/12,-,0,-
1246,(주)광무,29480,2021/12,-,0,-
1250,(주)구스앤홈,329050,2019/12,0,0,0
1257,(주)구영테크,53270,2011/12,0,0,0
1260,(주)구영테크,53270,2012/12,+,-,+
1270,(주)구영테크,53270,2013/12,-,0,-
1275,(주)구영테크,53270,2014/12,0,0,0
1280,(주)구영테크,53270,2015/12,0,0,0
1298,(주)구영테크,53270,2016/12,0,0,0
1308,(주)구영테크,53270,2017/12,0,0,0
1323,(주)구영테크,53270,2018/12,0,0,0
1332,(주)구영테크,53270,2019/12,0,0,0
1345,(주)구영테크,53270,2020/12,0,0,0
1356,(주)구영테크,53270,2021/12,0,0,0
1361,(주)국보디자인,66620,2011/12,0,0,0
1363,(주)국보디자인,66620,2012/12,-,+,-
1365,(주)국보디자인,66620,2013/12,+,-,+
1366,(주)국보디자인,66620,2014/12,+,-,+
1370,(주)국보디자인,66620,2015/12,-,-,-
1372,(주)국보디자인,66620,2016/12,+,+,+
1376,(주)국보디자인,66620,2017/12,+,-,+
1378,(주)국보디자인,66620,2018/12,-,-,-
1380,(주)국보디자인,66620,2019/12,+,-,+
1385,(주)국보디자인,66620,2020/12,+,+,+
1386,(주)국보디자인,66620,2021/12,+,+,+
1392,(주)국순당,43650,2011/12,0,0,0
1398,(주)국순당,43650,2012/12,-,+,-
1405,(주)국순당,43650,2013/12,-,-,-
1416,(주)국순당,43650,2014/12,-,+,-
1419,(주)국순당,43650,2015/12,-,+,-
1424,(주)국순당,43650,2016/12,-,+,-
1438,(주)국순당,43650,2017/12,-,-,-
1444,(주)국순당,43650,2018/12,+,+,+
1453,(주)국순당,43650,2019/12,+,+,+
1464,(주)국순당,43650,2020/12,-,+,-
1472,(주)국순당,43650,2021/12,+,+,+
1474,(주)국영지앤엠,6050,2011/12,0,0,0
1476,(주)국영지앤엠,6050,2012/12,+,-,+
1478,(주)국영지앤엠,6050,2013/12,+,-,+
1480,(주)국영지앤엠,6050,2014/12,-,+,-
1482,(주)국영지앤엠,6050,2015/12,-,+,-
1484,(주)국영지앤엠,6050,2016/12,+,-,+
1486,(주)국영지앤엠,6050,2017/12,+,+,+
1487,(주)국영지앤엠,6050,2018/12,-,-,-
1490,(주)국영지앤엠,6050,2019/12,+,-,+
1491,(주)국영지앤엠,6050,2020/12,-,+,-
1494,(주)국영지앤엠,6050,2021/12,-,-,-
1498,(주)국전약품,307750,2020/12,0,0,0
1509,(주)국전약품,307750,2021/12,+,+,+
1521,(주)그래디언트,35080,2011/12,0,0,0
1528,(주)그래디언트,35080,2012/12,+,-,+
1531,(주)그래디언트,35080,2013/12,-,0,-
1541,(주)그래디언트,35080,2014/12,0,0,0
1676,(주)그래디언트,35080,2015/12,0,0,0
1809,(주)그래디언트,35080,2016/12,0,0,0
1922,(주)그래디언트,35080,2017/12,0,0,0
1983,(주)그래디언트,35080,2018/12,+,+,+
2075,(주)그래디언트,35080,2019/12,-,+,+
2432,(주)그래디언트,35080,2020/12,-,-,-
2864,(주)그래디언트,35080,2021/12,+,+,+
2881,(주)그리티,204020,2018/12,0,0,0
2882,(주)그리티,204020,2019/12,+,-,+
2885,(주)그리티,204020,2020/12,+,-,+
2892,(주)그리티,204020,2021/12,-,-,-
2896,(주)그린플러스,186230,2013/12,0,0,0
