,거래소코드,시가총액,회계년도
216,011160,529074407950,20111229
217,019680,528545784000,20111229
218,051370,519381964800,20111229
219,002270,516919251500,20111229
220,011760,514701936100,20111229
221,108320,507446160000,20111229
222,051310,503745505250,20111229
223,066270,501333270900,20111229
224,029530,498961435500,20111229
225,058650,498000000000,20111229
226,128940,492791201600,20111229
227,041960,483500000000,20111229
228,009240,478915434800,20111229
229,037370,474000000000,20111229
230,023590,462126155100,20111229
231,039530,460790329140,20111229
232,067000,456438763200,20111229
233,008000,455483053440,20111229
234,044490,455125508000,20111229
235,001440,451750599235,20111229
236,000070,444377559200,20111229
237,900050,440736570170,20111229
238,010690,438251145500,20111229
239,096640,435425875400,20111229
240,091700,431605706150,20111229
241,005880,423624128000,20111229
242,009410,420200000000,20111229
243,003190,418075652325,20111229
244,040350,414501226440,20111229
245,066575,412463808000,20111229
246,069080,412140156150,20111229
247,040910,411781579200,20111229
248,095720,410638965000,20111229
249,035080,407642023100,20111229
250,013570,400566146200,20111229
251,071200,398383705500,20111229
252,039130,397273527000,20111229
253,003030,397200000000,20111229
254,036540,396201551400,20111229
255,077970,388571087150,20111229
256,003000,388098978750,20111229
257,063080,377366547900,20111229
258,003530,375933986010,20111229
259,001500,375515020800,20111229
260,036930,374157489600,20111229
261,004150,372989218500,20111229
262,004690,371034787500,20111229
263,005690,370868200300,20111229
264,001510,369735332505,20111229
265,122870,366981155200,20111229
266,017940,364266000000,20111229
267,000540,361686091350,20111229
268,000370,360667971000,20111229
269,033640,360115371000,20111229
270,019210,359860279500,20111229
271,036710,359741670750,20111229
272,064960,358474608800,20111229
273,084870,355608763950,20111229
274,007860,354742677000,20111229
275,067290,352371581800,20111229
276,010780,352362727800,20111229
277,003520,348135200000,20111229
278,033170,345056483975,20111229
279,041140,340744870000,20111229
280,009420,340685950000,20111229
281,114120,337869900000,20111229
282,016800,337525000000,20111229
283,014830,336497025900,20111229
284,000680,336398379580,20111229
285,016170,336379676500,20111229
286,016420,336266877030,20111229
287,000700,335876026590,20111229
288,005950,335000607200,20111229
289,023410,332293171780,20111229
290,005090,330100424000,20111229
291,043370,329700000000,20111229
292,900140,326400000000,20111229
293,009580,324938968040,20111229
294,006840,324850000000,20111229
295,069620,318829393000,20111229
296,006350,317088152040,20111229
297,020760,314668072800,20111229
298,009520,312300000000,20111229
299,000990,310154630250,20111229
300,084370,309766143600,20111229
301,003410,308347600680,20111229
302,110570,306377650000,20111229
303,138040,306364418760,20111229
304,003300,304830645200,20111229
305,016380,303874734000,20111229
306,000430,298840000000,20111229
307,090435,296147131500,20111229
308,043890,294017579400,20111229
309,033920,290959427100,20111229
