회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류)
(주)강원랜드,035250,2014/12,91,"예술, 스포츠 및 여가관련 서비스업"
(주)강원랜드,035250,2015/12,91,"예술, 스포츠 및 여가관련 서비스업"
(주)강원랜드,035250,2016/12,91,"예술, 스포츠 및 여가관련 서비스업"
(주)강원랜드,035250,2017/12,91,"예술, 스포츠 및 여가관련 서비스업"
(주)강원랜드,035250,2018/12,91,"예술, 스포츠 및 여가관련 서비스업"
(주)강원랜드,035250,2019/12,91,"예술, 스포츠 및 여가관련 서비스업"
(주)강원랜드,035250,2020/12,91,"예술, 스포츠 및 여가관련 서비스업"
(주)강원랜드,035250,2021/12,91,"예술, 스포츠 및 여가관련 서비스업"
(주)갤럭시아에스엠,011420,2011/12,91,"예술, 스포츠 및 여가관련 서비스업"
(주)갤럭시아에스엠,011420,2012/12,91,"예술, 스포츠 및 여가관련 서비스업"
(주)갤럭시아에스엠,011420,2013/12,91,"예술, 스포츠 및 여가관련 서비스업"
(주)갤럭시아에스엠,011420,2014/12,91,"예술, 스포츠 및 여가관련 서비스업"
(주)갤럭시아에스엠,011420,2015/12,91,"예술, 스포츠 및 여가관련 서비스업"
(주)갤럭시아에스엠,011420,2016/12,91,"예술, 스포츠 및 여가관련 서비스업"
(주)갤럭시아에스엠,011420,2017/12,91,"예술, 스포츠 및 여가관련 서비스업"
(주)갤럭시아에스엠,011420,2018/12,91,"예술, 스포츠 및 여가관련 서비스업"
(주)갤럭시아에스엠,011420,2019/12,91,"예술, 스포츠 및 여가관련 서비스업"
(주)갤럭시아에스엠,011420,2020/12,91,"예술, 스포츠 및 여가관련 서비스업"
(주)갤럭시아에스엠,011420,2021/12,91,"예술, 스포츠 및 여가관련 서비스업"
(주)경농,002100,2011/12,20,제조업
(주)경농,002100,2012/12,20,제조업
(주)경농,002100,2013/12,20,제조업
(주)경농,002100,2014/12,20,제조업
(주)경농,002100,2015/12,20,제조업
(주)경농,002100,2016/12,20,제조업
(주)경농,002100,2017/12,20,제조업
(주)경농,002100,2018/12,20,제조업
(주)경농,002100,2019/12,20,제조업
(주)경농,002100,2020/12,20,제조업
(주)경농,002100,2021/12,20,제조업
(주)경동나비엔,009450,2011/12,28,제조업
(주)경동나비엔,009450,2012/12,28,제조업
(주)경동나비엔,009450,2013/12,28,제조업
(주)경동나비엔,009450,2014/12,28,제조업
(주)경동나비엔,009450,2015/12,28,제조업
(주)경동나비엔,009450,2016/12,28,제조업
(주)경동나비엔,009450,2017/12,28,제조업
(주)경동나비엔,009450,2018/12,28,제조업
(주)경동나비엔,009450,2019/12,28,제조업
(주)경동나비엔,009450,2020/12,28,제조업
(주)경동나비엔,009450,2021/12,28,제조업
(주)경동도시가스,267290,2017/12,35,"전기, 가스, 증기 및 공기조절 공급업"
