회사명,거래소코드,회계년도,자본금회전률(IFRS),유형자산회전율(IFRS),재고자산회전률(IFRS),자기자본회전률(IFRS),타인자본회전률(IFRS),총자본회전률(IFRS),자본금회전률(IFRS연결),유형자산회전율(IFRS연결),재고자산회전률(IFRS연결),자기자본회전률(IFRS연결),타인자본회전률(IFRS연결),총자본회전률(IFRS연결)
(주)디비아이엔씨,012030,2013/12,5.77,8,45.69,1.95,1.33,0.79,5.77,8,45.69,1.94,1.33,0.79
(주)디비아이엔씨,012030,2014/12,3.11,4.47,25.55,1.53,0.88,0.56,3.11,4.48,25.57,1.59,0.87,0.56
(주)디비아이엔씨,012030,2015/12,2.24,6.35,33.78,1.48,1.13,0.64,2.24,6.34,33.76,1.48,1.11,0.63
(주)디비아이엔씨,012030,2016/12,2.25,55.55,60.08,1.29,2.36,0.83,2.25,55.55,60.08,1.29,2.36,0.83
(주)디비아이엔씨,012030,2017/12,2.15,44.84,67.71,1.37,3.4,0.98,2.15,44.84,67.71,1.37,3.4,0.98
(주)디비아이엔씨,012030,2018/12,2.12,43.77,44.2,1.44,2.13,0.86,2.43,48.41,50.67,1.71,2.31,0.98
(주)디비아이엔씨,012030,2019/12,1.92,63.56,24.72,1.02,1.37,0.58,2.37,70.68,30.55,1.37,1.57,0.73
(주)디비아이엔씨,012030,2020/12,2.24,137.71,51.75,0.79,1.55,0.52,2.71,139.19,62.7,1.04,1.75,0.65
(주)디비아이엔씨,012030,2021/12,2.77,193.59,114.34,0.71,1.82,0.51,3.25,187.01,134.26,0.87,2.02,0.61
(주)디아이,003160,2011/12,2.65,1.09,3.56,0.42,1.19,0.31,5.1,1.82,3.98,0.75,1.13,0.45
(주)디아이,003160,2012/12,1.9,0.96,1.91,0.31,0.8,0.22,5.48,2.15,3.47,0.87,1.17,0.5
(주)디아이,003160,2013/12,3.12,1.99,3.63,0.5,1.22,0.35,6.21,2.77,4.98,0.97,1.42,0.57
(주)디아이,003160,2014/12,5.11,3.2,9.11,0.79,1.94,0.56,7.77,3.48,8.83,1.16,2.02,0.74
(주)디아이,003160,2015/12,3.38,1.86,9.99,0.53,1.38,0.38,6.12,2.47,9.69,0.91,1.78,0.6
(주)디아이,003160,2016/12,3.03,1.31,7.34,0.49,1.22,0.35,6.36,2.07,9.31,0.95,1.81,0.62
(주)디아이,003160,2017/12,4.72,1.77,6.71,0.73,1.69,0.51,8.82,2.56,7.76,1.24,2.26,0.8
(주)디아이,003160,2018/12,4.67,1.65,4.73,0.69,1.64,0.49,11.36,3,7.04,1.43,2.84,0.95
(주)디아이,003160,2019/12,3.99,1.24,3.27,0.59,1.23,0.4,6.35,1.49,3.39,0.77,1.54,0.52
(주)디아이,003160,2020/12,5.91,1.64,4.23,0.88,1.53,0.56,9.41,2.02,4.32,1.17,1.95,0.73
(주)디아이,003160,2021/12,10.78,2.93,5.03,1.56,2.54,0.97,13.14,2.7,4.19,1.57,2.4,0.95
(주)디아이씨,092200,2011/12,29.82,2.33,5.14,2.43,1.59,0.96,47.85,2.03,5.26,3.24,1.73,1.13
(주)디아이씨,092200,2012/12,30.63,2.1,4.48,2.41,1.22,0.81,46.53,1.66,4.64,3.07,1.35,0.94
(주)디아이씨,092200,2013/12,29.86,1.89,4.5,2.28,1.13,0.76,46.42,1.58,4.77,3.03,1.31,0.92
(주)디아이씨,092200,2014/12,29.25,1.74,4.61,2.25,1.09,0.73,46.27,1.5,4.85,2.97,1.29,0.9
(주)디아이씨,092200,2015/12,30.3,1.76,4.72,2.31,1.1,0.74,47.87,1.51,4.82,3.02,1.29,0.9
(주)디아이씨,092200,2016/12,30.38,1.71,4.36,2.12,1.04,0.7,51.38,1.45,4.56,2.94,1.19,0.84
(주)디아이씨,092200,2017/12,32.93,1.75,4.41,2.34,1.01,0.7,57.33,1.44,4.63,3.14,1.09,0.81
(주)디아이씨,092200,2018/12,32.26,1.71,3.88,2.47,0.92,0.67,52.36,1.31,3.72,3.04,0.94,0.72
(주)디아이씨,092200,2019/12,24.83,1.82,3.8,2.9,0.97,0.73,35.06,1.2,3.24,2.89,0.88,0.68
(주)디아이씨,092200,2020/12,18.07,1.66,4.87,5.7,0.92,0.79,25.37,1.18,4.06,3.84,0.88,0.71
(주)디아이씨,092200,2021/12,21.05,1.9,8.57,14.42,1.14,1.06,30.35,1.5,6.56,5.81,1.15,0.96
(주)디알비동일,004840,2011/12,31.52,2.27,11.03,1.72,1.99,0.92,47.06,2.24,8.49,2.38,1.78,1.02
(주)디알비동일,004840,2012/12,16.6,1.59,8,0.86,1,0.46,39.2,1.87,6.87,1.79,1.3,0.75
(주)디알비동일,004840,2013/12,19.34,5.08,43.62,0.94,1.59,0.59,57.55,2.27,9.17,1.92,1.69,0.9
(주)디알비동일,004840,2014/12,16.38,5.12,38.42,0.78,1.86,0.55,67.9,2.43,9.2,1.88,2.09,0.99
(주)디알비동일,004840,2015/12,17.98,4.92,29.36,0.84,2.25,0.61,76.56,2.71,9.39,1.89,2.53,1.08
(주)디알비동일,004840,2016/12,14.24,3.03,19.24,0.65,1.88,0.49,60.38,1.96,7.06,1.35,2.1,0.82
(주)디알비동일,004840,2017/12,13.01,2.43,15.55,0.59,1.84,0.45,58.32,1.74,6.92,1.26,2.14,0.79
(주)디알비동일,004840,2018/12,11.54,2.11,13.35,0.52,1.83,0.41,56.7,1.65,6.63,1.23,2.15,0.78
(주)디알비동일,004840,2019/12,11.56,2.06,15.93,0.52,1.92,0.41,55.52,1.53,6.39,1.21,1.98,0.75
(주)디알비동일,004840,2020/12,10.92,1.91,16.7,0.5,1.28,0.36,49.84,1.33,6.11,1.07,1.66,0.65
(주)디알비동일,004840,2021/12,9.61,1.67,12.17,0.46,0.9,0.3,55.33,1.44,5.82,1.17,1.65,0.69
(주)디엔오토모티브,007340,2011/12,31.81,4.11,7.82,0.86,2,0.6,47.44,3.87,6.07,1.17,2.13,0.76
(주)디엔오토모티브,007340,2012/12,34.58,3.43,8.02,0.88,3.39,0.7,53.34,3.34,5.88,1.19,3.12,0.86
(주)디엔오토모티브,007340,2013/12,36.81,3.29,8.48,0.88,4.29,0.73,56.18,2.92,5.47,1.15,3.59,0.87
(주)디엔오토모티브,007340,2014/12,36.95,3.17,8.81,0.84,4.49,0.71,60.86,2.48,5.34,1.16,2.77,0.82
(주)디엔오토모티브,007340,2015/12,32.49,2.92,9.64,0.7,4.63,0.61,76.74,2.69,6.99,1.32,2.76,0.89
(주)디엔오토모티브,007340,2016/12,29.42,2.94,9.3,0.61,4.2,0.53,80.84,2.8,7.35,1.27,2.89,0.88
(주)디엔오토모티브,007340,2017/12,15.78,1.62,4.62,0.31,2.5,0.28,104.13,2.81,7,1.35,2.97,0.93
(주)디엔오토모티브,007340,2018/12,29.12,2.92,6.92,0.48,6.28,0.45,181.81,3.17,7.18,1.69,3.17,1.1
(주)디엔오토모티브,007340,2019/12,31.84,3.27,6.91,0.48,6.32,0.44,186.07,3.04,6.87,1.56,3.14,1.04
(주)디엔오토모티브,007340,2020/12,33.57,3.82,7.12,0.5,6.26,0.46,164.87,2.67,6.13,1.29,2.78,0.88
(주)디엔오토모티브,007340,2021/12,47.04,2.46,4.98,0.47,0.75,0.29,186.26,3.17,5.88,1.36,1.73,0.76
(주)락앤락,115390,2011/12,8.17,3.04,4.36,0.47,3.16,0.41,18.14,2.58,4.43,1,4.41,0.81
(주)락앤락,115390,2012/12,6.22,1.68,3.34,0.33,1.47,0.27,18.49,1.96,4.33,0.89,3.07,0.69
(주)락앤락,115390,2013/12,6.81,1.6,4.05,0.36,1.41,0.29,18.24,1.72,4.28,0.84,2.83,0.65
(주)락앤락,115390,2014/12,7.06,1.83,4.2,0.37,1.58,0.3,15.33,1.42,3.24,0.68,2.43,0.53
(주)락앤락,115390,2015/12,6.67,2.06,4.35,0.34,1.92,0.29,14.8,1.38,3.03,0.64,2.89,0.52
(주)락앤락,115390,2016/12,7.43,2.08,5.26,0.36,3.37,0.33,15.46,1.49,3.32,0.65,4.35,0.56
(주)락앤락,115390,2017/12,5.96,1.57,4.11,0.28,4.35,0.26,15.18,1.51,3.35,0.64,5.07,0.57
(주)락앤락,115390,2018/12,5.14,1.34,3.54,0.24,4.12,0.23,15.79,1.58,3.34,0.67,5.28,0.59
(주)락앤락,115390,2019/12,7.39,1.88,4.64,0.35,3.65,0.32,17.67,1.77,3.39,0.72,4.99,0.63
(주)락앤락,115390,2020/12,7.75,2.09,4.47,0.37,2.74,0.32,18.25,1.95,3.4,0.74,4.29,0.63
(주)락앤락,115390,2021/12,8.86,2.88,4.45,0.44,3.12,0.39,19.75,2.45,3.28,0.8,4.28,0.67
(주)로케트전기,000420,2011/12,4.51,2.69,6.38,2.93,1.33,0.91,5.16,1.78,4.36,5.95,0.94,0.82
(주)로케트전기,000420,2012/12,3.93,2.11,5.74,3.32,1.01,0.77,4.33,1.47,3.68,0,0.77,0.72
(주)로케트전기,000420,2013/12,2.59,1.73,7.06,4.78,0.83,0.71,3,1.44,4.58,0,0.77,0.74
(주)롯데미도파,004010,2011/12,1.25,1.15,10.2,0.51,1.97,0.41,,,,,,
(주)마니커,027740,2011/12,13.32,5.02,66.32,3.64,2.28,1.4,15.78,4.24,32.66,4.15,2.2,1.44
(주)마니커,027740,2012/12,9.77,4.57,69.72,3.54,1.91,1.24,12.1,3.41,27.15,4.25,1.78,1.26
(주)마니커,027740,2013/12,7.72,4.49,47.97,3.46,1.92,1.23,9.77,2.67,20.85,4.33,1.67,1.21
(주)마니커,027740,2014/12,7.94,4.75,31.81,3.62,2.16,1.35,9.44,2.47,22.58,4.15,1.92,1.31
(주)마니커,027740,2015/12,7.13,4.34,33.92,3.63,2.3,1.41,7.07,2.11,30.89,3.37,1.92,1.22
(주)마니커,027740,2016/12,4.32,3.1,52.96,2.59,2.11,1.16,4.59,1.73,48.73,2.59,1.79,1.06
(주)마니커,027740,2017/12,4.07,2.5,75.5,2.6,2.19,1.19,4.36,1.66,63.32,2.62,1.89,1.1
(주)마니커,027740,2018/12,3.92,2.3,70.57,2.78,2.46,1.31,3.91,1.82,61.7,2.69,2.2,1.21
(주)마니커,027740,2019/12,3.06,2.1,67.2,2.54,2.68,1.31,3.05,2.04,66.41,2.52,2.61,1.28
(주)마니커,027740,2020/12,2.41,1.95,56.54,2.71,2.06,1.17,2.41,1.89,56.38,2.68,2,1.14
(주)마니커,027740,2021/12,3.87,2.48,64.26,4.27,1.93,1.33,3.86,2.4,64.1,4.24,1.88,1.3
(주)메타랩스,090370,2011/12,26.03,4.11,2.27,1.83,1.62,0.86,30.34,4.35,2.32,2.14,1.68,0.94
(주)메타랩스,090370,2012/12,21.21,4.01,2.09,1.96,1.35,0.8,25.33,4.44,2.15,2.28,1.46,0.89
(주)메타랩스,090370,2013/12,16.2,3.81,1.95,2.2,1.27,0.81,20.76,4.65,2.17,2.57,1.51,0.95
(주)메타랩스,090370,2014/12,12.93,3.85,1.59,1.94,1.19,0.74,17.15,4.76,1.83,2.37,1.43,0.89
(주)메타랩스,090370,2015/12,10.59,3.85,1.51,2.4,0.99,0.7,14.87,5,1.77,3.11,1.26,0.9
(주)메타랩스,090370,2016/12,3.49,3.3,2.15,3.6,1,0.78,4.78,4.32,2.23,4.28,1.25,0.97
(주)메타랩스,090370,2017/12,1.19,1.63,2.17,1.07,0.84,0.47,1.17,1.58,1.57,1,0.74,0.43
(주)메타랩스,090370,2018/12,0.99,2.48,3.9,0.37,0.9,0.26,2.53,5.47,8.42,0.91,1.79,0.61
(주)메타랩스,090370,2019/12,0.91,18.95,9.42,0.34,0.88,0.24,3.59,30.06,21.74,1.32,2.36,0.85
(주)메타랩스,090370,2020/12,0.82,27.04,6.22,0.39,1.23,0.3,2.87,36.98,15.19,1.49,2.64,0.95
(주)메타랩스,090370,2021/12,0.47,43.84,4.08,0.28,1.05,0.22,1.14,25.64,8.13,0.72,1.51,0.49
(주)모나리자,012690,2011/12,6.46,4.03,15.38,3.11,5.66,2.01,,,,,,
(주)모나리자,012690,2012/12,7.03,3.91,14.73,2.96,7.89,2.15,,,,,,
(주)모나리자,012690,2013/12,6.88,3.54,15.12,2.51,8.61,1.95,,,,,,
(주)모나리자,012690,2014/12,6.61,3.29,19.32,2.18,8.36,1.73,,,,,,
(주)모나리자,012690,2015/12,6.62,3.36,19.04,2,8.76,1.63,,,,,,
(주)모나리자,012690,2016/12,6.43,3.24,15.91,1.82,9.47,1.52,,,,,,
(주)모나리자,012690,2017/12,6.21,3.16,13.16,1.69,9.56,1.44,,,,,,
(주)모나리자,012690,2018/12,5.99,3.12,11.44,1.68,8.83,1.41,,,,,,
(주)모나리자,012690,2019/12,6.25,3.38,13,1.82,9.45,1.53,,,,,,
(주)모나리자,012690,2020/12,6.2,3.34,10.74,1.72,7.3,1.39,,,,,,
(주)모나리자,012690,2021/12,5.63,2.63,8.93,1.45,5.48,1.15,,,,,,
(주)모나미,005360,2011/12,14.68,5.71,7.57,3.65,1.78,1.2,20.46,5.28,5.85,4.68,1.91,1.36
(주)모나미,005360,2012/12,13.36,3.79,6.62,3.26,1.61,1.08,18.97,4,5.75,4.22,1.84,1.28
(주)모나미,005360,2013/12,9.33,3.22,5.93,2.51,1.22,0.82,12.06,3.03,4.75,2.9,1.31,0.9
(주)모나미,005360,2014/12,7.81,4.96,6.68,2.29,1.15,0.77,10.8,4.19,4.97,2.67,1.31,0.88
(주)모나미,005360,2015/12,6.04,4.13,5.76,1.86,1.22,0.73,8.72,3.84,4.57,2.21,1.42,0.86
(주)모나미,005360,2016/12,5.31,3.65,5.85,1.7,1.37,0.76,7.42,3.46,4.35,1.91,1.55,0.85
(주)모나미,005360,2017/12,5.46,3.43,7.37,1.78,1.36,0.77,7.28,3.18,4.37,1.83,1.5,0.82
(주)모나미,005360,2018/12,5.34,3.43,8.32,1.81,1.32,0.76,7.15,2.93,4.31,1.8,1.43,0.8
(주)모나미,005360,2019/12,5.15,3.64,8.03,1.77,1.27,0.74,6.99,2.69,3.96,1.76,1.31,0.75
(주)모나미,005360,2020/12,4.93,2.91,7.77,1.47,1.16,0.65,6.76,2.27,3.92,1.55,1.21,0.68
(주)모나미,005360,2021/12,5.15,2.75,7.39,1.27,1.26,0.63,7,2.25,4.02,1.36,1.3,0.66
(주)모토닉,009680,2011/12,14.41,7.59,16.07,0.76,4.6,0.65,15.65,4.89,10.13,0.76,3.56,0.62
(주)모토닉,009680,2012/12,14.12,7.15,17.44,0.7,4.89,0.61,14.57,4.48,10.43,0.66,3.3,0.55
(주)모토닉,009680,2013/12,12.24,5.47,19.7,0.58,4.72,0.52,13.22,3.91,12.1,0.57,3.07,0.48
(주)모토닉,009680,2014/12,12.33,3.93,17.25,0.56,4.84,0.5,13.16,3.3,12.77,0.57,3.61,0.49
(주)모토닉,009680,2015/12,11.57,2.55,12.76,0.5,4.59,0.45,12.32,2.42,11.54,0.54,3.92,0.47
(주)모토닉,009680,2016/12,11.04,2.05,12.17,0.47,4.72,0.43,11.84,2.05,11.61,0.51,4.29,0.45
(주)모토닉,009680,2017/12,12.2,2.29,15.07,0.51,5.79,0.47,12.82,2.26,14.71,0.54,5.48,0.49
(주)모토닉,009680,2018/12,11.39,2.25,14.99,0.47,5.5,0.44,11.83,2.22,14.82,0.49,5.22,0.45
(주)모토닉,009680,2019/12,12.26,2.56,17.04,0.5,5.91,0.46,12.58,2.52,17.11,0.52,5.77,0.47
(주)모토닉,009680,2020/12,10.82,2.44,15.27,0.44,5.94,0.41,10.82,2.36,15.27,0.43,5.88,0.4
(주)모토닉,009680,2021/12,11.88,2.92,16.88,0.47,6.88,0.44,11.88,3.04,17.44,0.47,6.72,0.44
(주)무학,033920,2011/12,37.33,1.87,4.41,0.91,2.38,0.66,38.63,1.9,4.46,0.94,2.45,0.68
(주)무학,033920,2012/12,40.01,1.54,4.81,0.8,2.4,0.6,41,1.37,5.06,0.74,2.66,0.58
(주)무학,033920,2013/12,43.68,1.41,5.68,0.73,2.67,0.57,44.79,1.44,5.65,0.75,2.71,0.59
(주)무학,033920,2014/12,52.34,1.57,9.32,0.75,2.69,0.59,53.24,1.59,9.12,0.76,2.71,0.59
(주)무학,033920,2015/12,50.06,1.43,19.68,0.66,2.34,0.51,53.19,1.49,18.63,0.7,2.46,0.54
(주)무학,033920,2016/12,44.91,1.27,32.73,0.55,2.2,0.44,47.73,1.3,25.36,0.58,2.31,0.47
(주)무학,033920,2017/12,40.58,1.17,29.91,0.45,1.9,0.37,43.95,1.21,22.1,0.49,2.03,0.39
(주)무학,033920,2018/12,31.15,0.9,22.58,0.34,1.45,0.28,33.99,0.93,16.13,0.37,1.57,0.3
(주)무학,033920,2019/12,26.64,0.77,18.49,0.3,1.38,0.24,29.19,0.8,12.98,0.33,1.5,0.27
(주)무학,033920,2020/12,23.86,0.68,15.04,0.26,1.5,0.22,24.45,0.67,11.42,0.27,1.52,0.23
(주)무학,033920,2021/12,21.38,0.62,13.44,0.24,1.12,0.2,22.27,0.63,11.84,0.25,1.14,0.2
(주)미래아이앤지,007120,2011/12,1.87,2,11.04,0.93,1.29,0.54,2.23,2.38,10.09,1.13,1.49,0.64
(주)미래아이앤지,007120,2012/12,2.52,3,18.88,1.19,2.06,0.76,3.03,3.6,15.4,1.43,2.38,0.89
(주)미래아이앤지,007120,2013/12,1.78,3.45,13.76,0.96,1.6,0.6,2.29,3.7,10.91,1.23,1.97,0.76
(주)미래아이앤지,007120,2014/12,0.66,3.47,11.62,0.45,1.01,0.31,0.97,3.8,11.73,0.67,1.44,0.46
(주)미래아이앤지,007120,2015/12,0.32,2.24,24.44,0.22,1.29,0.19,0.33,2.24,24.92,0.22,1.31,0.19
(주)미래아이앤지,007120,2016/12,0.32,2.39,17.65,0.21,3.19,0.2,0.32,2.38,17.57,0.21,3.36,0.2
(주)미래아이앤지,007120,2017/12,0.19,1.54,14.29,0.14,2.53,0.13,0.18,1.48,13.71,0.13,2.57,0.13
(주)미래아이앤지,007120,2018/12,0.12,1.03,36.55,0.11,2.32,0.1,0.12,1.03,36.5,0.11,2.32,0.1
(주)미래아이앤지,007120,2019/12,0.23,1.55,296.33,0.12,2.9,0.12,0.23,1.55,296.24,0.12,2.9,0.12
(주)미래아이앤지,007120,2020/12,0.45,2.28,221.42,0.07,2.07,0.07,0.45,2.28,221.35,0.07,2.07,0.07
(주)미래아이앤지,007120,2021/12,0.6,8.67,429.94,0.1,0.5,0.08,,,,,,
(주)바이오노트,377740,2014/12,,,,,,,,,,,,
(주)바이오노트,377740,2015/12,,,,,,,,,,,,
(주)바이오노트,377740,2016/12,,,,,,,,,,,,
(주)바이오노트,377740,2017/12,,,,,,,,,,,,
(주)바이오노트,377740,2018/12,,,,,,,,,,,,
(주)바이오노트,377740,2019/12,,,,,,,,,,,,
(주)바이오노트,377740,2020/12,215.93,12.72,11.9,1.2,3.37,0.89,216,12.72,11.9,0.99,2.94,0.74
(주)바이오노트,377740,2021/12,24.95,8.41,10.5,0.89,4.01,0.73,25.04,8.43,10.43,0.65,2.88,0.53
(주)배명금속,011800,2011/12,1.78,1.98,1.99,0.82,0.97,0.44,2.02,0.99,1.34,0.94,0.76,0.42
(주)백산,035150,2011/12,10.41,3.06,10.39,2.03,1.83,0.96,12.72,2.79,8.55,2.35,2.11,1.11
(주)백산,035150,2012/12,11.56,3.4,10.26,1.97,2.45,1.09,13.24,2.95,8.06,2.13,2.69,1.19
(주)백산,035150,2013/12,10.84,3.23,9.4,1.71,2.43,1,12.66,2.91,7.55,1.9,2.83,1.14
(주)백산,035150,2014/12,10.41,3.63,9.3,1.63,2.2,0.94,12.13,3.21,7.46,1.81,2.65,1.08
(주)백산,035150,2015/12,10.67,4.57,9.38,1.61,2.15,0.92,12.29,3.74,7.34,1.76,2.49,1.03
(주)백산,035150,2016/12,12.43,5.57,10.88,1.63,2.87,1.04,14.34,4.23,8.11,1.77,3.07,1.12
(주)백산,035150,2017/12,12.76,5.87,11.8,1.48,3.05,1,15.1,4.44,8.61,1.7,3.24,1.12
(주)백산,035150,2018/12,13.69,6.49,12.7,1.47,2.29,0.9,23.08,5.32,9.06,2.46,2.89,1.33
(주)백산,035150,2019/12,17.25,6.46,12.6,1.69,2.2,0.96,33.49,6.11,8.84,3.35,2.72,1.5
(주)백산,035150,2020/12,14.62,4.49,9.2,1.43,1.85,0.81,27.37,4.63,7.39,2.9,2.15,1.23
(주)백산,035150,2021/12,14.6,4.58,9.61,1.42,1.95,0.82,26.51,4.76,6.84,2.75,2.11,1.19
(주)벽산,007210,2011/12,7.38,3.75,24.03,1.65,1.89,0.88,9.82,3.61,14.95,2.08,1.97,1.01
(주)벽산,007210,2012/12,7.14,3.83,22.32,1.55,1.93,0.86,9.3,3.56,14.03,1.92,1.93,0.96
(주)벽산,007210,2013/12,7.78,4.27,27.09,1.58,2.15,0.91,11.65,3.49,17.68,2.01,2.46,1.11
(주)벽산,007210,2014/12,8.33,4.46,28.39,1.58,2.33,0.94,12.5,3.02,17.73,1.82,2.61,1.07
(주)벽산,007210,2015/12,8.58,4.53,27.14,1.49,2.46,0.93,12.92,3.11,18.21,1.73,2.78,1.07
(주)벽산,007210,2016/12,8.6,3.73,30.92,1.39,2.29,0.86,12.95,2.82,18.99,1.62,2.61,1
(주)벽산,007210,2017/12,7.32,2.53,24.01,1.13,1.97,0.72,12.1,2.31,15.91,1.45,2.45,0.91
(주)벽산,007210,2018/12,7.81,2.18,20.56,1.17,2.1,0.75,12.61,2.11,14.22,1.47,2.55,0.93
(주)벽산,007210,2019/12,7.64,1.78,19.29,1.15,1.93,0.72,12.65,1.89,14.37,1.48,2.48,0.93
(주)벽산,007210,2020/12,7.84,1.68,21.36,1.21,1.96,0.75,12.96,1.89,15.94,1.52,2.58,0.96
(주)벽산,007210,2021/12,8.6,1.8,23.66,1.35,1.9,0.79,13.75,2.02,15.53,1.62,2.43,0.97
(주)보락,002760,2011/12,2.11,1.11,3.24,0.69,2.61,0.54,,,,,,
(주)보락,002760,2012/12,2.62,1.34,3.66,0.83,3.06,0.66,,,,,,
(주)보락,002760,2013/12,2.57,1.27,3.56,0.79,2.88,0.62,,,,,,
(주)보락,002760,2014/12,2.6,1.26,3.62,0.78,3,0.62,,,,,,
(주)보락,002760,2015/12,2.59,1.22,3.6,0.77,3.13,0.62,,,,,,
(주)보락,002760,2016/12,2.98,1.26,4.17,0.86,3.59,0.7,,,,,,
(주)보락,002760,2017/12,2.79,1.09,3.79,0.78,3.52,0.64,,,,,,
(주)보락,002760,2018/12,2.82,1.08,3.81,0.78,3.72,0.64,,,,,,
(주)보락,002760,2019/12,3.02,1.12,3.88,0.82,3.4,0.66,,,,,,
(주)보락,002760,2020/12,3.2,1.18,3.79,0.87,3.52,0.7,,,,,,
(주)보락,002760,2021/12,3.32,1.27,3.72,0.89,3.81,0.72,,,,,,
(주)보령,003850,2011/12,18.97,4.72,7.51,2.25,2.63,1.21,,,,,,
(주)보령,003850,2012/12,18.32,4.6,7.07,2.2,2.48,1.17,,,,,,
(주)보령,003850,2013/12,18.32,4.95,7.33,2.14,2.79,1.21,,,,,,
(주)보령,003850,2014/12,19.2,5.43,7.56,2.13,3.38,1.31,,,,,,
(주)보령,003850,2015/12,20.44,5.42,8.13,2.15,3.34,1.31,,,,,,
(주)보령,003850,2016/12,19.87,4.83,6.71,2.09,2.42,1.12,,,,,,
(주)보령,003850,2017/12,19.58,3.62,6.3,1.91,2.38,1.06,19.13,2.92,6.96,1.69,2.77,1.05
(주)보령,003850,2018/12,20.83,2.7,6.74,1.82,2.66,1.08,20.83,2.7,6.74,1.82,2.66,1.08
(주)보령,003850,2019/12,23.72,2.36,6.52,1.93,2.51,1.09,23.72,2.36,6.52,1.95,2.5,1.09
(주)보령,003850,2020/12,23.59,2.21,6.14,1.72,2.07,0.94,24.48,2.29,6.22,1.8,2.11,0.97
(주)보령,003850,2021/12,20.44,2.51,5.93,1.47,1.84,0.82,21.57,2.64,6.08,1.54,1.9,0.85
(주)보루네오가구,004740,2011/12,3.18,2.19,10.24,2.14,1.93,1.01,,,,,,
(주)보루네오가구,004740,2012/12,4.19,1.96,8.63,2.3,1.72,0.98,8.38,2.02,8.51,2.95,1.74,1.1
(주)보루네오가구,004740,2013/12,6.89,2.53,7.04,2.34,1.39,0.87,6.89,2.52,7.04,2.35,1.38,0.87
(주)보루네오가구,004740,2014/12,4.8,7.92,4.99,1.84,1.33,0.77,4.8,7.81,4.99,1.87,1.31,0.77
(주)보루네오가구,004740,2015/12,2.8,8.4,4.72,1.85,2.03,0.97,2.8,8.4,4.72,1.89,1.98,0.97
(주)보루네오가구,004740,2016/12,1.62,6.92,4.09,2.01,1.57,0.88,1.62,6.92,4.09,2.07,1.53,0.88
(주)비비안,002070,2011/12,27.38,4.9,5.02,1.29,4.95,1.02,34.25,4.57,4.53,1.55,4.57,1.16
(주)비비안,002070,2012/12,28.45,4.17,4.43,1.3,3.81,0.97,34.72,4,3.98,1.57,3.55,1.09
(주)비비안,002070,2013/12,29.64,3.69,3.96,1.45,3.13,0.99,35.19,3.6,3.65,1.73,2.94,1.09
(주)비비안,002070,2014/12,26.68,3.41,3.61,1.35,3.29,0.96,31.55,3.32,3.33,1.6,3,1.05
(주)비비안,002070,2015/12,25.03,3.82,4.18,1.19,5.79,0.99,29.17,3.57,3.73,1.41,4.54,1.08
(주)비비안,002070,2016/12,25.83,4.82,4.5,1.25,9.28,1.1,30.21,4.39,4.06,1.51,6.16,1.21
(주)비비안,002070,2017/12,26.97,5.43,4.61,1.5,8.26,1.27,31.33,5.25,4.15,1.77,6.09,1.37
(주)비비안,002070,2018/12,26.67,5.78,4.64,1.73,6.88,1.38,30.78,5.98,4.2,1.94,5.8,1.46
(주)비비안,002070,2019/12,25.75,5.66,4.73,1.75,6.86,1.39,29.13,5.83,4.39,1.94,5.84,1.46
(주)비비안,002070,2020/12,16.37,5.15,4.68,1.75,2.78,1.07,18.12,5.43,4.54,1.91,2.8,1.14
(주)비비안,002070,2021/12,12.02,5.1,4.62,1.8,1.83,0.91,13.29,5.56,4.67,1.94,1.94,0.97
(주)비상교육,100220,2011/12,20.73,5.58,9.52,0.88,3.16,0.69,25.83,5.95,9.92,1.18,2.73,0.82
(주)비상교육,100220,2012/12,19.29,4.19,9.35,0.86,2.48,0.64,23.35,4.53,8.95,1.1,2.23,0.74
(주)비상교육,100220,2013/12,19.12,3.24,7.31,0.84,1.65,0.55,20.78,3.17,7.17,0.93,1.6,0.59
(주)비상교육,100220,2014/12,20.06,3.34,6.19,0.83,1.46,0.53,21.06,3.12,6.48,0.89,1.48,0.56
(주)비상교육,100220,2015/12,21.29,3.45,6.91,0.81,1.87,0.57,22.14,3.27,7.09,0.88,1.88,0.6
(주)비상교육,100220,2016/12,21.08,3.3,7.88,0.73,2.68,0.57,22.14,3.29,8.11,0.78,2.67,0.61
(주)비상교육,100220,2017/12,20.4,3.19,7.04,0.65,3.29,0.54,22.41,3.38,7.65,0.72,3.16,0.59
(주)비상교육,100220,2018/12,21.64,3.29,6.77,0.67,3.68,0.56,24.92,3.54,7.65,0.78,3.42,0.63
(주)비상교육,100220,2019/12,27.81,3.75,10.08,0.83,3.75,0.68,30.68,3.77,10.75,0.95,3.35,0.74
(주)비상교육,100220,2020/12,21.97,2.3,9.27,0.65,2.52,0.52,26.52,2.56,10.89,0.84,2.48,0.63
(주)비상교육,100220,2021/12,25.81,2.23,11,0.78,3.01,0.62,33.17,2.67,12.4,1.09,3.1,0.81
(주)비와이씨,001460,2011/12,48.12,4.54,1.63,0.68,1.36,0.45,48.12,4.17,1.62,0.68,1.36,0.46
(주)비와이씨,001460,2012/12,52.09,4.89,1.77,0.68,1.31,0.45,51.66,4.02,1.74,0.68,1.27,0.44
