,총자본정상영업이익률,누적수익성비율,TMD,금융비용부담률,자기자본순이익률,총자본증가율,정상영업이익증가율,target_3
0,-0.9355184138692982,-2.548071427943034,0.3077261623573684,2.8129972508744614,-0.3416735736289389,-0.482796365666211,0.1715073181224982,0.0
1,-0.8523388121854268,-1.1500461405320632,0.1539591013908426,4.32172946066096,-1.0121863661324118,-0.7770931005200499,0.0887475311239571,0.0
2,0.1114596160211699,-1.4474243640825732,0.6357837702172727,4.367073871337603,-1.414086611986273,-0.6833748054306524,1.8393815054648297,0.0
3,1.5996511852782604,-1.0339729382610194,-0.2521303109804003,2.606886293253355,1.931201821098545,-0.2869474646712415,0.5327051319338189,0.0
4,2.467612246327353,-0.7198831998922689,-0.3208089557832809,1.592820381757512,0.8259033897061014,-0.2731169461742664,0.0871093196762342,0.0
5,1.9197118265401136,-0.3364168747195236,-0.2928461015799616,0.908532002455439,0.7668260907138251,-0.2440277960350101,-0.0924457818891714,0.0
6,1.2886318050690022,-0.0315489082516349,-0.2800987069396276,0.389132389250251,0.4612538545468778,0.1326091418628085,-0.1059712474458776,0.0
7,-0.5539771974498011,-0.5638908397074247,1.7488000003364033,2.42138643139436,-0.1228256482979442,-0.6531198708773555,-0.2037149993101918,0.0
8,-0.8848873519747679,-0.6642952717027069,1.1627041669006255,2.153442186486921,-0.3652462889903891,-0.2001163286361313,-0.7937007888272719,0.0
9,-1.0928363561844463,-0.8183702770877881,2.5309411494805283,2.120464433267544,-0.579437875484554,-0.4681893875146807,-0.3913433959313316,0.0
10,-0.9264771528167036,-0.959175453426019,2.711735083708596,1.5309870944711803,-0.5529549483500853,-0.7773960427811579,0.1109090246975381,0.0
11,-0.9517926837639687,-1.287733387417366,2.95050856934135,1.4155649582033605,-0.8963599375662736,-0.9228690901032712,-0.0368177380098217,0.0
12,-1.1416591658684578,-1.57138709978237,2.4060948379003086,1.2630428495637418,-1.1349973029537943,-1.4293463263203297,-0.1910479631295506,0.0
13,0.0391295276004121,0.0177002372240498,0.8304185847738843,2.6893306763017977,-0.0075812620864098,-0.277954370512227,2.591545970233681,0.0
14,-0.2827393658719597,0.2394933048338049,0.5732677624590632,1.683509203110799,0.4533962827597277,-0.4853714617623422,-0.1834392484295294,0.0
15,0.7750881772816224,0.830587259834215,-0.4127033865727505,0.6076100043286238,-0.0480332057313676,-2.235622228694588,0.585777410083994,0.0
16,1.742503109909257,1.2354977505412132,-0.4907844255795252,0.0758437336661694,0.3722013742925103,-0.7234003186401777,0.0507002923430549,0.0
17,-0.3152879056613006,-0.8830100260113347,-0.4833339506120414,-0.1385116622597811,-0.019222109178484,-0.3414331259139547,-0.1926203065866745,0.0
18,0.3899304564410872,-0.7368496006133154,-0.438253136046257,-0.1921005112412688,0.1769261643229659,0.0899196094991569,0.5980103944896047,0.0
19,2.7822481309576497,-0.2960460835987147,-0.5449345729773024,-0.266300455984867,0.5945415537511272,-0.272530987805039,0.7184952769272795,0.0
20,2.973922865272657,-0.1074974890599628,-0.5421217915666133,-0.3693559347954203,0.3884985602214141,-0.0384000714535558,-0.0112426702933893,0.0
21,2.9359495688517594,0.178600736484438,-0.5515654006333621,-0.4353114412341743,0.5060711158513634,0.1589880525299566,-0.0206340409469974,0.0
22,1.357345389068722,0.2606734570797441,-0.5526384176869521,-0.4476780986914407,0.2310561033011108,-0.247732255881011,-0.1715574604478343,0.0
23,0.751580898544876,0.5668543617199524,-0.414527322195572,-0.7980667266473214,0.2776194916694076,-0.1421445501064529,-0.0627873554906591,0.0
24,0.558097912019349,0.548676955395045,-0.366391526375897,-1.0206665608781165,0.2572480092582777,0.4929253420372769,-0.057685523375122,0.0
25,0.1476246602315488,0.575466607156894,-0.2689606197931501,-0.1879782920888466,0.1580097877983454,0.0300766800349401,-0.1236955918242755,0.0
26,0.2597362972837234,0.5432593693643846,-0.2463156725670071,-0.2250782644606458,0.1751800372591548,0.3275782354337631,0.0364641017288745,0.0
27,0.3194086202308485,0.6657745744629358,-0.2128880651251485,-0.2333227027654901,0.1623751054578731,-0.352879226133868,-0.001248356915133,0.0
28,-0.1652029721882283,0.912764334842446,-0.2472843427155188,-0.2539337985276007,0.1190129500398969,-0.7886630746200336,-0.2016456391366019,0.0
29,-0.3478364454506417,0.4208202023563542,-0.1381731960994019,-0.200344949546113,0.559036970120301,4.230779741396274,-0.0791379402610634,0.0
30,0.2669693061257991,0.6227337314808556,-0.3126276798066251,-0.5177558242826168,0.1169758017987839,0.0517902433597907,1.0396817019741984,0.0
31,0.3103673591782537,0.6900672058110389,-0.30770751618979,-0.6373001797028586,0.2101025785353773,0.0835403354115744,-0.0009336354887015,0.0
32,0.1132678682316888,0.8315999450648182,-0.3277565312561688,-0.5342447008923054,0.1245423524086321,-0.4172086834234723,-0.0958906617127302,0.0
33,1.2813987962269264,1.017416716844244,-0.4688854970982316,-0.4806558519108176,0.3212726682646857,-0.065855688150703,0.4407859036512455,0.0
34,0.0427460320214501,-0.3345523259153971,0.922797693420284,-0.4518003178438628,0.1259974582951413,-0.4201481366200677,-0.1314548927285058,0.0
35,0.0300882665478174,-0.3245971243516404,0.3390998163619769,-0.4847780710632398,0.0913659381962207,-0.0805977322239343,-0.0404455470317853,0.0
36,-0.1290379279778495,-0.2530251350603021,0.0906364753214784,-0.5053891668253504,0.1233782676994246,-0.5781390830348511,-0.1113980621494309,0.0
37,0.6937168278082697,-0.2490485835034162,-0.1747816019956487,-0.521878043435039,0.1303627759546692,0.0792441009253229,0.4421682953614702,0.0
