,회사명,거래소코드,회계년도,산업군,target_3,EBIT/총자산,현금흐름 대 자산,순운전자본비율,누적수익성비율,abs(영업현금흐름-당기순이익)/매출액,금융비용부담률,당기전기영업손익,총자본증가율,TMD
0,(주)CMG제약,58820,2019,제조업,0,0.0050951613585088,-0.2362638548197028,1.847565821929748,-0.2571658561784704,-0.3557464315001086,-0.7375749121919559,-0.2786898739932938,2.129632002681217,-0.5946092065481811
1,(주)CMG제약,58820,2020,제조업,0,-0.0631535815367477,-0.2322663512189202,1.657216098366989,-0.2523166919004272,-0.2477905692190155,-0.5959038935118158,-0.3009306362904253,-0.2642561613412844,-0.5962948039043737
2,(주)CMG제약,58820,2021,제조업,0,-0.0749121367174501,-0.0954321171194783,1.2722130922739656,-0.2234386882039838,-0.2670818479885462,-0.9008567642300832,-0.3290744427361252,-0.2521673199510251,-0.5905098364088172
3,(주)ES큐브,50120,2019,도매 및 소매업,0,-0.1927517958468472,1.3021737637838888,0.3343682803551904,-0.2823601345590881,5.376156977076108,1.449921664377663,-0.5470100625645853,10.94036482085577,2.777223303574474
4,(주)ES큐브,50120,2020,도매 및 소매업,0,-0.1542034527290397,-0.9315337018248748,-1.51914146264983,-0.3559523862279708,0.0554658827671081,0.6815364783158868,-0.2033515277133323,1.6256997303845333,4.612592158327785
5,(주)ES큐브,50120,2021,도매 및 소매업,0,-0.058377489302636,0.2751805727273795,-0.0122337380277809,-0.3234549792352318,1.0599558109610212,-0.1852980597100543,-0.116892800284805,1.5309456418231366,8.190140808323612
6,(주)가비아,79940,2019,정보통신업,0,0.7098945170830392,1.5286460728595046,0.1397149978249257,0.3610449429686472,-0.0665967172918321,-0.2837474116742193,0.8170403360690036,0.8304741150019919,-0.2523567281686667
7,(주)가비아,79940,2020,정보통신업,0,0.6014787142479703,1.6093025149395348,0.3449616562752048,0.2904793861910128,0.0707018478825776,-0.360585930280397,1.1258172464059886,0.760516347396713,-0.3085527847284625
8,(주)가비아,79940,2021,정보통신업,0,0.5732656372919475,1.012382039796294,0.4740684253003803,0.2740310202988469,-0.1436655925604625,-0.3005558376193207,1.4048106158115603,0.2721893503435596,-0.277615698580084
9,(주)강스템바이오텍,217730,2019,제조업,0,-1.603136535440389,-1.6045409348266433,0.4287155346428186,-1.5915119775689786,5.745735645538253,2.311953794990718,-1.47182031250697,1.6681835561354474,-0.4451063288709291
10,(주)강스템바이오텍,217730,2020,제조업,0,-1.6251483869743015,-2.1479530036758243,0.7206954584382157,-2.4988000975058484,1.4007972226282193,-1.1361747274615022,-1.68143800648972,-1.3096323147204048,-0.5016193117682725
11,(주)강스템바이오텍,217730,2021,제조업,0,-1.3801991681393857,-2.097537059039307,0.7908765739083111,-2.4520149665940054,0.7272967146486851,-0.2549329671969028,-1.6689760243982978,0.5787151297318492,-0.4238557777684879
12,(주)강원에너지,114190,2019,제조업,0,-3.26417757563746,0.8868944166094583,-0.6024834025710833,-0.5754446082017232,2.4450027593382906,0.6070991634161523,-0.934792361758673,-1.7522027763560375,-0.2803688114662369
13,(주)강원에너지,114190,2020,제조업,0,-1.9976713201433904,-1.799035856824307,0.3241059474326764,-1.0336011911801473,0.247858047139045,-0.2333221338389153,-1.2200167222099558,-1.8266493525218404,-0.393075788954951
14,(주)강원에너지,114190,2021,제조업,0,0.5743732552481924,-1.5105665347890578,0.9875161144235785,-0.6940965165959023,0.2875132980751262,-0.1949028745358265,-0.6508201621873895,0.613685446802457,-0.4858059651950265
15,(주)고려시멘트,198440,2019,제조업,0,0.1171387553341118,-0.1548944529925903,-0.100622218360401,0.258823554011672,-0.3455252517943581,-0.3437775043352956,-0.3321750315818379,-0.3367389462548171,-0.3669258380890295
16,(주)고려시멘트,198440,2020,제조업,0,0.2699042708978162,0.3275595649237436,0.2198274032200346,0.3807391503771405,-0.2259176190049839,-0.3053582450322068,-0.3189677156332732,-0.6543017426539667,-0.4620023424851463
17,(주)고려시멘트,198440,2021,제조업,0,0.1996935504252497,0.5550396239657062,0.2492902299975747,0.2879859932015653,0.0059078229399932,-0.3245678746837512,-0.1950037885133365,0.6595161022202106,-0.4598130580418648
18,(주)고바이오랩,348150,2021,"전문, 과학 및 기술 서비스업",0,-1.0308059950234485,-1.618224503068851,2.300432642510364,-2.5879977585147977,2.449005980499476,-3.172395470525209,-1.2879911699813495,2.554220604092368,-0.5802998553021596
19,(주)고영테크놀러지,98460,2019,제조업,0,0.7041134175972914,0.6018331496125956,1.4453485799667012,0.9918249464939028,-0.3617102772305031,-0.4278196340608024,1.9317318394570056,0.0184853973912989,-0.5809965235491411
20,(주)고영테크놀러지,98460,2020,제조업,0,0.1579001459915069,0.907132180669857,1.1897833858963531,1.0175092609557022,0.0811563125396153,-0.4134124118221441,1.033157341286036,-0.3568680568328906,-0.5831458954266948
21,(주)고영테크놀러지,98460,2021,제조업,0,0.8048294736398641,0.8077274450694236,1.433762075054185,0.9470086743568354,-0.3338080186637703,-0.3365738932159665,1.2722604426573425,0.4602564870524723,-0.5740613010285197
22,(주)골드퍼시픽,38530,2019,도매 및 소매업,0,-2.5325683765003544,-0.892107157177345,-1.5836948471624177,-1.256893365412422,6.592472103098534,6.036220743683889,-0.5618272996445778,3.0221825833162304,-0.0282097035742951
23,(주)골드퍼시픽,38530,2020,도매 및 소매업,0,0.0937386776430834,0.0928753667894521,0.8411951095283796,-0.4013331529726861,0.5760927833338286,5.00610435361982,-0.514453879684602,-0.3979465462591025,-0.5318622794888893
