,회사명,거래소코드,회계년도,산업군,target_3,총자본정상영업이익률,누적수익성비율,TMD,금융비용부담률,자기자본순이익률,총자본증가율,정상영업이익증가율
0,(주)다이나믹디자인,145210,2020,제조업,0.0,-1.837836266918251,-3.1320348646115663,-0.2925472479309201,1.361976109221873,-2.6622764414339266,-0.5498020915158336,-0.0146904596754803
1,(주)신한,5450,2019,건설업,1.0,-0.4707975957659298,-1.8846430048069835,0.1372921080499404,1.1599873707531887,-0.9845393542887356,-2.01818550969556,-0.3396380810883129
2,(주)아센디오,12170,2019,정보통신업,1.0,-2.859498765861454,-8.218352764406546,0.0629522927142082,4.700973622683796,-8.939894257012233,-3.3920325635673243,0.0206126604242025
3,(주)알루코,1780,2020,제조업,0.0,-0.0874481271359138,-0.5804707104103598,-0.2625261769810393,0.9621208514369266,-0.2476737333604398,-0.8128648496441659,0.2977026811298959
4,(주)에스엠벡셀,10580,2019,제조업,0.0,-1.933673634075755,-2.060019713852147,-0.2673102252735778,-0.0189673068395395,-1.447845068553288,0.6230134022671056,-0.9803520494173488
5,(주)에스엠벡셀,10580,2020,제조업,1.0,-1.743807151971266,-2.7697642414883936,0.2064302154743663,0.5127989638229148,-2.265323555594197,-1.0797108476410793,0.0134373090267766
6,(주)와이투솔루션,11690,2019,제조업,0.0,-1.1543169313420905,-1.4261737349394208,-0.4921789431814642,1.5763315051478233,-0.2849244440550772,0.0895697368294071,0.1992971659659828
7,(주)와이투솔루션,11690,2020,제조업,1.0,-1.165166444605204,-3.355079311936987,-0.2557304733073515,0.5663878128044024,-1.7368290976140297,-2.880551853231773,0.0234125511467109
8,극동유화(주),14530,2020,제조업,0.0,0.1928309654945224,0.8768978673818137,-0.297321241720827,-0.3240115241187769,0.0951492135011448,-0.2317470324938,-0.083071312183829
9,범양건영(주),2410,2020,건설업,0.0,0.7696634206500653,-0.5382951327515769,-0.4017517649851002,-0.2910337708993998,0.3852973272710938,0.5276780253007619,-0.0211862533936141
10,쌍용자동차(주),3620,2020,제조업,0.0,-4.986003365431731,-2.707918747350672,0.7089852506526592,-0.3116448666615105,-9.356054540553885,-0.9962790325554756,-0.2312307342509659
11,쌍용자동차(주),3620,2021,제조업,1.0,-3.2970958008070386,-3.010848318638871,0.7695013710945027,-0.1632449771743139,-0.0369744009938971,0.0198851788692849,0.0998132409276773
12,웅진에너지(주),103130,2019,제조업,1.0,-6.463345421425707,-14.02737139627155,1.7498585487607674,16.197842838789107,-0.0369744009938971,-2.742891432196448,-0.055981517730066
13,한올바이오파마(주),9420,2020,제조업,0.0,-0.1742442332408231,-0.6745995630712663,-0.579546084939932,-1.3957885037485298,0.320690625910082,0.5746784195689445,-0.2503876799442051
14,(주)DB하이텍,990,2019,제조업,0.0,2.346459348222584,0.2267014141211592,-0.4803990690918659,0.1088214868855464,0.4694024475113297,-0.1655500409540292,0.1605545520511735
15,(주)DB하이텍,990,2020,제조업,0.0,3.1221995465352106,0.5694296087053252,-0.5362205162271327,-0.2085893878509573,0.6344114550414812,0.1861235625434867,0.0676263855578693
16,(주)DB하이텍,990,2021,제조업,0.0,4.594116845897631,0.8788507276464438,-0.545497326372981,-0.3817225922526866,0.9335812253077878,1.5188708601917364,0.181184787179392
17,(주)HJ중공업,97230,2019,건설업,0.0,-0.1127636580831789,-2.726797835590797,0.9655918168565486,2.235886569535364,-0.0369744009938971,-0.83740348391006,0.0804342908907856
18,(주)HJ중공업,97230,2020,건설업,0.0,-0.2953971313455923,-2.834019879433697,0.3041048188370113,0.8137209619497301,0.7694452813095418,-0.9263094262043364,-0.1626105093419853
19,(주)HJ중공업,97230,2021,건설업,0.0,-1.5557489220772958,-2.88309704961964,0.2587598171304711,0.5663878128044024,-1.1189911382021924,0.2139894209797951,-1.0539581111297005
20,(주)MH에탄올,23150,2019,제조업,0.0,-0.3767684808189447,-0.4858771195881189,1.790915171357288,4.853495731323414,-0.0625842645964603,-0.1386281774948291,1.7200729566890638
21,(주)MH에탄올,23150,2020,제조업,0.0,-0.0621325961886485,-0.4510941582472453,1.136339535912833,4.754562471665283,0.2974089317259337,-0.3083618112920655,0.2950271922929149
22,(주)MH에탄올,23150,2021,제조업,0.0,0.2416537751785338,-0.43104911355215,0.8246122707335578,4.375318309642448,0.2400777597974683,-0.2628980984765374,0.1194103979857647
23,(주)SH에너지화학,2360,2019,제조업,0.0,-1.1561251835526094,0.0561094370787708,-0.5229679030074457,-0.4889002902156619,-0.1196244153476238,-0.2397067099675698,-0.8510325974451314
24,(주)SH에너지화학,2360,2020,제조업,0.0,-1.8740013111286296,-0.082520403996003,-0.5000197660464486,-0.455922536996285,-0.2491288392469491,-0.5667473549644605,-0.5299021374043315
25,(주)SH에너지화학,2360,2021,제조업,0.0,-0.6425815557652295,-0.0600427306937083,-0.5106627125989006,-0.4353114412341743,-0.0168939397600692,-0.1747223131261668,0.3041289675370939
26,(주)SIMPAC,9160,2019,제조업,0.0,-0.3984675073451721,0.455307581222976,-0.2280076100253875,-0.2621782368324449,0.0261771944806052,-0.3074751655305262,-0.0065563983816917
27,(주)SIMPAC,9160,2020,제조업,0.0,-0.496113126713195,0.4854888677791966,-0.0960302027176393,-0.1591227580218918,0.1824555666917011,0.2046014308484196,-0.1354343655224647
28,(주)SIMPAC,9160,2021,제조업,0.0,1.650282247172791,0.5513811099012585,-0.3393115492472598,-0.4435558795390186,0.4862816757948373,1.0034495752337047,4.1025695557477695
