,EBITDA마진율,누적수익성비율,TMD,자기자본순이익률,금융비용부담률,정상영업이익증가율,target_3
0,1.2568928096141807,-2.7502620327326297,0.3331763149854119,-0.3716436325346977,2.8346035919251875,0.1856377592700814,0.0
1,1.2016679547807918,-1.2512815344235486,0.1727118636591135,-1.066987239138896,4.3535416498442085,0.0896828064649032,0.0
2,1.9654860052016043,-1.5701342488472854,0.6755226128060958,-1.4837708852849023,4.399192793661447,2.1194367060246178,0.0
3,3.1325656496686727,-0.7900553570999131,-0.3227349200853132,0.8391717102153216,1.6061728128431378,0.0877833996653916,0.0
4,2.994065927686888,-0.3788978849366647,-0.29355413176141,0.7779066268209414,0.9172555516011778,-0.1203998487634766,0.0
5,2.489839272112388,-0.052014572875248,-0.2802515188744647,0.4610182644362154,0.3943424496946295,-0.1360818056199471,0.0
6,-0.3436112833446645,-0.6227983640341292,1.8370167426978767,-0.1446912053791606,2.440343713503584,-0.2494097567576979,0.0
7,-0.9788727314031892,-0.7304532733265426,1.22539325359851,-0.3960893062043765,2.1705869545835395,-0.9334624910866932,0.0
8,-0.9749648114634702,-0.8956544541841608,2.653224385402672,-0.6182129583140511,2.137386122716457,-0.4669535010765434,0.0
9,-0.8845594287487585,-1.046627555524018,2.8418928770593164,-0.590749300240708,1.5439212530923585,0.1153777139443378,0.0
10,-0.3221072506265213,-1.3989115521388606,3.0910662443754062,-0.9468714598730668,1.42771834155757,-0.055902506289873,0.0
11,-0.1308841852736917,-1.7030486710714765,2.522940339119228,-1.1943461809735194,1.2741644941723138,-0.2347230966903352,0.0
12,0.8167207277759936,0.0007909874327157,0.8786348302765301,-0.025179022994064,2.7101004724236284,2.9915257765281416,0.0
13,1.3245400556189546,0.238600336091112,0.6102836934889379,0.4528697065463225,1.6974751004776143,-0.225901253541301,0.0
14,1.6334142328853911,0.8723787943154773,-0.418631852262386,-0.0671290062049943,0.6142979608140506,0.6659588012208412,0.0
15,-0.3382892090893215,-0.964962015302337,-0.4923387608434055,-0.0372509606087202,-0.1368708601786891,-0.2365461335503082,0.0
16,-0.1702276732684167,-0.808246947793129,-0.4452944320439107,0.1661611881982371,-0.190822211962698,0.6801422045846941,0.0
17,0.4906372853442173,-0.3356118091150528,-0.5566224247638076,0.5992419501240293,-0.2655240836636335,0.8198371171422668,0.0
18,0.7110757158033885,-0.1334476074069534,-0.5536871314511176,0.385568654344614,-0.3692766832482661,-0.0262497666596614,0.0
19,0.8115639726824985,0.5896010258475439,-0.42053523018436,0.2705834485650135,-0.8008874975203376,-0.0860127024384712,0.0
20,0.8807510179503916,0.5701109795399149,-0.3703028591108155,0.2494575577393651,-1.0249931126231435,-0.0800974375783172,0.0
21,0.3422103728239529,0.5988351849667501,-0.2686283075602218,0.1465442895744207,-0.1866721079793127,-0.1566321077656241,0.0
22,0.5450744821729343,0.5643021748773677,-0.2449970499351114,0.1643503975560387,-0.2240230438297805,0.02906334160105,0.0
23,0.4719273377057241,0.6956645363759687,-0.2101134886990908,0.1510712661799168,-0.2323232517965511,-0.0146619665539452,0.0
24,0.3286521657059421,0.9604900995648576,-0.2460079109278369,0.1061032985653224,-0.2530737717134776,-0.2470104591640823,0.0
25,-0.0679924111925152,0.4330213423867508,-0.1321443814743476,0.5624225403993278,-0.1991224199294687,-0.1049702136511194,0.0
26,0.2425029259035304,0.6495155969813156,-0.3141973051208905,0.1039907094827576,-0.518680426650137,1.1922332937731268,0.0
27,0.4581487442922826,0.7217114047490397,-0.3090628416652682,0.2005662104000073,-0.6390334421683108,-0.0142970661510413,0.0
28,0.1319395775431784,0.8734646083027271,-0.329985100190841,0.1118374689322841,-0.5352808425836783,-0.124393977952027,0.0
29,0.9798686566951776,1.072699714895065,-0.4772609987334064,0.3158532146199743,-0.4813294907996692,0.4978499447160348,0.0
30,-0.585432206278963,-0.3768986919887981,0.9750375506626864,0.1133464611341161,-0.4522787629159722,-0.1656285464838596,0.0
31,-0.5810812966606209,-0.3662245982258427,0.365916461960365,0.0774324467305139,-0.4854795947830545,-0.0601087307874644,0.0
32,-0.5873812584186703,-0.2894842007959896,0.1066311934239396,0.1106302751708185,-0.506230114699981,-0.1423738680774191,0.0
33,-0.5839822948926868,-0.2852204916285171,-0.1703472822071026,0.1178734377396122,-0.5228305306335224,0.4994527440479763,0.0
34,-0.5719788089283951,-0.2993540085630173,0.218668405732982,-0.0414761387738499,-0.5311307386002929,-0.2655488259751455,0.0
35,-0.5907851206244032,-0.2773702197963716,0.1603990596552317,-0.0212556432693007,-0.5311307386002929,-0.1172084435407137,0.0
36,-0.5877617527458758,-0.2186537421599538,0.271005807457787,0.0759234545286818,-0.6058326103012284,0.0189379140601204,0.0
37,-0.5895335555093955,-0.7842805400590673,1.5246707443554812,-1.1297613147351089,0.3320908899438501,-1.0987809259553265,0.0
38,-0.2138756226745079,0.3053673484187008,0.6366453908273847,-0.0535480763885061,0.3320908899438501,-0.2382268340370827,0.0
39,-0.2478710097846083,0.0219560233696944,1.571766064998479,-0.2883472629935696,0.5561965050466564,0.339680000714636,0.0
40,-0.153101639412037,-0.2196781207618323,0.385725834732575,0.4872747287480927,0.0664842350071906,-0.0681935521851271,0.0
41,-0.3024546955837605,-0.2114541248664312,0.6723598542963328,-0.0103908994161101,-0.0621689884777537,-0.2350150189162172,0.0
42,-0.0588261873490881,-0.1805173687566199,0.7021648055925065,0.2216921012256557,-0.1202704442451479,0.3634788020289277,0.0
43,3.7038952393324425,1.864303027295668,-0.5729358401926385,0.3436186711336836,-1.879914533200516,-0.1210569360720987,0.0
