,EBIT/총자산,abs(영업현금흐름-당기순이익)/매출액,누적수익성비율,총자본회전률,금융비용부담률,당기전기영업손익,TMD,target_3
0,-0.6760570178420328,0.5125081167792642,-2.0370988772348952,-1.0683103098905182,0.3120938000219297,-0.5648143059372209,-0.4254847518320746,0
1,0.0075208839812517,0.2202769930533454,-2.0679475179949365,-1.1326390054544506,0.1043067734572124,-0.5598942833438839,-0.5554342464931302,0
2,-0.0593536049406419,-0.2862924466006553,-2.0090627827591643,-1.0468674113692074,-0.438772955064208,-0.4084488196761351,-0.5369784667362885,0
3,-0.4776659719092617,0.2660872010795433,-2.188689007174133,-0.8967671217200318,-0.3112672796722224,-0.5180252169038975,-0.5766422817724488,0
4,-0.0781665600004311,-0.078719833940286,-0.3179667875447887,0.6900073688569677,-0.438772955064208,-0.5646513912818124,-0.5589934699681635,0
5,-2.205351674964736,0.5460678518768358,-0.954128852541006,0.7757789629422109,-0.4080771443216929,-0.483682807543784,-0.5559810899251642,0
6,-0.27780918846704,-0.1368307637244792,-0.370384078398351,-0.0604940793889104,-0.6229478195192983,-0.4810110071950845,-0.5227527447254542,0
7,-0.4731469179857552,-0.324415130597194,-0.2629283476704868,-0.2963659631233292,-0.4127995767436184,-0.5753385926766105,-0.5451561264946293,0
8,1.2344341658282467,1.286478186057905,0.1010845144678827,-0.982538715805275,-0.4293280902203572,-0.5104985598240245,-0.3106793434437275,0
9,0.0806445078094982,-0.3109473624633158,0.1278654608482548,-1.1755248024970724,-0.0468110640444002,-0.3049328476295693,-0.3651313865913608,0
10,-0.4838433254610861,0.0366438571417196,0.0490850389245267,-1.2398534980610048,0.255424610958825,-0.414802491237067,-0.1344200471966236,0
11,0.5025406712911344,-0.2025566511762874,0.3250870995325847,0.0681633117389544,-1.5745179525372657,0.0662193203220931,-0.2998271211072278,0
12,0.552531643102209,-0.225636536287907,0.40040250162131,-0.1891514705167751,-1.2226967371038235,0.0288466983713814,-0.3850885779714864,0
13,0.4183897941217578,-0.0288396947052788,0.4043825830319748,-0.0819369779102212,-0.360852820102439,0.0537074747867197,-0.4416636109924193,0
14,0.5143450305311906,-0.0307709099460241,0.457100105280579,0.0252775146963328,-0.384464982212066,0.194302822404262,-0.4718640115317681,0
15,0.4788688963953367,-0.1466011064688751,0.4075380591193893,0.003834616175022,-0.3702976849462898,0.3300433132906307,-0.3703337768905226,0
16,0.4380785317010853,-0.0982780239702406,0.4307674323360221,0.0252775146963328,-0.3514079552585882,0.3744538483549899,-0.3424990960277704,0
17,0.6676140759599068,-0.2147419333171459,0.4330364244910064,0.0252775146963328,-0.3514079552585882,0.5581889967247051,-0.3353412457501492,0
18,-1.1770329623929867,0.4970194208396878,-1.6578928186335868,-1.5829398744019774,1.6579870402706676,-1.212106814806304,-0.5739699820472168,0
19,0.6699256160129846,-0.0397050970377655,0.2268146636036228,0.647121571814346,-0.4576626847519096,0.1444183549181769,0.1120572235165941,0
20,0.1839047868880839,0.3592090385164635,0.4376336386349495,-0.5536807453790589,-0.5639174142452309,0.0350700382079864,-0.006652782076917,0
21,-0.0366876219622442,0.4916077578869539,0.5190246119777479,-0.3178088616446401,-0.6253090357302611,-0.2902705286428036,-0.2624303227762113,0
22,-0.0591866183325544,0.2088204481208077,0.3416616524364054,-0.746666832070856,-0.4009934956888049,-0.3810791575675059,-0.1914955427526485,0
23,-0.1184830132018533,0.6059833701370024,0.3860955149316234,-0.7895526291134777,-0.4458566036970962,-0.4767752261544633,-0.274461193501474,0
24,-0.6142526785381698,-0.2626040022038119,0.1406900216447372,0.1539349058241975,-0.3041836310393342,-0.6734457981636139,0.1395026787824654,0
25,0.0035889650464518,0.0281907633800901,0.1927739828589056,0.0681633117389544,0.0712497465037346,-0.6196187960166429,0.0475110891528242,0
26,0.2286498786005112,-0.2610901724409221,0.2181368884537661,-0.4035804557298834,-0.4009934956888049,-0.2252349982037272,-0.29626478343431,0
27,1.1184320118960642,-0.2570630251488594,0.778311406407344,0.518464180686481,-0.4151607929545811,0.8632955633737585,-0.5594648548905806,0
28,0.7600122769494426,-0.3392939553042322,0.7973349284736523,0.2397064999094408,-0.4127995767436184,0.7965657205184337,-0.5524116649877339,0
29,1.1689043381062412,-0.2876038324868505,0.8893353016326695,0.4326925866012382,-0.391548630844954,1.0152623539388146,-0.5812034516979918,0
30,0.901960799152923,-0.2230703336207894,0.986640298275668,0.1753778043455083,-0.3726589011572525,1.232818584771336,-0.5768048556657267,0
31,1.0905775827052924,-0.3475090102427057,0.9861339277722124,0.1753778043455083,-0.3443243066257001,1.3966781451812131,-0.570894344529846,0
32,-0.0069450433155314,0.9132252092254006,-0.1972847122465774,-1.1111961069331395,-0.2073737663898636,-0.3686976437564592,-0.456178563664116,0
33,-1.755942556216865,2.371105099664652,-0.7337584915869042,-1.4542824832741128,0.6214131236580431,-0.6249298137829603,-0.1013839055300831,0
34,-1.03512533859252,0.0624627114000709,-0.6919152818513379,-1.0683103098905182,1.114907311749247,-0.8382176806437787,-0.2085304172580998,0
35,-2.162618122344312,0.3262079460946261,-1.1902304699402295,-0.7681097305921669,0.6993332586198122,-0.9068047505707604,-0.5552742687889234,0
36,0.5605133990881653,-0.1814292201832455,0.5925249038625579,-0.2320372675593968,-0.4293280902203572,1.68940319801922,-0.4310988527125447,0
37,0.7448583228679605,-0.2396839629214349,0.5856363015425232,-0.5536807453790589,-0.736286197645508,3.573576353680776,-0.5036340610370004,0
