,target_1,target_2,target_3,회계년도,회사명,거래소코드,산업군,차입금의존도,부채비율,순운전자본비율,총자본정상영업이익률,자기자본순이익률,총자본순이익률,매출액총이익률,금융비용부담률,자본금회전률,유형자산회전율,재고자산회전률,자기자본회전률,타인자본회전률,총자본회전률,외국인지분율,대주주지분율,유형자산증가율,매출액증가율,자기자본증가율,총자본증가율,정상영업이익증가율,업력,누적수익성비율,이자부담률,부채상환계수,현금흐름 대 자산,현금흐름 대 매출액,TMD,시총/총자산,EBIT/총자산,당기전기영업손익,FINDEP,EBITDA마진율,PBR변화율,ROA변화율,현금흐름/총부채비율,영업현금흐름-단기차입금,abs(영업현금흐름-당기순이익)/매출액
0,0.0,0.0,0.0,2012,(주)DB하이텍,000990,제조업,2.0894243091921916,1.1554365938684694,-1.6721124854739486,-0.9811160323368902,-0.3716436325346977,-0.7372240886241,-0.1851850013501143,2.8346035919251875,-0.6669340735807346,-0.26176903956972103,-0.20376375509068903,-0.16925694305184208,-1.2396267698342054,-1.0759951989911878,-0.160707153303679,-0.4697071911901727,-0.12242316504183007,0.14757607045840612,-0.22755691614183307,-0.5396991086116777,0.18563775927008141,1.043062374880309,-2.7502620327326297,-0.19930545311700226,-0.11302289146973472,0.2568195848323794,0.14932516870068052,0.33317631498541195,-0.5939343940351037,-0.683424737742125,-0.42194211620767563,-0.06327408772573952,1.2568928096141807,-0.07320531874341704,0.15862319716232953,-0.25911340631750995,0.19535767847979066,0.20306033604962442
1,0.0,0.0,0.0,2013,(주)DB하이텍,000990,제조업,2.3237721895537726,1.964437600259317,-1.8132258741920702,-0.8942912001132297,-1.0669872391388961,-1.4885553405248242,-0.07453042532797345,4.3535416498442085,-0.676710579362121,-0.2654446612902663,-0.21223236540407645,-0.1569280853733092,-1.3128122628465566,-1.1873588620816153,-0.19349156482721863,-0.4697071911901727,-0.10587391515602937,-1.1096870091583364,-0.6982307893962987,-0.887493959203732,0.0896828064649032,1.097295363127459,-1.2512815344235486,-0.20181256857068203,-0.11310656628669571,-0.34130061357634683,0.022286547022859267,0.17271186365911356,-0.46078124513312524,-0.879979940740314,-0.3692982619703702,0.15292023082456643,1.2016679547807918,0.36612243912431425,-0.2650104942778896,-0.5235175127072378,0.10067118904145878,0.2950113423091946
2,0.0,0.0,0.0,2014,(주)DB하이텍,000990,제조업,2.5745548563303227,3.999187398082556,-1.247215921649899,0.11174435586961926,-1.4837708852849023,-1.4963330967556805,0.3179678649152675,4.399192793661447,-0.669989231637418,-0.25651815139751355,-0.2000536972391098,0.7677362405166547,-1.2469453191354403,-0.9423588032826742,-0.48251203483737076,-0.4627769144417072,-0.10425957356746307,0.5770165967739659,-0.9222284292434838,-0.7767392800716407,2.1194367060246178,1.151528351374609,-1.5701342488472854,-0.19946061729212577,-0.11158748107105053,0.014399888616129963,0.07343813153552392,0.6755226128060958,-0.6571212472067122,-0.7856514934088632,-0.27326509789431475,0.048773511710271736,1.9654860052016045,-0.02469629212581745,0.045861526182549024,-0.40963242797413385,0.13830222088634725,0.2846850743157154
3,0.0,0.0,0.0,2016,(주)DB하이텍,000990,제조업,1.110641473811872,0.4110740194432486,-0.07057928336791522,2.5711521034224374,0.8391717102153216,1.0703264594269177,1.1901862876780251,1.6061728128431378,-0.651250928889761,-0.22973862171925533,-0.1866652276008021,0.2129376449826762,-0.9102920512786251,-0.4523586856847917,0.3578041973712508,-1.6182430559585868,-0.039777615309511884,0.630889853507045,0.5587255185547219,-0.29190355488034725,0.08778339966539167,1.2599943278689092,-0.7900553570999131,-0.1806890750643024,-0.10402531509861979,3.293481835922975,0.5180688305607086,-0.3227349200853132,0.2666552467060585,1.2740338756270528,0.13711178879387037,-0.5180177999912342,3.1325656496686727,-0.1530019926805385,-0.005196587357433903,1.2661441834534417,0.5277759155428812,0.25873717465483553
4,0.0,0.0,0.0,2017,(주)DB하이텍,000990,제조업,0.6827283312295559,-0.06881530756050659,0.5192954334427619,1.9992407085578916,0.7779066268209414,1.4063255285999121,1.176517192992937,0.9172555516011778,-0.659805371448474,-0.24024039806367026,-0.192310967809727,-0.33569652171203557,-0.8883364033749199,-0.652813279247562,0.9349823897198828,-1.5823316218983565,-0.04839622709022305,-0.876394979744361,0.533737247644969,-0.2575264944907473,-0.12039984876347665,1.3142273161160594,-0.3788978849366647,-0.17010428961978852,-0.0897053908173695,2.203830233312811,0.42073428976578586,-0.29355413176141004,-0.05993142198202469,1.256437842401417,0.16571988346959504,-0.3182357892988642,2.994065927686888,-0.3092658893738862,0.08843353281039125,1.0383757965580902,0.4039305349631547,0.06626933005825435
5,0.0,0.0,0.0,2018,(주)DB하이텍,000990,제조업,0.246293447543182,-0.25300081843519323,0.5333030124699283,1.3405044814696845,0.46101826443621546,0.9878822433798401,0.8426007371143592,0.39434244969462956,-0.6606200802635895,-0.24391601978421554,-0.1731961045309383,-0.5699448176041596,-0.7931952624588633,-0.7419042097199041,1.638984489804313,-1.5735112696730367,-0.00763761570897214,-0.3101932514879848,0.3223056567142832,0.18757660054928918,-0.1360818056199471,1.3684603043632095,-0.05201457287524808,-0.16260102717516903,-0.08432456004578917,1.958975540717163,0.42084018127950856,-0.28025151887446476,-0.21295131136448436,0.9620199866669485,0.07242886475722285,-0.16915220187669286,2.4898392721123876,-0.20565790118075963,0.005440241926127239,1.1127798201835861,0.3889910031829965,0.12889815249784473
6,0.0,0.0,0.0,2012,(주)HJ중공업,097230,건설업,1.928728619801393,1.0591593504670356,-0.7055895325994621,-0.5828543019196649,-0.14469120537916064,-0.4447804543439009,-0.7638433430188393,2.440343713503584,-0.5068437914105349,-0.26071886193527954,-0.19440795703018485,-0.5083005292114955,-1.3567235586539672,-1.3655407230263001,-0.07960887216650192,-0.4640369647596098,-0.10936141113900932,-0.8631363180057691,-0.2771558764926298,-0.7409845155892476,-0.2494097567576979,-1.8855189904657965,-0.6227983640341292,-0.20587861799463164,-0.11415235651397332,-0.9820270120460144,-0.14802413578216858,1.8370167426978767,-0.8689178137900363,-0.18151029930398946,-0.07715696990735306,0.7459799466798951,-0.34361128334466456,-0.20881720141926025,0.11806888989090286,-0.7808060536758369,-0.8318468997379495,-0.11750573529282698
7,0.0,0.0,0.0,2013,(주)HJ중공업,097230,건설업,1.9421199272506262,1.2219121181110142,-0.9535755613026315,-0.9282661344616187,-0.3960893062043765,-0.7698906647936966,-1.0840907042123293,2.1705869545835395,-0.5467645233511954,-0.2580934178491758,-0.2152971958032071,-0.4528206696580976,-1.3567235586539672,-1.3432679904082145,-0.003687077059357558,-0.606422650682628,-0.07934028906738097,-0.26964244223275485,-0.20576596518139859,-0.20563267293388987,-0.9334624910866933,-1.8312860022186463,-0.7304532733265426,-0.20902042246600822,-0.11461176475437872,-1.5521888302144353,-0.32465351514515617,1.22539325359851,-0.8083096208128235,-0.7757544021889882,-0.35584181537457366,1.626729391344907,-0.9788727314031893,0.22057630738607414,-0.41342538951516133,-1.0167098651013877,-1.674070337060708,-0.04092745278717885
8,0.0,0.0,0.0,2014,(주)HJ중공업,097230,건설업,1.7290763996491885,1.2459984390750478,-0.7253039030821408,-1.14532821502077,-0.6182129583140511,-1.0327788253966415,-1.2949853079251157,2.137386122716457,-0.6021647227790509,-0.2570432402147343,-0.23239572329309408,-0.415834096622499,-1.3567235586539672,-1.3432679904082145,-0.5480808578844502,-0.7513284372414513,-0.08276410138989539,-0.24669809605245974,-0.197184584110537,-0.5224368315213935,-0.46695350107654343,-1.7770530139714964,-0.8956544541841608,-0.20910582931745136,-0.11468983968045487,-1.370369171612914,-0.26358227051935645,2.6532243854026722,-0.90789497550926,-0.8639450030617064,-0.6664749302936597,1.2869695437353572,-0.9749648114634702,-0.3085233709994953,-0.054177391017797796,-0.9402203502795435,-1.4157448949847633,-0.09400056437603951
9,0.0,0.0,0.0,2015,(주)HJ중공업,097230,건설업,1.645076380194907,1.3879308275806248,-1.4464348233696003,-0.9716785505734489,-0.590749300240708,-0.978334531780647,-1.0196506864112003,1.5439212530923585,-0.5978875014996944,-0.24444110860143628,-0.2319118027037576,-0.07679051046284562,-1.2469453191354403,-1.0759951989911878,-0.5636103159745479,-0.7481783114466944,-0.05010123003321656,1.0407086893643913,-0.37296216515772723,-0.8878519711894661,0.1153777139443378,-1.7228200257243462,-1.0466275555240179,-0.20900644419117914,-0.11460566924999255,-0.07083873501854206,0.06964145494792442,2.8418928770593164,-0.9130400554324006,-0.897375632637404,-0.6818510356071349,-0.7371002470586294,-0.8845594287487585,-0.043439959351392554,0.06019784745393657,-0.40445224561260384,-0.7585511495065765,0.18048711673359755
