,차입금의존도,부채비율,순운전자본비율,총자본정상영업이익률,자기자본순이익률,총자본순이익률,매출액총이익률,금융비용부담률,자본금회전률,유형자산회전율,자기자본회전률,타인자본회전률,총자본회전률,합계_기말인원(명),대주주지분율,유형자산증가율,매출액증가율,자기자본증가율,총자본증가율,정상영업이익증가율,누적수익성비율,현금흐름 대 자산,현금흐름 대 매출액,TMD,시총/총자산,EBIT/총자산,당기전기영업손익,FINDEP,WW지수,EBITDA마진율,abs(영업현금흐름-당기순이익)/매출액,target_1,target_2,target_3,회사명,거래소코드,회계년도,산업군
0,0.3633996652408405,0.10454964481318801,1.5622658818133173,-1.837392795883362,-2.308921933085502,-2.2549751243781095,0.5177248677248678,1.209580838323353,-0.6677120456165361,-0.31182795698924737,-0.5174825174825175,-0.6212121212121212,-0.7678571428571428,-0.1875,-0.2554864068129709,-0.2711870635254224,-0.5044690742936127,4.51800664928607,6.06004096870658,-6.782910603020026,-3.0553321290505338,-0.7558532092469554,-1.2370777872864491,-0.2795702634993343,1.1315042690419561,-1.6014016798553052,-0.5815251415251416,0.21090917312059568,0.9616599907153701,-2.313804766771793,2.7760553335150164,0,0,0,(주)CMG제약,058820,2012,제조업
1,-0.6799330481681236,-0.6184046418307033,1.1922635884106723,-0.2785591766723843,-0.258364312267658,-0.2276119402985075,1.065873015873016,0.6826347305389221,-0.6711332858161085,-0.22580645161290333,-0.6223776223776224,-0.45454545454545464,-0.8214285714285714,-0.17708333333333334,-0.40790479309968336,0.8170921316093019,0.8671422209326574,3.2104787251896587,-0.39614040228307523,1.0681536324538194,-3.0979489501485205,-1.1959462211141672,-2.0223111265613,-0.5171563457126264,1.004883029950992,-0.2842796828371273,-0.5734798534798535,0.6183271098207545,0.7536685298878457,0.34043608757198446,1.616134804475679,0,0,0,(주)CMG제약,058820,2013,제조업
2,-0.6750976380881534,-0.5707933409251125,0.4345233544836023,-0.3636363636363637,-0.28959107806691453,-0.25746268656716426,0.9796296296296297,-0.6946107784431139,-0.6711332858161085,-0.3575268817204301,-0.6573426573426574,0.34848484848484845,-0.75,-0.03125,-0.40790479309968336,3.949282107742034,0.3018998155236205,-0.37706938648870186,-0.05100555052802715,-0.3920811699398897,-3.016600788118776,-0.3452481724345314,-0.18818070288339658,-0.4834137257966635,0.8921727470607422,-0.413133848782862,-0.32583416583416586,0.8010471002586722,0.9007876928221313,0.23121518117399395,-0.39453498643172574,0,0,0,(주)CMG제약,058820,2014,제조업
3,-0.773665612795239,-0.546065831570956,0.3458451188747039,-1.0867924528301887,-0.879925650557621,-1.0845771144278609,0.9367724867724867,-0.37125748502994016,-0.66600142551675,-0.3736559139784947,-0.5874125874125874,0.36363636363636354,-0.625,-0.07291666666666667,-0.43017796702696803,-0.3380487936750828,0.597956157662447,-0.669722704831711,-0.42811492152705527,-6.108153163574224,-3.2647510625488634,-0.03603930186109584,0.2786967208565009,-0.5559309021400831,3.5064688459753577,-1.2191406238549198,-0.505014985014985,-0.13854116139353387,0.8912284064575572,-0.8927577455969908,1.7979641731331588,0,0,0,(주)CMG제약,058820,2015,제조업
4,-0.7617630649060817,-0.5967138441516187,0.5861937160767527,-0.4445969125214409,-0.29182156133828996,-0.3893034825870647,0.5007936507936508,-0.6946107784431139,-0.4282252316464719,3.956989247311828,0.0,3.3131313131313136,0.6964285714285715,0.34375,-0.7053171743640136,-1.4608100944113342,0.032406110503022834,-0.27597688761230743,-1.2366381300266391,0.9214550317158932,-0.6803832526958203,0.6847041750739987,0.313199103479445,-0.5236636581370442,1.3963172392508145,-0.4493827633134088,-0.5812587412587412,-0.3867402488839076,0.7881228184162491,0.24212609701662782,0.42935992120619954,0,0,0,(주)ES큐브,050120,2012,도매 및 소매업
5,-0.5977310768086294,-0.6188384577842849,1.5754147236449816,-0.4253859348198971,-0.22788104089219333,-0.4402985074626866,0.15158730158730171,-1.1616766467065869,-0.5622238061297221,4.567204301075269,-0.30069930069930073,2.7323232323232323,0.0714285714285715,-0.7447916666666666,-0.860355934053936,0.2525947119501602,-1.138572293099064,0.7373952691616504,0.8917734428219403,1.0311533968673459,-0.7527967610939252,0.05014042388121029,0.08184940349411388,-0.45740490161443,0.26894615482659656,-0.8340553760390841,-0.4444888444888445,-0.23778226343163059,0.7217377565858539,-0.2824327117930038,0.19870666443171972,0,0,0,(주)ES큐브,050120,2014,도매 및 소매업
6,-0.6449693137437235,-0.6411799793937422,1.3717605687638565,-1.4641509433962265,-0.19739776951672863,-0.8034825870646768,0.48915343915343923,-0.62874251497006,-0.5696364932287955,4.540322580645162,-0.38461538461538464,2.196969696969697,-0.12499999999999993,-0.6822916666666666,-0.860355934053936,-0.8236093903087235,-0.3733924722402932,-0.3744549341028273,-0.3763931808736034,-22.172191475425326,-0.6043486758766813,-0.9856396923252856,-0.9853812620453355,-0.4983649047044778,0.4767692103386733,-1.2104332836783496,-0.5987345987345988,0.2968331659601128,0.9721517712133569,0.02438026535182932,-0.5458511201339574,0,0,0,(주)ES큐브,050120,2015,도매 및 소매업
7,0.230611865352427,-0.2788352041646331,0.7702775017200523,-0.17838765008576335,-0.1342007434944238,-0.08706467661691546,0.45211640211640225,0.29940119760479045,-0.6357804704205275,0.25806451612903225,-0.6363636363636365,-0.5505050505050505,-0.8571428571428571,-0.703125,-0.7415656731084179,3.4243772375337596,0.007972006374537198,-0.2760384039727589,-0.23457363954024743,0.0398518155993818,-0.0644743276552668,-0.24945565765401936,0.07916534102586327,-0.1692264746809976,0.14795799442009677,-0.14338464631096928,-0.15656343656343658,0.0543521424624168,0.5323648955931873,0.19675350339596262,-0.4923950045099472,0,0,0,(주)ES큐브,050120,2017,도매 및 소매업
8,0.41584526687744083,-0.1324223198308117,-0.3941594679305863,-0.6229845626072041,-0.725278810408922,-0.9900497512437813,0.22936507936507944,1.0658682634730539,-0.6551674982181042,-0.09408602150537637,-0.6503496503496504,-0.6363636363636365,-0.9107142857142858,-0.7291666666666666,-0.7415656731084179,1.6072708292432734,-0.38776691115720124,-0.5628263069591413,0.08369764523422601,-1.3754856169175735,-0.17330800928367213,-0.5963003106780829,-0.7735488668352573,0.25258203940323476,-0.27777703756366573,-1.2310431856913464,-0.33622377622377625,0.1804089587145881,0.5178344758210629,-0.17582296126760194,0.8872602019349305,0,0,0,(주)ES큐브,050120,2018,도매 및 소매업
9,-0.19676399479263543,-0.287511523236267,0.018347221160461787,0.9221269296740996,1.2702602230483273,1.2674129353233832,1.2214285714285715,-3.5748502994011977,-0.09693513898788318,-0.153225806451613,-0.08391608391608385,0.5454545454545455,0.17857142857142874,0.21354166666666666,-0.4755977726826073,3.7613729982705078,1.0765702327664384,0.9977068350476622,1.5383487916381111,-0.058103802006782675,0.20798368298579886,1.1180453928662712,1.1135558230124065,-0.04983097700199318,-0.09315431811137034,0.6695274093553568,0.45034965034965035,1.0970004843866648,-0.4495589677069843,0.3575808188359133,-0.062171797700134444,0,0,0,(주)가비아,079940,2012,정보통신업
