,회사명,거래소코드,회계년도,차입금의존도,부채비율,순운전자본비율,산업군,총자본정상영업이익률,자기자본순이익률,총자본순이익률,매출액총이익률,금융비용부담률,자본금회전률,유형자산회전율,자기자본회전률,타인자본회전률,총자본회전률,합계_기말인원(명),대주주지분율,유형자산증가율,매출액증가율,자기자본증가율,총자본증가율,정상영업이익증가율,누적수익성비율,현금흐름 대 자산,현금흐름 대 매출액,TMD,시총/총자산,EBIT/총자산,당기전기영업손익,FINDEP,WW지수,EBITDA마진율,target_1,target_2,target_3,abs(영업현금흐름-당기순이익)/매출액
1934,메디앙스(주),014100,2020,19.91,57.4,12.53,제조업,-0.27,4.75,2.91,47.73,0.51,12.2,1.76,0.85,1.35,0.52,141.0,30.63,-14.182571858060404,-26.033520701242384,5.42273629192276,-1.7958669282655708,-152.7027027027027,0.6007466495559477,-0.0398845026468143,-0.0759943872518373,1.0103028221652088,0.3609365202047453,-0.0033978387995275,-261.0,5690.902,-49.16686413957652,0.524778060267578,0,0,0,0.1320107253504494
1935,메디앙스(주),014100,2021,15.79,51.02,7.62,제조업,3.22,4.84,3.14,51.02,0.49,12.12,1.93,0.79,1.47,0.51,111.0,31.7,-3.0388279943735235,-0.6307395212492533,6.888241099915074,2.557128899129395,1297.593582887701,0.6187070307778718,0.06064570254456,0.1192590003495281,0.6494942591580098,0.5201453221758512,0.0347166430861766,2052.5,-8161.171,-51.192511845922525,6.941754631247815,0,0,0,0.0582174065012233
1936,메디포스트(주),078160,2019,16.63,90.89,24.42,제조업,-4.14,-11.85,-7.25,63.36,5.17,7.8,0.64,0.38,0.61,0.24,232.0,7.24,3.1943731096273478,3.2151225666906997,-11.707043941831488,21.60190722206733,-22.31154254512361,-0.221131485735943,0.0351583153580168,0.1640217415031324,0.1861607110270786,2.5576784001422426,-0.042967635072221,-7328.5,-3357.499,-53.219871477362446,-5.780947807295191,0,0,0,0.4722664862151012
1937,메디포스트(주),078160,2020,18.88,88.01,11.13,제조업,-1.11,-1.66,-0.87,63.53,10.19,6.23,0.62,0.42,0.48,0.22,245.0,7.24,17.544344748448108,6.142629499465194,4.42662045927527,2.8504718813020835,70.07688492063492,-0.2154077821401112,0.0081206127081902,0.0367095115681233,0.1904150927106281,2.458372570981434,0.0001137340715432,-5238.5,6065.137,-51.31484794538533,5.982478149100257,0,0,0,0.0757017994858611
1938,메디포스트(주),078160,2021,11.75,56.66,15.62,제조업,-2.2,-0.5,-0.41,58.08,4.25,6.88,0.56,0.39,0.56,0.23,277.0,6.95,30.49599510709119,12.81439588688946,38.72728050292948,15.596580698873122,-115.95524243680066,-0.1886309790864798,0.0159625965193983,0.0739390403966749,0.2640396765658652,1.369783432902784,0.0043960109250907,-3812.0,6119.467000000001,-53.89159259877493,2.265112294006125,0,0,0,0.0915487822662972
1939,명성티엔에스(주),257370,2019,22.56,73.22,18.81,제조업,1.36,1.33,0.76,19.75,1.21,10.99,1.52,0.92,1.25,0.53,59.0,61.97,-1.175707802031554,-11.789754831556932,1.3486659071036804,0.9599853716514796,-63.92125351546806,0.1378893986959671,0.0227451098768413,0.0430473034734917,0.2586203712254132,1.634418014972229,0.0170097802463173,1693.5,-1381.757,-49.40576965616511,3.998428930530165,0,0,0,0.0286505941499085
1940,명성티엔에스(주),257370,2020,38.32,116.85,5.0,제조업,-15.1,-30.15,-15.73,-7.43,3.92,5.45,0.76,0.53,0.58,0.28,54.0,6.95,0.8966452346586187,-50.111403107861065,-27.92941176470588,-9.777227722772276,-1158.0178173719378,-0.0148215062397537,-0.1901033825153066,-0.650672774119668,0.5430222685443435,0.9923358240489812,-0.159172270735053,-4301.5,11668.424,-43.79332968573063,-50.73335241912397,0,0,0,0.0838247924420269
1941,모바일어플라이언스(주),087260,2019,34.22,78.61,21.77,정보통신업,-1.45,-8.98,-4.99,30.2,1.44,5.97,7.89,1.5,1.88,0.83,60.0,29.99,-9.964830011723327,-27.236380184631383,-9.946725364468689,-11.340097416870352,-128.2387190684134,-0.1314954383181277,-0.006862356207854,-0.0077283895465713,0.3219586507072905,1.3670170567235225,-0.0256445854819516,986.0,605.678,-45.42760670707108,2.7166406075496985,0,0,0,0.0520214429305338
1942,모바일어플라이언스(주),087260,2020,20.37,83.15,62.69,정보통신업,4.18,7.31,4.03,31.49,0.84,3.51,8.12,1.2,1.47,0.66,63.0,17.9,-9.319196428571429,-7.040428858610677,46.09444188600376,49.809599365331216,439.3041237113402,-0.0537373897847327,0.1354356978314401,0.2458071026959488,0.2096011701233686,2.166054066248312,0.0329652871554531,928.5,-9934.838,-49.71273793850873,10.69241674275554,0,0,0,0.1847998462203854
1943,모바일어플라이언스(주),087260,2021,21.4,85.29,26.3,정보통신업,2.93,5.89,3.19,25.67,4.09,2.94,10.17,1.12,1.33,0.61,58.0,17.9,-7.22051282051282,14.79407948483829,6.052229577362334,7.290756480525326,-12.913026965438664,-0.0180896089633642,0.079786774595575,0.1353427524856096,0.2782503712545789,1.654346589750867,0.0355128885379005,2463.0,-6207.905,-49.53277956132469,9.849774986917843,0,0,0,0.0829931972789115
1944,모트렉스(주),118990,2019,45.26,409.29,6.47,제조업,-0.6,-33.13,-8.73,13.91,3.81,115.1,3.01,2.93,0.94,0.71,318.0,56.81,10.541224076884168,47.351063379983934,-31.13870295529174,1.7869374869702477,-589.84375,0.0848974006360552,0.0432522096506647,0.0612689303363621,5.403270351314813,0.1487337899869683,-0.0528087940382758,-1516.5,-5592.966,-58.2207043217809,0.5417599234815879,0,0,0,0.1838641798182687
1945,모트렉스(주),118990,2020,38.6,289.4,13.43,제조업,2.44,-17.48,-4.12,15.78,2.24,106.81,3.23,3.6,1.05,0.81,298.0,41.22,0.3752173515145968,12.803124501833254,25.440456676486438,-4.09047019925681,501.6232540581352,0.0437099737871573,0.0730486451222288,0.0879801699796781,1.2397164344168776,0.599485142809538,0.0099876327949179,3995.0,-14965.852,-57.96708231305496,4.869632313662533,0,0,0,0.1386999126642491
1946,모트렉스(주),118990,2021,46.5,239.98,10.28,제조업,8.04,9.43,2.63,21.2,1.45,109.46,3.97,3.6,1.37,0.99,367.0,39.24,0.8078045222465354,23.429440344594653,21.747553297451407,6.298826406212232,231.97668953849043,0.063684410377775,0.0520522421009872,0.0539910511057883,1.19494266467348,0.5907135698769007,0.0698636548277141,22979.0,-19082.417,-56.71027792203211,6.773538935017472,0,0,0,0.0275222004937005
1947,무림에스피(주),001810,2019,15.73,45.67,12.36,제조업,0.38,0.66,0.46,8.98,0.73,12.46,2.06,0.67,1.31,0.44,208.0,61.41,-3.798264737296443,-32.8777192034541,-0.1800933565021003,-7.192163831347161,-55.59322033898305,0.4650884880213964,0.0247304521307754,0.0535773855280142,1.8679560194100937,0.1678425040419627,-0.0056838532374197,1917.0,-5938.838,-61.44973161964391,2.370654270671676,0,0,0,0.0433303842081598
